,Distribution,Distribution parameters,P_Values
0,alpha,"(4.32372807837762e-11, -0.6683570287559097, 2.4819868254252277)",0.0
1,anglit,"(1450.1649751261316, 4812.2725123462415)",0.0
2,arcsine,"(-0.21707492072068926, 5221.617074920721)",0.0
3,beta,"(0.6575592197595164, 111.95258153073156, -4.1415865462396035e-22, 82981.18540433832)",0.0
4,betaprime,"(15.946579850112364, 1.274060981490786, -18.662635381635297, 12.562014609249132)",0.01157
5,bradford,"(91.29668700478027, -1.679609245221226e-07, 8266.440481967973)",0.0
6,burr,"(0.34156443998876473, 3.213451906937193, -0.00027591157638772953, 0.6592120200875244)",0.0
7,cauchy,"(137.062772638042, 86.79044896026062)",0.0
8,chi,"(0.46876653832444265, -9.292658900384903e-25, 1285.6864009858675)",0.0
9,chi2,"(0.9724521691674857, -1.1506224084652687e-25, 1112.5447420243158)",0.0
10,cosine,"(1070.2512882035862, 1329.4198835533255)",0.0
11,dgamma,"(0.4874086490088622, 120.96666666666668, 857.8115405667593)",0.0
12,dweibull,"(0.5654320411263098, 120.56666666666663, 222.82966577283742)",0.0
13,erlang,"(0.41614782242339243, -3.2562780912334014e-13, 1705.7928055630857)",0.0
14,expon,"(0.0, 485.0165578527385)",0.0
15,exponnorm,"(38.08512716009088, 12.673550928361792, 12.402297577754423)",0.0
16,exponweib,"(1.2356418579675763, 0.6797642399081691, -2.4565922427891773e-28, 314.03468913072743)",0.0
17,exponpow,"(0.4329347555567901, -1.0269124502578357e-23, 3350.305801497885)",0.0
18,f,"(0.60720264247058, 0.3887426339521144, -3.117612052627629e-28, 2.806111346732191)",0.0
19,fatiguelife,"(1.4013837412567842, -8.603012159612117, 260.41712630923564)",0.0
20,fisk,"(0.33341335848351944, -3.814934919256779e-24, 2.2773883495313907)",0.0
21,foldcauchy,"(5.888149744048952e-08, -0.00022556448035262135, 4.298628264721245)",0.0
22,foldnorm,"(0.0005329747314085926, -9.086577016919953e-13, 972.2838156264881)",0.0
23,frechet_r,"(0.7451321158744036, -1.1739390226125453e-24, 391.5777972225676)",0.0
24,frechet_l,"(0.10272208029620156, 5221.400000000001, 1.7224068891506552)",0.0
25,genlogistic,"(2247.6650437107764, -2411.556477160456, 340.4353709843192)",0.0
26,genpareto,"(1.6600705425865638, -1.0619820206237813e-08, 1.6528186028156528)",0.0
27,gennorm,"(0.31528886511942555, 120.56666666664242, 3.9125476519981985)",0.0
28,genexpon,"(2.4128017563768314, 1.5043062705561692, 3.2967642928416554e-08, -3.797494662736859e-05, 1170.9918848127968)",0.0
29,genextreme,"(-0.8194932812756272, 128.22382288583134, 130.44721767994628)",0.02544
30,gausshyper,"(0.44934593851573373, 2.000371433466176, 1.6129527578792895, 0.9073092601111751, -2.9457675476242144e-24, 5259.958051375534)",0.0
31,gamma,"(0.6382678666234708, -1.3084487171704186e-26, 790.573876476579)",0.0
32,gengamma,"(4.311284991140761, 0.3560459744950857, -4.35891042358033, 4.652895803766873)",0.0
33,genhalflogistic,"(6.645407147387952e-10, -1.5908030475133899e-06, 375.68567415628877)",0.0
34,gilbrat,"(-10.28227152111689, 223.5452366522045)",0.0
35,gompertz,"(187937329413.04257, -8.226571507485571e-10, 138218211168105.94)",0.0
36,gumbel_r,"(216.8180245913424, 340.4042981968421)",0.0
37,gumbel_l,"(1003.9728981726926, 1390.557580088608)",0.0
38,halfcauchy,"(-1.5038885154681227e-11, 183.54210583940662)",0.0
39,halflogistic,"(-9.117029443936353e-11, 376.1301200285573)",0.0
40,halfnorm,"(-9.734416736523393e-12, 972.2838335490144)",0.0
41,halfgennorm,"(0.514146558506444, -4.263082732218212e-12, 86.27730569137944)",0.0
42,hypsecant,"(251.67905857782895, 343.4757928420681)",0.0
43,invgamma,"(1.2686397925228254, -24.08990592609505, 200.3366563656067)",0.0109
44,invgauss,"(2.717107849565089, -11.824279079711365, 182.85652280714658)",0.0
45,invweibull,"(0.29625059924540975, -0.011904414756709128, 2.3862487704965964)",0.0
46,johnsonsb,"(6.243373774801429, 0.8125361018414057, -1.8364758250870912, 451742.48137540295)",0.0
47,johnsonsu,"(-1.5709317505506615, 0.6508318237280755, 42.0639565145388, 25.103507624296196)",0.00817
48,ksone,"(1.0000000038946775, -2.5390566406794187e-05, 5389.493951989268)",0.0
49,kstwobign,"(-1373.0186607890487, 2225.3156466796313)",0.0
50,laplace,"(168.4666666657426, 391.3582466168216)",0.0
51,levy,"(-6.24508252761062, 119.3707914181987)",0.0
52,levy_l,"(5369.945842752399, 4181.022971668923)",0.0
53,logistic,"(300.1135158470422, 315.65744550429315)",0.0
54,loggamma,"(2012.0850822307066, -307645.2431985319, 40508.45893766546)",0.0
55,loglaplace,"(0.28110714572775397, -2.6639431620445436e-23, 6.7192564832977055)",0.0
56,lognorm,"(1.2293904056777802, -1.8716874709516178, 208.0950966062512)",0.0
57,lomax,"(0.2782008757333151, -4.0774543550776586e-07, 6.728601788621898)",0.0
58,maxwell,"(-1036.1705815779947, 1004.0094804640944)",0.0
59,mielke,"(7.350510032714585, 1.2176927120107552, -17.47395940409387, 35.758869996680055)",0.02696
60,nakagami,"(0.22444308248028222, -1.8617629992942944e-24, 945.5993369055361)",0.0
61,ncx2,"(1.087070171590549, 0.08970389124708003, -7.948996828509042e-28, 482.2865287311462)",0.0
62,ncf,"(0.076512259452955, 0.8995234938630321, 1.3502977650460086, -7.436101811619296e-05, 3.3449743812903527)",0.0
63,nct,"(0.954992160922538, 2.5607707503861086, -0.13566981829479977, 45.758028912950515)",0.28876
64,norm,"(485.0165578527385, 842.6712229384323)",0.0
65,pareto,"(0.2765992510683438, -6.5487853762812565, 6.548785332106028)",0.0
66,pearson3,"(2.3846585892212744, 480.7899326614605, 573.259921266135)",0.0
67,powerlaw,"(0.2992169730497237, -7.839697418159133e-25, 5905.279462336015)",0.0
68,powerlognorm,"(0.06728632127491156, 0.40349540537152956, -14.208042438380566, 42.722233476270574)",1e-05
69,powernorm,"(1.027891005420017e-05, -617.5470336582864, 3.1489214591453685)",0.0
70,rdist,"(0.7166844635201559, 2744.8653022459757, 2744.865302245976)",0.0
71,reciprocal,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0.0
72,rayleigh,"(-617.916597924788, 981.4673607266596)",0.0
73,rice,"(0.00010311770582784585, -617.9166363703446, 981.4673832631814)",0.0
74,recipinvgauss,"(3.5161063587690142, -3.0917323573596276, 380.0266331588898)",0.0
75,semicircular,"(1945.9346752003166, 3278.7775180275326)",0.0
76,t,"(0.7640833441955921, 131.90665907326542, 74.73004191382304)",0.0
77,triang,"(0.0011826905389953277, -51.63216593636403, 5288.410121602392)",0.0
