,Distribution,Distribution parameters,P_Values
0,nct,"(1.4841020732096917, 2.6335319343288255, -0.02664023592103516, 18.000852909325275)",0.1368
1,johnsonsu,"(-1.116164411292339, 0.7234077736216993, 27.467746740549963, 13.993281671867951)",0.06783
2,mielke,"(50.83323773759733, 1.8064081507060683, -19.032188853682484, 10.316203752940226)",0.03711
3,burr,"(1.8003847144015799, 35.78440353467284, -19.464683156905448, 9.00988985795481)",0.03229
4,genextreme,"(-0.5504990495990667, 45.74768812230087, 36.87921389136361)",0.02966
5,invgamma,"(1.998580705217861, -10.678609122846954, 120.67235138849368)",0.00929
6,betaprime,"(7.363764206042591, 2.0442567188162313, -4.638699733189048, 16.211207667834984)",0.00694
7,exponweib,"(128.98407956553706, 0.2589940126629079, -5.712298399807125, 0.11456958545305004)",0.00225
8,powerlognorm,"(0.10187544406078261, 0.3762926862946179, -6.456862406683582, 22.164008644039143)",0.0002
9,johnsonsb,"(7.967549436659475, 1.033998567410273, -1.451229570897822, 147379.11664755363)",6E-05
10,lognorm,"(0.9653457080075039, -1.4841360016788545, 66.35443242225456)",6E-05
11,gilbrat,"(-1.2229762884340278, 65.94565109849248)",3E-05
12,alpha,"(2.2663835227932414e-10, -0.6595034268988798, 2.480509739354652)",0
13,anglit,"(444.7276441135931, 1541.3677157903262)",0
14,arcsine,"(-0.022647536010895464, 2485.0226475360114)",0
15,beta,"(0.8426588393396156, 43.295812549957205, -8.969773100928067e-20, 6644.878136608868)",0
16,bradford,"(87.81389590550481, -2.958388664694809e-11, 5439.308937824211)",0
17,cauchy,"(53.76898737063077, 23.253823775834007)",0
18,chi,"(0.4499855133728913, -4.823641135648526e-24, 500.7623500970568)",0
19,chi2,"(1.752936178290752, -8.551582773380991e-17, 68.32378110981682)",0
20,cosine,"(284.43310726065164, 365.3177267664337)",0
21,dgamma,"(0.4454466697495351, 53.366666666666674, 214.6033818879333)",0
22,dweibull,"(0.6258905945303184, 55.24999999999999, 51.70362159510232)",0
23,erlang,"(0.22029891674283214, -3.1728003421651626e-19, 902.8343584647516)",0
