,Distribution,Distribution parameters,P_Values
0,alpha,"(2.312145820647498e-09, -0.8849835051974204, 2.980755269757629)",0.0
1,anglit,"(1015.340610709844, 2573.3480222904714)",0.0
2,arcsine,"(-0.03314330096976428, 3027.6998099676366)",0.0
3,beta,"(0.6574077726581626, 2.806570584499413, -6.078646791238808e-27, 3441.7265249744196)",0.00021
4,betaprime,"(38.00015143162208, 1.3785468101538885, -61.971303989316795, 10.333814290568348)",0.00521
5,bradford,"(24.478529199952206, -2.1840915367443894e-12, 3560.8645178508923)",0.0
6,burr,"(1.2112082212533308, 33.282102354347884, -66.60969013561851, 15.131328969939112)",0.00465
7,cauchy,"(250.849775873638, 229.49418333130407)",0.0
8,chi,"(0.6148818003461465, -5.347383390295272e-26, 1312.3326689222813)",0.0
9,chi2,"(0.0513273965473032, -1.984367683164496e-23, 2.2387604586008525)",0.0
10,cosine,"(830.6377413873512, 715.4512998455808)",0.0
11,dgamma,"(1.2135448191093154, 442.47981317683616, 388.92918055364294)",0.0
12,dweibull,"(0.8272877202555894, 212.14999999999998, 425.0888992617019)",0.0
13,erlang,"(0.8848216735673354, -6.0167600708637785e-25, 684.4413654533037)",0.00028
14,expon,"(0.0, 604.2654078549849)",0.0
15,exponnorm,"(106.06123783365899, 6.14016620100423, 5.63943296062434)",0.0
16,exponweib,"(2.2355190341289077, 0.5981121522606725, -0.3234002467642064, 221.65985514905995)",0.03238
17,exponpow,"(0.6848552717443517, -5.266223176359181e-25, 1497.9896103987173)",0.0
18,f,"(0.7037002486013846, 0.47140632918152175, -6.3696732650248555e-24, 3.5315287541740528)",0.0
19,fatiguelife,"(1.2717683647346891, -19.021760376513893, 343.0353665685458)",0.23018
20,fisk,"(0.31065638604582413, -5.2923225242362e-25, 2.3151034018066543)",0.0
21,foldcauchy,"(8.014090879946277e-08, -0.23718743302850748, 4.361235610418391)",0.0
22,foldnorm,"(0.002209379930064637, -1.6345727054802702e-12, 894.0773042841154)",0.0
23,frechet_r,"(0.894686801807911, -1.2019065126628339e-26, 572.659454316366)",0.00577
24,frechet_l,"(0.10960467916229885, 3027.666666666667, 1.7429441286417386)",0.0
25,genlogistic,"(2453.54847139249, -2797.962373488549, 401.0283131076127)",0.0
26,genpareto,"(1.7291490823723188, -1.9915522732237316e-08, 1.4615835590466444)",0.0
27,gennorm,"(0.5295129394516151, 178.9666666666679, 102.54464501975252)",0.0
28,genexpon,"(2.2746965314452994, 1.4843649768860354, 1.2123092793723355e-12, -8.649864432491968e-13, 1374.520032763747)",0.0
29,genextreme,"(-0.8306767168901403, 201.96098992091711, 225.65743245721652)",0.00404
30,gausshyper,"(0.8733469279374144, 2.595851095973716, 1.8348291122013083, 1.2716802849835023, -7.662844799362866e-27, 3105.8367672564787)",1e-05
31,gamma,"(0.9267229906280773, -3.152627712293806e-21, 668.9398758128941)",1e-05
32,gengamma,"(0.7713018553684898, 1.0471183407536664, -8.55082116536836e-27, 760.259626957338)",0.02165
33,genhalflogistic,"(0.00011219769133593392, -9.012408866829269e-11, 457.07643838245804)",0.0
34,gilbrat,"(-30.261358389551084, 370.5017544528613)",0.0007
35,gompertz,"(16593.15395068088, -3.549497625722671e-05, 9776633.690889664)",0.0
36,gumbel_r,"(332.35120778002783, 401.3284158065432)",0.0
37,gumbel_l,"(974.8684494066051, 849.4334182860525)",0.0
38,halfcauchy,"(-1.7212974159726602e-07, 326.703960676495)",0.00386
39,halflogistic,"(-3.2329052467242406e-11, 458.43951703058394)",0.0
40,halfnorm,"(-7.700722795199049e-09, 894.1001922668394)",0.0
41,halfgennorm,"(1.151986729782053, -8.412737884180705e-10, 824.0041984202644)",0.0
42,hypsecant,"(433.5537341751212, 396.30292395919207)",0.0
43,invgamma,"(1.3782483640845835, -67.02449482840716, 394.419920178754)",0.0052
44,invgauss,"(1.8290723661085155, -34.71506623647311, 349.34668375640376)",0.02728
45,invweibull,"(1.2188750000878925, -72.34762590898967, 275.879944685144)",0.00464
46,johnsonsb,"(1.3685255630199702, 0.6476630979196454, -1.5865829866849719, 3337.5014848665155)",0.1064
47,johnsonsu,"(-5.052185657493025, 0.8281419396870526, -7.3670906930146565, 1.4710338893660566)",0.14594
48,ksone,"(1.0000000038946775, -1.4722918290641443e-05, 3125.137164101383)",0.0
49,kstwobign,"(-1161.964830340012, 2052.3011703539796)",0.0
50,laplace,"(335.7586966239414, 465.4644087115741)",0.0
51,levy,"(-11.936306651402274, 171.2426543412418)",0.0
52,levy_l,"(3117.179960548314, 1941.0465888141907)",0.0
53,logistic,"(489.4319211191229, 341.7246746143202)",0.0
54,loggamma,"(1918.7009527801333, -225085.48150718404, 29856.766641435912)",0.0
55,loglaplace,"(0.2079349973769526, -1.819248468723462e-25, 3.00165508209121)",0.0
56,lognorm,"(4.99792972111128, -8.347819395207634e-11, 5.88721827685453)",0.0
57,lomax,"(6.795689833413207, -0.0003187591303128873, 3560.6738353320247)",0.00062
58,maxwell,"(-705.0429544851627, 846.2722092218088)",0.0
59,mielke,"(54.77187427932918, 1.2135222090603766, -68.21315105965402, 11.873032300398815)",0.00471
60,nakagami,"(0.3174704679997141, -2.7380783123688177e-25, 921.4399554165589)",0.0
61,ncx2,"(0.0006180592131518876, 0.287454600186199, -2.1598927791949385e-22, 3.2065766035038825)",0.0
62,ncf,"(1.4015028097061855, 0.34851842760168605, 1.5015392058982666, -2.659992618996761e-05, 1.3092611270293992)",0.0
63,nct,"(1.1990782617179114, 4.624998729279136, -102.78142357008022, 63.3361895673889)",0.001
64,norm,"(604.2654078549849, 658.9701394031204)",0.0
65,pareto,"(0.20624834643314732, -2.989868755171526, 2.98986673669154)",0.0
66,pearson3,"(2.0078971972602906, 524.9101690484306, 526.9828286228847)",0.00025
67,powerlaw,"(0.40243167562376203, -1.3429708957704098e-24, 3397.3200489557107)",0.0
68,powerlognorm,"(0.6348987140514664, 2.648333316193045, -0.26332341801927756, 38.42290572475345)",0.0
69,powernorm,"(1.2996605573337998e-05, -378.6956641149345, 3.0156910326370134)",0.0
70,rdist,"(15852.939378736639, 604.8052295280752, 83009.63398617043)",0.0
71,reciprocal,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0.0
72,rayleigh,"(-377.4426417222534, 836.0599083709604)",0.0
73,rice,"(0.000345757007073734, -377.44268797803045, 836.0599201779312)",0.0
74,recipinvgauss,"(2.9980392019554367, -6.50766492765227, 458.00494500268724)",0.03645
75,semicircular,"(1252.1900095439696, 1778.285508598819)",0.0
76,t,"(1.6011762789986694, 311.76241146703876, 301.00485284063075)",0.0
77,triang,"(0.003964745159488945, -4.151650537825729, 3048.111135585197)",0.0
78,truncexpon,"(1.308224006025216, -6.666778395925749e-06, 2314.3335476660686)",0.0
79,truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0.0
80,tukeylambda,"(-0.5068672625358701, 302.8244355253338, 151.35562453188473)",0.0
81,uniform,"(0.0, 3027.6666666666665)",0.0
82,vonmises,"(1.7597103246850334, 236.78915797956392, 4.537831504700089e-27)",0.0
83,vonmises_line,"(2.333287969078188, 511.2630802592271, 800.9961391828356)",0.0
84,wald,"(-76.33341716053519, 628.8199511040074)",0.00018
85,weibull_min,"(0.894686801807911, -1.2019065126628339e-26, 572.659454316366)",0.00577
86,weibull_max,"(0.10960467916229885, 3027.666666666667, 1.7429441286417386)",0.0
87,wrapcauchy,"(1.0, -302.76666666666665, 578.2417392414741)",
