,Distribution,Distribution parameters,P_Values
0,alpha,"(1.4229782312463756e-11, -0.13188950982383096, 44.79388826864965)",0.0
1,anglit,"(2077.1787585530637, 6832.119242804067)",0.0
2,arcsine,"(2.7166666666666663, 7507.952903113504)",0.0
3,beta,"(0.5923991523579812, 32.79172981006755, 2.7166666666666663, 43370.07061186959)",0.0
4,betaprime,"(2.267557135013701, 1.0566448165331743, -0.45211678659643295, 92.28876556707341)",0.23096
5,bradford,"(2.5310202809610844, 2.7166640297112643, 7418.216745604412)",0.0
6,burr,"(1.0227611820100757, 2.339109922943428, -1.2468110542278992, 84.33664637657733)",0.26793
7,cauchy,"(160.17375984150158, 135.61419222553423)",0.0
8,chi,"(0.4317070271803799, 2.716666666666666, 2025.5556311448422)",0.0
9,chi2,"(0.8153864729359364, 2.7166666666666663, 1927.6061645411482)",0.0
10,cosine,"(1545.3129318834913, 1894.4572993322001)",0.0
11,dgamma,"(0.4459242654538774, 113.54999999999998, 1390.3504543950876)",0.0
12,dweibull,"(0.5522666646500101, 117.96666666666665, 343.86845754357626)",0.0
13,erlang,"(0.5646241275413045, 2.716666666658933, 1296.1235412785327)",0.0
14,expon,"(2.716666666666667, 744.2467069892474)",0.0
15,exponnorm,"(279.11191956094046, 4.371809216365157, 2.6605512007711947)",0.0
16,exponweib,"(0.8796255440353393, 0.7430832471611002, 2.7166666666666663, 657.5372339384327)",0.0
17,exponpow,"(0.4021936311565639, 2.7166666666666663, 3874.0237111817055)",0.0
18,f,"(4.618752441665025, 2.1081652264111, -0.7202923059662454, 197.34230794083484)",0.23677
19,fatiguelife,"(1.6659493626395405, -6.245126144608269, 330.5436788309264)",0.0
20,fisk,"(1.2124636220991616, 2.527139999454792, 248.23466289769598)",0.04667
21,foldcauchy,"(1.983091123394215e-05, 2.7166666661684262, 237.5793463022714)",0.17034
22,foldnorm,"(0.022344774819561194, 2.7166666666480213, 1529.2218192560522)",0.0
23,frechet_r,"(0.6548758305640832, 2.716666666666666, 1431.0014290815889)",0.0
24,frechet_l,"(0.09806273111552444, 7420.933333333334, 1.7497459905702648)",0.0
25,genlogistic,"(2806.4685630356425, -4070.123869258944, 552.4450369498165)",0.0
26,genpareto,"(0.7022601973198177, 2.602445344528558, 287.9277731283569)",0.02179
27,gennorm,"(0.27526655713913994, 113.54999999999987, 2.151072001043014)",0.0
28,genexpon,"(2.2617745372113447, 3.178750781280038e-08, 1.2683718839053992, 2.6371210525908353, 1683.2308990832316)",0.0
29,genextreme,"(-1.0257481568369085, 152.2119526171852, 180.3224393475274)",0.46237
30,gausshyper,"(0.5512758216293455, 0.12465528824615302, 5.784616476183855, 3.1613598937905216, 2.7166666666666663, 18107.177465259498)",0.0
31,gamma,"(0.4469343528205552, 2.7166666666666663, 2617.7798384012412)",0.0
32,gengamma,"(1.1194726612913783, 0.6521247878046813, 2.7166666666666663, 446.50254172856177)",0.0
33,genhalflogistic,"(2.636293444736863e-10, -3.214826906985282, 623.9381907198906)",0.0
