Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-4th Alarm,2011-05-04 00:00:00,3471.0,2011,2011-18,124
Fire-2nd Alarm,2011-05-04 00:00:00,1145.0,2011,2011-18,124
Fire-5th Alarm,2011-05-10 00:00:00,4000.0,2011,2011-19,130
Fire-4th Alarm,2011-05-13 00:00:00,2097.0,2011,2011-19,133
Fire-School,2011-05-14 00:00:00,112.0,2011,2011-19,134
Fire-1st Alarm,2011-05-17 00:00:00,3333.0,2011,2011-20,137
Fire-1st Alarm,2011-05-19 00:00:00,65.0,2011,2011-20,139
Fire-1st Alarm,2011-05-20 00:00:00,4000.0,2011,2011-20,140
Fire-Nursing Home,2011-05-25 00:00:00,70.0,2011,2011-21,145
Fire-3rd Alarm,2011-05-26 00:00:00,272.0,2011,2011-21,146
Fire-4th Alarm,2011-06-04 00:00:00,4000.0,2011,2011-22,155
Fire-1st Alarm,2011-06-09 00:00:00,45.0,2011,2011-23,160
Fire-1st Alarm,2011-06-11 00:00:00,66.0,2011,2011-23,162
Fire-2nd Alarm,2011-06-24 00:00:00,90.0,2011,2011-25,175
Fire-3rd Alarm,2011-06-25 00:00:00,339.0,2011,2011-25,176
Fire-Sensitive Location,2011-06-27 00:00:00,86.0,2011,2011-26,178
Fire-Hospital,2011-06-27 00:00:00,54.0,2011,2011-26,178
Fire-2nd Alarm,2011-06-27 00:00:00,125.0,2011,2011-26,178
Fire-2nd Alarm,2011-07-08 00:00:00,601.0,2011,2011-27,189
Fire-2nd Alarm,2011-07-10 00:00:00,875.0,2011,2011-28,191
Fire-Manhole,2011-07-11 00:00:00,1335.0,2011,2011-28,192
Fire-4th Alarm,2011-07-11 20:57:59,1919.0,2011,2011-28,192
Fire-3rd Alarm,2011-07-12 00:00:00,257.0,2011,2011-28,193
Fire-4th Alarm,2011-07-20 00:00:00,4000.0,2011,2011-29,201
Fire-Hospital,2011-07-21 00:00:00,189.0,2011,2011-29,202
Fire-1st Alarm,2011-07-22 00:00:00,54.0,2011,2011-29,203
Fire-1st Alarm,2011-07-24 00:00:00,67.0,2011,2011-30,205
Fire-Explosion,2011-07-27 00:00:00,1234.0,2011,2011-30,208
Fire-1st Alarm,2011-08-01 00:00:00,3.0,2011,2011-31,213
Fire-10-77 (Residential High Rise),2011-08-04 00:00:00,79.0,2011,2011-31,216
Fire-3rd Alarm,2011-08-05 00:00:00,4000.0,2011,2011-31,217
Fire-3rd Alarm,2011-08-06 00:00:00,4000.0,2011,2011-31,218
Fire-Haz Mat,2011-08-08 00:00:00,83.0,2011,2011-32,220
Fire-1st Alarm,2011-08-12 18:55:48,114.5,2011,2011-32,224
Fire-Manhole,2011-08-17 00:00:00,199.0,2011,2011-33,229
Fire-Commercial,2011-08-19 00:00:00,106.0,2011,2011-33,231
Fire-4th Alarm,2011-08-21 00:00:00,1177.0,2011,2011-34,233
Fire-4th Alarm,2011-08-22 00:00:00,2464.0,2011,2011-34,234
Fire-2nd Alarm,2011-08-25 00:00:00,174.0,2011,2011-34,237
Fire-10-76 (Commercial High Rise),2011-08-28 00:00:00,236.0,2011,2011-35,240
Fire-3rd Alarm,2011-08-30 00:00:00,158.0,2011,2011-35,242
Fire-1st Alarm,2011-08-31 00:00:00,83.0,2011,2011-35,243
Fire-1st Alarm,2011-09-02 00:00:00,88.0,2011,2011-35,245
Fire-Sensitive Location,2011-09-07 00:00:00,78.0,2011,2011-36,250
Fire-10-77 (Residential High Rise),2011-09-12 00:00:00,77.0,2011,2011-37,255
Fire-School,2011-09-16 00:00:00,106.0,2011,2011-37,259
Fire-3rd Alarm,2011-09-16 00:00:00,2366.0,2011,2011-37,259
Fire-1st Alarm,2011-09-19 00:00:00,217.0,2011,2011-38,262
Fire-2nd Alarm,2011-09-20 00:00:00,100.0,2011,2011-38,263
Fire-Haz Mat,2011-09-22 00:00:00,111.0,2011,2011-38,265
Fire-5th Alarm,2011-09-23 00:00:00,1393.0,2011,2011-38,266
Fire-2nd Alarm,2011-09-24 00:00:00,4000.0,2011,2011-38,267
