Incident Type,Creation Date,Response Time,Year,Week,Day
Structural-Construction Accident,2011-05-04 00:00:00,71.0,2011,2011-18,124
Structural-Confined Space,2011-05-07 00:00:00,167.0,2011,2011-18,127
Structural-Scaffold,2011-05-07 00:00:00,204.0,2011,2011-18,127
Structural-Bricks,2011-05-10 00:00:00,1507.0,2011,2011-19,130
Structural-Construction Accident,2011-05-10 00:00:00,36.0,2011,2011-19,130
Structural-Collapse,2011-05-16 00:00:00,581.0,2011,2011-20,136
Structural-Life Safety Violations,2011-05-16 00:00:00,1025.0,2011,2011-20,136
Structural-Collapse,2011-05-18 00:00:00,4000.0,2011,2011-20,138
Structural-Street Collapse,2011-05-19 00:00:00,214.0,2011,2011-20,139
Structural-Street Collapse,2011-05-21 00:00:00,182.0,2011,2011-20,141
Structural-Other,2011-05-22 00:00:00,22.0,2011,2011-21,142
Structural-Scaffold,2011-05-23 00:00:00,312.0,2011,2011-21,143
Structural-Truck Into Underpass,2011-05-25 00:00:00,211.0,2011,2011-21,145
Structural-Collapse,2011-05-25 00:00:00,725.0,2011,2011-21,145
Structural-Sidewalk Shed,2011-05-27 00:00:00,342.0,2011,2011-21,147
Structural-Collapse,2011-05-28 00:00:00,238.0,2011,2011-21,148
Structural-Falling Debris,2011-05-29 00:00:00,1684.0,2011,2011-22,149
Structural-Life Safety Violations,2011-05-30 00:00:00,130.0,2011,2011-22,150
Structural-Sink Hole,2011-06-03 00:00:00,1838.0,2011,2011-22,154
Structural-Struck Overpass,2011-06-06 00:00:00,288.0,2011,2011-23,157
Structural-Stability Problem,2011-06-08 00:00:00,1910.0,2011,2011-23,159
Structural-Life Safety Violations,2011-06-09 00:00:00,2405.0,2011,2011-23,160
Structural-Scaffold,2011-06-09 00:00:00,88.0,2011,2011-23,160
Structural-Bricks,2011-06-09 00:00:00,32.0,2011,2011-23,160
Structural-Construction Accident,2011-06-10 00:00:00,129.0,2011,2011-23,161
Structural-Life Safety Violations,2011-06-13 00:00:00,4000.0,2011,2011-24,164
Structural-Stability Problem,2011-06-15 00:00:00,4000.0,2011,2011-24,166
Structural-Collapse,2011-06-17 00:00:00,132.0,2011,2011-24,168
Structural-Stability Problem,2011-06-19 00:00:00,70.0,2011,2011-25,170
Structural-Street Collapse,2011-06-21 12:37:34,634.0,2011,2011-25,172
Structural-Street Collapse,2011-06-25 00:00:00,178.0,2011,2011-25,176
Structural-Tractor Trailer Hit Overpass,2011-06-30 00:00:00,173.0,2011,2011-26,181
Structural-Street Collapse,2011-07-01 00:00:00,4000.0,2011,2011-26,182
Structural-Falling Debris,2011-07-05 00:00:00,138.0,2011,2011-27,186
Structural-Life Safety Violations,2011-07-06 00:00:00,1438.0,2011,2011-27,187
Structural-Life Safety Violations,2011-07-06 00:00:00,1080.0,2011,2011-27,187
Structural-Overturned Crane,2011-07-11 00:00:00,582.0,2011,2011-28,192
Structural-Parapet,2011-07-12 00:00:00,96.0,2011,2011-28,193
Structural-Bridge,2011-07-14 00:00:00,508.0,2011,2011-28,195
Structural-Tour Bus into Scaffolding,2011-07-19 00:00:00,86.0,2011,2011-29,200
Structural-Construction Accident,2011-07-20 00:00:00,189.0,2011,2011-29,201
Structural-Street Collapse,2011-07-20 00:00:00,117.0,2011,2011-29,201
Structural-Shaking Building,2011-07-20 00:00:00,19.0,2011,2011-29,201
Structural-Scaffold,2011-08-03 00:00:00,17.0,2011,2011-31,215
Structural-Other,2011-08-09 00:00:00,114.0,2011,2011-32,221
Structural-Partial Collapse,2011-08-14 00:00:00,1780.0,2011,2011-33,226
Structural-Scaffold,2011-08-14 00:00:00,98.0,2011,2011-33,226
Structural-Basement Flooding,2011-08-14 00:00:00,4000.0,2011,2011-33,226
Structural-Street Collapse,2011-08-14 00:00:00,3464.0,2011,2011-33,226
