Incident Type,Creation Date,Response Time,Year,Week,Day
Utility-Transformer Fire,2011-05-04 00:00:00,787.0,2011,2011-18,124
Utility-Electric Feeder Cable,2011-05-04 00:00:00,1688.0,2011,2011-18,124
Utility-Gas Line Rupture,2011-05-06 00:00:00,235.0,2011,2011-18,126
Utility-Water Service Line,2011-05-09 00:00:00,4000.0,2011,2011-19,129
Utility-Water Main,2011-05-13 00:00:00,371.0,2011,2011-19,133
Utility-Gas Main Rupture,2011-05-13 00:00:00,147.0,2011,2011-19,133
Utility-Sewer Service,2011-05-18 20:20:44,299.0,2011,2011-20,138
Utility-Gas Main Rupture,2011-05-24 00:00:00,197.0,2011,2011-21,144
Utility-Power Outage,2011-06-01 00:00:00,489.0,2011,2011-22,152
Utility-Gas Main Rupture,2011-06-02 00:00:00,148.0,2011,2011-22,153
Utility-Gas Main Rupture,2011-06-03 00:00:00,531.0,2011,2011-22,154
Utility-Gas Main Break,2011-06-06 00:00:00,152.0,2011,2011-23,157
Utility-Power Outage,2011-06-09 00:00:00,345.0,2011,2011-23,160
Utility-Staten Island Hospital - Air Conditioning Failure,2011-06-09 00:00:00,1385.0,2011,2011-23,160
Utility-Manhole,2011-06-10 00:00:00,389.0,2011,2011-23,161
Utility-Water Service Line,2011-06-13 00:00:00,1601.0,2011,2011-24,164
Utility-Gas Main Break,2011-06-14 00:00:00,54.0,2011,2011-24,165
Utility-Water Service Line,2011-06-16 00:00:00,7.0,2011,2011-24,167
Utility-Water Main,2011-06-17 00:00:00,154.0,2011,2011-24,168
Utility-Power Outage,2011-06-20 00:00:00,229.0,2011,2011-25,171
Utility-Gas Service Line,2011-06-22 00:00:00,72.0,2011,2011-25,173
Utility-Water Main,2011-06-23 00:00:00,1539.0,2011,2011-25,174
Utility-Manhole,2011-06-24 00:00:00,298.0,2011,2011-25,175
Utility-Manhole,2011-06-24 00:00:00,158.0,2011,2011-25,175
Utility-Water Leak,2011-06-26 00:00:00,322.0,2011,2011-26,177
