,Incident Type,Response Time,minute
1030,Fire+AC0-4th Alarm,3471.266666666667,60
6496,Fire+AC0-2nd Alarm,1145.5166666666667,60
1121,Fire+AC0-5th Alarm,4931.0,60
6427,Fire+AC0-4th Alarm,2097.416666666667,60
6426,Fire+AC0-School,112.11666666666666,60
1127,Fire+AC0-1st Alarm,3333.9333333333334,60
6168,Fire+AC0-1st Alarm,65.03333333333335,60
3589,Fire+AC0-1st Alarm,4931.0,60
6267,Fire+AC0-Nursing Home,70.8,60
1153,Fire+AC0-3rd Alarm,272.43333333333334,60
6177,Fire+AC0-4th Alarm,4931.0,60
6489,Fire+AC0-1st Alarm,45.9,60
1254,Fire+AC0-1st Alarm,66.9,60
1325,Fire+AC0-2nd Alarm,90.28333333333333,60
1346,Fire+AC0-3rd Alarm,339.3333333333333,60
6553,Fire+AC0-Sensitive Location,86.9,60
1347,Fire+AC0-Hospital,54.9,60
6234,Fire+AC0-2nd Alarm,125.45000000000002,60
1439,Fire+AC0-2nd Alarm,601.3666666666667,60
1441,Fire+AC0-2nd Alarm,875.0,60
1443,Fire+AC0-Manhole,1335.2,60
1459,Fire+AC0-3rd Alarm,257.4666666666667,60
1702,Fire+AC0-4th Alarm,4931.0,60
6325,Fire+AC0-Hospital,189.05,60
6259,Fire+AC0-1st Alarm,54.9,60
6556,Fire+AC0-1st Alarm,67.53333333333335,60
6355,Fire+AC0-Explosion,1234.7,60
1509,Fire+AC0-1st Alarm,3.2666666666666666,60
1537,Fire+AC0-10+AC0-77 (Residential High Rise),79.85,60
1542,Fire+AC0-3rd Alarm,4931.0,60
6157,Fire+AC0-3rd Alarm,4931.0,60
6499,Fire+AC0-Haz Mat,83.55,60
6326,Fire+AC0-Manhole,199.4,60
1655,Fire+AC0-Commercial,106.38333333333334,60
6316,Fire+AC0-4th Alarm,1177.0833333333333,60
1674,Fire+AC0-4th Alarm,2464.0333333333333,60
1677,Fire+AC0-2nd Alarm,174.96666666666667,60
6179,Fire+AC0-10+AC0-76 (Commercial High Rise),236.63333333333333,60
6104,Fire+AC0-3rd Alarm,158.66666666666666,60
1695,Fire+AC0-1st Alarm,83.36666666666666,60
1700,Fire+AC0-1st Alarm,88.43333333333334,60
1705,Fire+AC0-Sensitive Location,78.38333333333334,60
1729,Fire+AC0-10+AC0-77 (Residential High Rise),77.1,60
6387,Fire+AC0-School,106.63333333333334,60
1776,Fire+AC0-3rd Alarm,2366.0833333333335,60
1779,Fire+AC0-1st Alarm,217.33333333333334,60
1783,Fire+AC0-2nd Alarm,100.38333333333334,60
6537,Fire+AC0-Haz Mat,111.61666666666666,60
6448,Fire+AC0-5th Alarm,1393.8166666666666,60
1810,Fire+AC0-2nd Alarm,4172.716666666667,60
1806,Fire+AC0-Vehicle Fire,70.25,60
1832,Fire+AC0-1st Alarm,115.25,60
1855,Fire+AC0-10+AC0-77 (Residential High Rise),38.75,60
1859,Fire+AC0-Haz Mat,373.0,60
1882,Fire+AC0-1st Alarm,151.63333333333333,60
1883,Fire+AC0-Wires,997.9000000000001,60
1888,Fire+AC0-10+AC0-76 (Commercial High Rise),1504.95,60
6599,Fire+AC0-2nd Alarm,172.2,60
1966,Fire+AC0-2nd Alarm,4931.0,60
1936,Fire+AC0-1st Alarm,96.35,60
6501,Fire+AC0-Haz Mat,84.63333333333334,60
2018,Fire+AC0-2nd Alarm,175.36666666666667,60
6601,Fire+AC0-1st Alarm,305.76666666666665,60
6475,Fire+AC0-2nd Alarm,90.41666666666667,60
6502,Fire+AC0-2nd Alarm,650.8166666666667,60
6459,Fire+AC0-10+AC0-77 (Residential High Rise),88.6,60
6460,Fire+AC0-Overturn Tractor Trailer,142.1,60
6558,Fire+AC0-2nd Alarm,85.13333333333334,60
6538,Fire+AC0-Sensitive Location,14.783333333333333,60
6339,Fire+AC0-Manhole,92.71666666666667,60
6476,Fire+AC0-1st Alarm,166.45,60
6548,Fire+AC0-Hospital,421.1166666666667,60
6559,Fire+AC0-1st Alarm,89.05,60
2110,Fire+AC0-3rd Alarm,4931.0,60
2121,Fire+AC0-Sensitive Location,65.11666666666667,60
2130,Fire+AC0-10+AC0-76 (Commercial High Rise),71.9,60
2132,Fire+AC0-1st Alarm,94.33333333333333,60
2137,Fire+AC0-2nd Alarm,92.61666666666666,60
2144,Fire+AC0-1st Alarm,58.81666666666667,60
2166,Fire+AC0-1st Alarm,4931.0,60
2146,Fire+AC0-10+AC0-77 (Residential High Rise),88.21666666666667,60
2159,Fire+AC0-2nd Alarm,206.6,60
2161,Fire+AC0-10+AC0-76 (Commercial High Rise),61.70000000000001,60
2163,Fire+AC0-10+AC0-76 (Commercial High Rise),195.18333333333334,60
2167,Fire+AC0-1st Alarm,85.65,60
2168,Fire+AC0-2nd Alarm,81.11666666666666,60
2170,Fire+AC0-1st Alarm,47.65,60
2187,Fire+AC0-2nd Alarm,1190.4,60
2195,Fire+AC0-2nd Alarm,1160.4166666666667,60
2207,Fire+AC0-2nd Alarm,1906.7166666666667,60
6589,Fire+AC0-1st Alarm,90.13333333333334,60
2223,Fire+AC0-10+AC0-77 (Residential High Rise),1444.2833333333333,60
2313,Fire+AC0-2nd Alarm,4931.0,60
2265,Fire+AC0-3rd Alarm,276.76666666666665,60
2268,Fire+AC0-3rd Alarm,916.35,60
2269,Fire+AC0-3rd Alarm,527.4000000000001,60
2282,Fire+AC0-Hospital,71.76666666666667,60
6647,Fire+AC0-1st Alarm,149.13333333333333,60
2328,Fire+AC0-Collapse,146.31666666666666,60
2337,Fire+AC0-Nursing Home,59.78333333333333,60
6590,Fire+AC0-2nd Alarm,4931.0,60
6664,Fire+AC0-1st Alarm,76.68333333333334,60
6524,Fire+AC0-Haz Mat,283.3666666666667,60
6450,Fire+AC0-Manhole,1376.5,60
2414,Fire+AC0-3rd Alarm,4931.0,60
6525,Fire+AC0-1st Alarm,110.51666666666667,60
2364,Fire+AC0-4th Alarm,589.7333333333333,60
2473,Fire+AC0-10+AC0-77 (Residential High Rise),4931.0,60
2421,Fire+AC0-10+AC0-77 (Residential High Rise),107.81666666666666,60
6419,Fire+AC0-4th Alarm,4883.016666666666,60
6565,Fire+AC0-1st Alarm,72.3,60
6570,Fire+AC0-1st Alarm,1551.8666666666666,60
2477,Fire+AC0-4th Alarm,232.8,60
2481,Fire+AC0-1st Alarm,148.98333333333332,60
2483,Fire+AC0-1st Alarm,95.93333333333334,60
6482,Fire+AC0-3rd Alarm,1475.3833333333334,60
6514,Fire+AC0-1st Alarm,658.9,60
6561,Fire+AC0-3rd Alarm,930.9833333333333,60
2526,Fire+AC0-Manhole,126.98333333333335,60
2528,Fire+AC0-3rd Alarm,2212.45,60
6641,Fire+AC0-3rd Alarm,269.6166666666667,60
2533,Fire+AC0-3rd Alarm,385.01666666666665,60
2534,Fire+AC0-Fatal Elevator Incident,349.51666666666665,60
2545,Fire+AC0-10+AC0-76 (Commercial High Rise),1036.5166666666669,60
6429,Fire+AC0-4th Alarm,345.0,60
6541,Fire+AC0-10+AC0-76 (Commercial High Rise),82.18333333333334,60
6648,Fire+AC0-Brush,2769.9333333333334,60
6679,Fire+AC0-Hospital,30.35,60
2557,Fire+AC0-1st Alarm,69.56666666666666,60
2560,Fire+AC0-Brush Fire 2nd Alarm Fire,2665.0333333333333,60
2559,Fire+AC0-10+AC0-77 (Residential High Rise),277.73333333333335,60
2571,Fire+AC0-4th Alarm,4931.0,60
6602,Fire+AC0-School,37.15,60
6594,Fire+AC0-2nd Alarm,311.06666666666666,60
6527,Fire+AC0-1st Alarm,149.96666666666667,60
2589,Fire+AC0-Sensitive Location,1126.1166666666666,60
2588,Fire+AC0-2nd Alarm,133.76666666666668,60
2592,Fire+AC0-Sensitive Location,1317.7833333333333,60
2601,Fire+AC0-2nd Alarm,4931.0,60
6690,Fire+AC0-Sensitive Location,119.96666666666667,60
2625,Fire+AC0-3rd Alarm,292.75,60
6542,Fire+AC0-10+AC0-76 (Commercial High Rise),494.08333333333337,60
6622,Fire+AC0-1st Alarm,4931.0,60
6604,Fire+AC0-10+AC0-77 (Residential High Rise),133.43333333333334,60
6649,Fire+AC0-1st Alarm,168.8,60
2663,Fire+AC0-1st Alarm,29.45,60
2674,Fire+AC0-10+AC0-76 (Commercial High Rise),172.78333333333333,60
2675,Fire+AC0-Explosion,179.21666666666667,60
2680,Fire+AC0-10+AC0-77 (Residential High Rise),142.71666666666667,60
2681,Fire+AC0-3rd Alarm,864.0333333333333,60
2689,Fire+AC0-1st Alarm,3154.7166666666667,60
2696,Fire+AC0-2nd Alarm,85.13333333333334,60
2698,Fire+AC0-House of Worship +AC0- Synagogue,75.68333333333334,60
2699,Fire+AC0-2nd Alarm,300.18333333333334,60
2700,Fire+AC0-1st Alarm,62.16666666666667,60
6613,Fire+AC0-1st Alarm,384.0,60
6744,Fire+AC0-4th Alarm,443.55,60
