,Incident Type,Response Time,minute
1029,Law Enforcement+AC0-Suspicious Package,42.56666666666667,60
6452,Law Enforcement+AC0-Suspicious Package,67.11666666666667,60
1085,Law Enforcement+AC0-Explosion,79.51666666666667,60
1088,Law Enforcement+AC0-Suspicious Package,74.45,60
6510,Law Enforcement+AC0-Suspicious Package,23.466666666666665,60
1125,Law Enforcement+AC0-Suspicious Package,35.016666666666666,60
1135,Law Enforcement+AC0-Suspicious Package,133.95000000000002,60
1182,Law Enforcement+AC0-Suspicious Package,77.53333333333333,60
1256,Law Enforcement+AC0-Suspicious Package,100.98333333333333,60
1489,Law Enforcement+AC0-Suspicious Package,14.55,60
1492,Law Enforcement+AC0-Suspicious Package,73.95,60
1513,Law Enforcement+AC0-Suspicious Package,88.16666666666667,60
6276,Law Enforcement+AC0-Suspicious Package,26.566666666666666,60
6072,Law Enforcement+AC0-Suspicious Package,38.13333333333333,60
6315,Law Enforcement+AC0-Device,25.316666666666666,60
1657,Law Enforcement+AC0-Suspicious Package,47.43333333333333,60
1680,Law Enforcement+AC0-Suspicious Package,50.21666666666667,60
1693,Law Enforcement+AC0-Suspicious Package,74.88333333333334,60
6277,Law Enforcement+AC0-Device,38.93333333333333,60
1696,Law Enforcement+AC0-Suspicious Package,77.11666666666666,60
1698,Law Enforcement+AC0-Suspicious Package,11.116666666666667,60
1706,Law Enforcement+AC0-Device,16.000000000000004,60
6447,Law Enforcement+AC0-Suspicious Package,45.733333333333334,60
1727,Law Enforcement+AC0-Suspicious Package,83.55,60
1772,Law Enforcement+AC0-Suspicious Package,67.26666666666668,60
1778,Law Enforcement+AC0-Suspicious Package,67.55000000000001,60
2061,Law Enforcement+AC0-Suspicious Package,1145.0,60
1781,Law Enforcement+AC0-Suspicious Package,39.31666666666667,60
1786,Law Enforcement+AC0-Suspicious Package,7.666666666666668,60
1789,Law Enforcement+AC0-Suspicious Package,30.51666666666667,60
1809,Law Enforcement+AC0-Suspicious Package,55.9,60
6196,Law Enforcement+AC0-Haz Mat,115.5,60
6528,Law Enforcement+AC0-Civil Unrest,1145.0,60
1814,Law Enforcement+AC0-Suspicious Package,36.31666666666667,60
1841,Law Enforcement+AC0-Device,52.81666666666667,60
1884,Law Enforcement+AC0-Suspicious Package,51.166666666666664,60
1887,Law Enforcement+AC0-Jumper Up,184.08333333333334,60
1912,Law Enforcement+AC0-Bomb Threat,166.68333333333334,60
6473,Law Enforcement+AC0-Device,214.01666666666668,60
1964,Law Enforcement+AC0-Suspicious Package,47.28333333333333,60
1968,Law Enforcement+AC0-Found Grenade,32.28333333333334,60
1986,Law Enforcement+AC0-Suspicious Package,42.8,60
1988,Law Enforcement+AC0-Suspicious Package,40.9,60
1989,Law Enforcement+AC0-Suspicious Package,67.63333333333334,60
1993,Law Enforcement+AC0-Suspicious Package,42.583333333333336,60
6363,Law Enforcement+AC0-Suspicious Package,70.93333333333334,60
2036,Law Enforcement+AC0-Suspicious Package,69.26666666666667,60
6547,Law Enforcement+AC0-Suspicious Package,42.733333333333334,60
2060,Law Enforcement+AC0-Suspicious Package,48.28333333333333,60
2062,Law Enforcement+AC0-Suspicious Package,20.983333333333334,60
2063,Law Enforcement+AC0-Suspicious Package,52.43333333333333,60
2066,Law Enforcement+AC0-Suspicious Package,46.68333333333333,60
2070,Law Enforcement+AC0-Suspicious Package,146.31666666666666,60
6317,Law Enforcement+AC0-Suspicious Package,31.650000000000002,60
2107,Law Enforcement+AC0-Suspicious Vehicle,35.46666666666667,60
2108,Law Enforcement+AC0-Suspicious Package,45.36666666666667,60
2118,Law Enforcement+AC0-Suspicious Package,46.0,60
2135,Law Enforcement+AC0-Suspicious Package,85.36666666666666,60
2136,Law Enforcement+AC0-Suspicious Package,124.23333333333335,60
2139,Law Enforcement+AC0-Suspicious Package,55.233333333333334,60
2145,Law Enforcement+AC0-Suspicious Package,21.416666666666668,60
2149,Law Enforcement+AC0-Suspicious Package,108.58333333333333,60
2202,Law Enforcement+AC0-Suspicious Package,31.083333333333336,60
2221,Law Enforcement+AC0-Suspicious Package,27.15,60
2261,Law Enforcement+AC0-Suspicious Package,31.16666666666667,60
2283,Law Enforcement+AC0-Suspicious Package,70.56666666666666,60
2290,Law Enforcement+AC0-Suspicious Package,56.13333333333333,60
2304,Law Enforcement+AC0-Suspicious Package,45.18333333333333,60
6550,Law Enforcement+AC0-Found Explosives,163.95,60
2333,Law Enforcement+AC0-Suspicious Package,133.16666666666669,60
2334,Law Enforcement+AC0-Suspicious Package,106.36666666666666,60
2339,Law Enforcement+AC0-Suspicious Package,68.38333333333334,60
6560,Law Enforcement+AC0-Suspicious Package,91.66666666666667,60
2363,Law Enforcement+AC0-Suspicious Package,142.45,60
2413,Law Enforcement+AC0-Suspicious Package,19.216666666666665,60
2424,Law Enforcement+AC0-Suspicious Package,66.66666666666667,60
2475,Law Enforcement+AC0-Suspicious Package,44.36666666666667,60
2513,Law Enforcement+AC0-Suspicious Package,47.3,60
2522,Law Enforcement+AC0-Suspicious Package,60.71666666666667,60
2537,Law Enforcement+AC0-Suspicious Package,45.233333333333334,60
2551,Law Enforcement+AC0-Suspicious Package,73.78333333333333,60
2552,Law Enforcement+AC0-Suspicious Package,3.5833333333333335,60
6592,Law Enforcement+AC0-Suspicious Package,20.983333333333334,60
6562,Law Enforcement+AC0-Suspicious Package,65.23333333333333,60
2568,Law Enforcement+AC0-Suspicious Package,11.583333333333334,60
2574,Law Enforcement+AC0-Suspicious Package,32.483333333333334,60
2585,Law Enforcement+AC0-Bomb Threat,57.45,60
2590,Law Enforcement+AC0-Device,55.85,60
6572,Law Enforcement+AC0-Haz Mat,225.21666666666667,60
2596,Law Enforcement+AC0-Haz Mat,150.58333333333334,60
2594,Law Enforcement+AC0-Haz Mat,64.28333333333335,60
2597,Law Enforcement+AC0-Haz Mat,224.75,60
2598,Law Enforcement+AC0-Haz Mat,91.2,60
6551,Law Enforcement+AC0-Suspicious Package,99.21666666666667,60
2617,Law Enforcement+AC0-Suspicious Package,13.533333333333333,60
2640,Law Enforcement+AC0-Suspicious Package,56.15,60
2641,Law Enforcement+AC0-Suspicious Package,44.68333333333333,60
6479,Law Enforcement+AC0-Suspicious Package,54.25,60
2647,Law Enforcement+AC0-Suspicious Package,307.05,60
2669,Law Enforcement+AC0-Suspicious Package,638.4833333333333,60
2690,Law Enforcement+AC0-Suspicious Package,107.85,60
2705,Law Enforcement+AC0-Suspicious Package,45.766666666666666,60
2709,Law Enforcement+AC0-Suspicious Package,129.41666666666669,60
2722,Law Enforcement+AC0-Suspicious Package,27.716666666666665,60
2724,Law Enforcement+AC0-Suspicious Package,28.566666666666666,60
2728,Law Enforcement+AC0-Suspicious Package,66.46666666666667,60
6615,Law Enforcement+AC0-White Powder,55.333333333333336,60
2734,Law Enforcement+AC0-Suspicious Package,42.983333333333334,60
6715,Law Enforcement+AC0-Suspicious Package,104.78333333333333,60
6634,Law Enforcement+AC0-Suspicious Package,34.083333333333336,60
2750,Law Enforcement+AC0-Suspicious Package,59.1,60
2758,Law Enforcement+AC0-Suspicious Package,15.416666666666668,60
2781,Law Enforcement+AC0-Suspicious Package,40.483333333333334,60
6616,Law Enforcement+AC0-Suspicious Package,53.96666666666667,60
2787,Law Enforcement+AC0-Device,71.5,60
2816,Law Enforcement+AC0-Device,47.333333333333336,60
2838,Law Enforcement+AC0-Device,35.95,60
2839,Law Enforcement+AC0-Suspicious Package,38.61666666666667,60
2841,Law Enforcement+AC0-Suspicious Package,48.15,60
2842,Law Enforcement+AC0-Suspicious Package,18.45,60
2845,Law Enforcement+AC0-Suspicious Package,48.416666666666664,60
2871,Law Enforcement+AC0-Suspicious Package,39.53333333333333,60
2886,Law Enforcement+AC0-Suspicious Package,52.8,60
2889,Law Enforcement+AC0-Suspicious Package,42.2,60
2892,Law Enforcement+AC0-Device,22.316666666666666,60
2896,Law Enforcement+AC0-Haz Mat,137.31666666666666,60
2898,Law Enforcement+AC0-Device,39.4,60
2900,Law Enforcement+AC0-Haz Mat,25.433333333333334,60
2910,Law Enforcement+AC0-Suspicious Package,76.86666666666666,60
2923,Law Enforcement+AC0-Suspicious Package,34.75,60
2925,Law Enforcement+AC0-Suspicious Package,51.483333333333334,60
2929,Law Enforcement+AC0-Device,39.2,60
6579,Law Enforcement+AC0-Suspicious Package,92.38333333333334,60
2931,Law Enforcement+AC0-Suspicious Package,49.63333333333333,60
2947,Law Enforcement+AC0-White Powder,55.21666666666667,60
2954,Law Enforcement+AC0-Suspicious Package,123.78333333333335,60
2957,Law Enforcement+AC0-Suspicious Package,52.88333333333333,60
6597,Law Enforcement+AC0-Suspicious Package,32.56666666666667,60
2959,Law Enforcement+AC0-Suspicious Package,74.6,60
2975,Law Enforcement+AC0-Suspicious Vehicle,44.68333333333333,60
6568,Law Enforcement+AC0-Suspicious Package,54.1,60
2982,Law Enforcement+AC0-Suspicious Package,0.0,60
6794,Law Enforcement+AC0-Suspicious Package,87.08333333333333,60
2987,Law Enforcement+AC0-Device,66.58333333333334,60
2988,Law Enforcement+AC0-Suspicious Package,47.78333333333333,60
3065,Law Enforcement+AC0-Suspicious Package,57.71666666666667,60
3079,Law Enforcement+AC0-Suspicious Package,61.866666666666674,60
3090,Law Enforcement+AC0-Suspicious Package,22.183333333333334,60
3092,Law Enforcement+AC0-Suspicious Package,29.583333333333332,60
6816,Law Enforcement+AC0-Suspicious Package,47.1,60
6839,Law Enforcement+AC0-Suspicious Package,16.983333333333334,60
3116,Law Enforcement+AC0-Suspicious Package,95.0,60
3114,Law Enforcement+AC0-Suspicious Powder,43.96666666666667,60
6627,Law Enforcement+AC0-Suspicious Package,46.1,60
3166,Law Enforcement+AC0-Suspicious Package,65.46666666666667,60
3191,Law Enforcement+AC0-Suspicious Package,539.1833333333334,60
3196,Law Enforcement+AC0-Device,20.95,60
3202,Law Enforcement+AC0-Suspicious Package,37.516666666666666,60
6638,Law Enforcement+AC0-Suspicious Package,43.983333333333334,60
3222,Law Enforcement+AC0-Device,298.85,60
3253,Law Enforcement+AC0-Un Authorized Tractor Trailer,0.0,60
6661,Law Enforcement+AC0-Device,44.86666666666667,60
3270,Law Enforcement+AC0-Suspicious Package,36.6,60
6845,Law Enforcement+AC0-Device,39.733333333333334,60
3296,Law Enforcement+AC0-Suspicious Package,31.150000000000002,60
3298,Law Enforcement+AC0-Device,33.81666666666667,60
6872,Law Enforcement+AC0-Suspicious Package,70.05,60
3308,Law Enforcement+AC0-Suspicious Package,10.233333333333333,60
3309,Law Enforcement+AC0-Suspicious Package,100.36666666666666,60
6699,Law Enforcement+AC0-Suspicious Package,8.733333333333333,60
6881,Law Enforcement+AC0-Suspicious Package,55.25,60
3332,Law Enforcement+AC0-Suspicious Package,8.7,60
3337,Law Enforcement+AC0-Suspicious Package,25.716666666666665,60
3338,Law Enforcement+AC0-Suspicious Package,75.71666666666667,60
3359,Law Enforcement+AC0-Suspicious Package,41.61666666666667,60
6925,Law Enforcement+AC0-Suspicious Package,42.18333333333333,60
6913,Law Enforcement+AC0-Suspicious Package,92.4,60
3396,Law Enforcement+AC0-Device,52.43333333333333,60
3399,Law Enforcement+AC0-Suspicious Package,43.18333333333333,60
3400,Law Enforcement+AC0-Suspicious Package,83.58333333333333,60
3401,Law Enforcement+AC0-Suspicious Package,92.93333333333334,60
3403,Law Enforcement+AC0-Suspicious Package,58.55,60
3404,Law Enforcement+AC0-Suspicious Package,77.43333333333334,60
3405,Law Enforcement+AC0-Suspicious Package,39.71666666666667,60
3406,Law Enforcement+AC0-Suspicious Package,39.233333333333334,60
6903,Law Enforcement+AC0-Suspicious Package,101.98333333333333,60
3417,Law Enforcement+AC0-Suspicious Package,59.083333333333336,60
3418,Law Enforcement+AC0-Suspicious Package,55.45,60
3420,Law Enforcement+AC0-Suspicious Package,211.63333333333333,60
6730,Law Enforcement+AC0-Suspicious Package,94.2,60
3423,Law Enforcement+AC0-Suspicious Vehicle,84.88333333333334,60
6739,Law Enforcement+AC0-Suspicious Package,63.06666666666668,60
6896,Law Enforcement+AC0-Suspicious Package,504.66666666666674,60
3424,Law Enforcement+AC0-Suspicious Package,61.51666666666667,60
6873,Law Enforcement+AC0-Suspicious Package,38.833333333333336,60
3425,Law Enforcement+AC0-Suspicious Package,100.15,60
3426,Law Enforcement+AC0-Suspicious Package,57.68333333333333,60
3438,Law Enforcement+AC0-Device,126.23333333333335,60
3442,Law Enforcement+AC0-Suspicious Package,49.516666666666666,60
3448,Law Enforcement+AC0-Suspicious Package,44.983333333333334,60
3451,Law Enforcement+AC0-Suspicious Package,76.45,60
3453,Law Enforcement+AC0-Suspicious Package,60.35,60
3455,Law Enforcement+AC0-Suspicious Package,14.083333333333334,60
3473,Law Enforcement+AC0-Suspicious Package,45.9,60
3475,Law Enforcement+AC0-Bomb Threat,49.083333333333336,60
3481,Law Enforcement+AC0-Suspicious Package,69.61666666666666,60
3500,Law Enforcement+AC0-Suspicious Package,333.6166666666667,60
3501,Law Enforcement+AC0-Suspicious Package,59.833333333333336,60
6915,Law Enforcement+AC0-Suspicious Vehicle,97.2,60
3507,Law Enforcement+AC0-Suspicious Package,44.583333333333336,60
6772,Law Enforcement+AC0-Suspicious Substance,1145.0,60
3510,Law Enforcement+AC0-Suspicious Substance,1145.0,60
6710,Law Enforcement+AC0-Suspicious Package,48.916666666666664,60
3511,Law Enforcement+AC0-Suspicious Package,0.0,60
6773,Law Enforcement+AC0-Suspicious Powder,245.0166666666667,60
3515,Law Enforcement+AC0-Suspicious Package,9.583333333333334,60
3525,Law Enforcement+AC0-Suspicious Package,216.78333333333333,60
6711,Law Enforcement+AC0-Suspicious Package,84.35,60
3530,Law Enforcement+AC0-Suspicious Package,87.03333333333333,60
6944,Law Enforcement+AC0-Suspicious Package,27.283333333333335,60
6875,Law Enforcement+AC0-Suspicious Package,44.95,60
3586,Law Enforcement+AC0-Suspicious Package,25.183333333333334,60
3587,Law Enforcement+AC0-Suspicious Package,27.75,60
3588,Law Enforcement+AC0-Suspicious Package,43.81666666666667,60
3606,Law Enforcement+AC0-White Powder,90.46666666666667,60
6782,Law Enforcement+AC0-Suspicious Package,27.65,60
3612,Law Enforcement+AC0-Suspicious Package,13.066666666666666,60
3637,Law Enforcement+AC0-Suspicious Vehicle,8.350000000000001,60
3642,Law Enforcement+AC0-Suspicious Package,43.233333333333334,60
6965,Law Enforcement+AC0-Suspicious Package,24.8,60
6900,Law Enforcement+AC0-Suspicious Package,40.333333333333336,60
6989,Law Enforcement+AC0-Suspicious Package,20.933333333333334,60
3685,Law Enforcement+AC0-Suspicious Package,78.96666666666667,60
3706,Law Enforcement+AC0-Haz Mat,1145.0,60
3710,Law Enforcement+AC0-Suspicious Package,45.666666666666664,60
3712,Law Enforcement+AC0-Suspicious Package,132.5666666666667,60
3717,Law Enforcement+AC0-Report of Police Officer Shot,5.066666666666666,60
3732,Law Enforcement+AC0-Suspicious Package,114.01666666666667,60
6920,Law Enforcement+AC0-Suspicious Package,98.55,60
3771,Law Enforcement+AC0-Device,46.983333333333334,60
4056,Law Enforcement+AC0-Suspicious Device,1145.0,60
3776,Law Enforcement+AC0-Suspicious Package,66.85000000000001,60
3795,Law Enforcement+AC0-Suspicious Package,426.05,60
3796,Law Enforcement+AC0-Suspicious Package,166.71666666666667,60
6929,Law Enforcement+AC0-Suspicious Package,78.8,60
3798,Law Enforcement+AC0-Suspicious Package,57.28333333333333,60
3799,Law Enforcement+AC0-Suspicious Package,49.916666666666664,60
3802,Law Enforcement+AC0-Suspicious Package,98.56666666666666,60
6894,Law Enforcement+AC0-Suspicious Package,46.03333333333333,60
3805,Law Enforcement+AC0-Suspicious Package,67.61666666666667,60
3806,Law Enforcement+AC0-Suspicious Package,52.233333333333334,60
3808,Law Enforcement+AC0-Suspicious Package,129.73333333333335,60
3821,Law Enforcement+AC0-Suspicious Package,753.4333333333333,60
3822,Law Enforcement+AC0-Suspicious Package,52.85,60
3824,Law Enforcement+AC0-Suspicious Vehicle,58.9,60
6953,Law Enforcement+AC0-Suspicious Package,1145.0,60
6866,Law Enforcement+AC0-Suspicious Package,74.5,60
3825,Law Enforcement+AC0-Suspicious Package,36.03333333333333,60
4039,Law Enforcement+AC0-Suspicious Package,1145.0,60
3826,Law Enforcement+AC0-Suspicious Package,15.816666666666668,60
6814,Law Enforcement+AC0-Suspicious Package,66.85000000000001,60
3829,Law Enforcement+AC0-Suspicious Package,33.983333333333334,60
3831,Law Enforcement+AC0-Device,54.233333333333334,60
3843,Law Enforcement+AC0-Suspicious Package,189.55,60
6952,Law Enforcement+AC0-Suspicious Package,1145.0,60
3845,Law Enforcement+AC0-Suspicious Package,29.133333333333333,60
3847,Law Enforcement+AC0-Suspicious Package,30.0,60
3850,Law Enforcement+AC0-Suspicious Package,72.2,60
3857,Law Enforcement+AC0-Missing Person,1145.0,60
3858,Law Enforcement+AC0-Suspicious Package,21.0,60
3871,Law Enforcement+AC0-Suspicious Package,108.03333333333333,60
3875,Law Enforcement+AC0-Suspicious Package,98.91666666666667,60
4033,Law Enforcement+AC0-Suspicious Package,1145.0,60
6902,Law Enforcement+AC0-Suspicious Vehicle,226.45,60
6908,Law Enforcement+AC0-Suspicious Package,156.36666666666667,60
3984,Law Enforcement+AC0-Possible Bomb Threat,26.066666666666666,60
3986,Law Enforcement+AC0-Suspicious Package,37.583333333333336,60
4013,Law Enforcement+AC0-Suspicious Package,1145.0,60
4011,Law Enforcement+AC0-School Evacuation,155.66666666666666,60
4018,Law Enforcement+AC0-Suspicious Package,55.65,60
7024,Law Enforcement+AC0-Suspicious Vehicle,18.483333333333334,60
4060,Law Enforcement+AC0-Suspicious Package,35.11666666666667,60
4063,Law Enforcement+AC0-Suspicious Package,75.4,60
4064,Law Enforcement+AC0-Device,46.03333333333333,60
7101,Law Enforcement+AC0-Suspicious Package,67.4,60
4088,Law Enforcement+AC0-Subway Track Search,159.61666666666667,60
4123,Law Enforcement+AC0-Suspicious Package,63.183333333333344,60
6982,Law Enforcement+AC0-Suspicious Package,1145.0,60
7044,Law Enforcement+AC0-Suspicious Package,1145.0,60
4176,Law Enforcement+AC0-Suspicious Package,88.11666666666666,60
6963,Law Enforcement+AC0-Explosion,125.15000000000002,60
4212,Law Enforcement+AC0-Mobilization,74.81666666666666,60
7016,Law Enforcement+AC0-Suspicious Package,44.35,60
7103,Law Enforcement+AC0-School Lock Down,24.466666666666665,60
7001,Law Enforcement+AC0-Suspicious Package,73.46666666666667,60
7017,Law Enforcement+AC0-Suspicious Package,47.03333333333333,60
4256,Law Enforcement+AC0-Suspicious Package,94.18333333333334,60
4258,Law Enforcement+AC0-Explosion,445.8666666666667,60
7110,Law Enforcement+AC0-Suspicious Package,16.35,60
4275,Law Enforcement+AC0-Suspicious Package,47.583333333333336,60
4300,Law Enforcement+AC0-Suspicious Package,1145.0,60
4287,Law Enforcement+AC0-Suspicious Package,171.15,60
4309,Law Enforcement+AC0-Haz Mat,1145.0,60
7125,Law Enforcement+AC0-Suspicious Package,4.183333333333334,60
4339,Law Enforcement+AC0-Suspicious powder,1145.0,60
4406,Law Enforcement+AC0-Suspicious Package,94.55,60
4452,Law Enforcement+AC0-Suspicious Package,1.8666666666666667,60
4455,Law Enforcement+AC0-Suspicious Package,171.08333333333334,60
4456,Law Enforcement+AC0-Suspicious Package,14.433333333333334,60
7064,Law Enforcement+AC0-Suspicious Package,71.83333333333333,60
7065,Law Enforcement+AC0-Device,40.55,60
7094,Law Enforcement+AC0-Suspicious Package,54.06666666666667,60
7066,Law Enforcement+AC0-Suspicious Package,106.3,60
4475,Law Enforcement+AC0-Suspicious Vehicle,56.06666666666667,60
7082,Law Enforcement+AC0-Suspicious Package,1145.0,60
7157,Law Enforcement+AC0-Suspicious Package,67.13333333333334,60
7095,Law Enforcement+AC0-Suspicious Package,73.46666666666667,60
4502,Law Enforcement+AC0-Suspicious Package,74.35,60
