,Incident Type,Response Time,minute
966,Structural+AC0-Construction Accident,71.3,60
1049,Structural+AC0-Confined Space,167.73333333333332,60
1052,Structural+AC0-Scaffold,204.83333333333334,60
1084,Structural+AC0-Bricks,1507.3666666666666,60
1081,Structural+AC0-Construction Accident,36.6,60
1119,Structural+AC0-Collapse,581.3666666666667,60
6176,Structural+AC0-Life Safety Violations,1025.4666666666667,60
1436,Structural+AC0-Collapse,6234.0,60
1128,Structural+AC0-Street Collapse,214.43333333333334,60
6334,Structural+AC0-Street Collapse,182.43333333333334,60
1130,Structural+AC0-Other,22.066666666666666,60
6362,Structural+AC0-Scaffold,312.23333333333335,60
1150,Structural+AC0-Truck Into Underpass,211.2,60
1151,Structural+AC0-Collapse,725.7333333333333,60
1154,Structural+AC0-Sidewalk Shed,342.48333333333335,60
1155,Structural+AC0-Collapse,238.6,60
1156,Structural+AC0-Falling Debris,1684.1666666666667,60
1179,Structural+AC0-Life Safety Violations,130.08333333333334,60
6247,Structural+AC0-Sink Hole,1838.7166666666667,60
6471,Structural+AC0-Struck Overpass,288.75,60
6206,Structural+AC0-Stability Problem,1910.1666666666667,60
6017,Structural+AC0-Life Safety Violations,2405.116666666667,60
6299,Structural+AC0-Scaffold,88.41666666666667,60
6445,Structural+AC0-Bricks,32.1,60
1184,Structural+AC0-Construction Accident,129.08333333333334,60
1285,Structural+AC0-Life Safety Violations,6234.0,60
1281,Structural+AC0-Stability Problem,6234.0,60
6002,Structural+AC0-Collapse,132.53333333333336,60
1279,Structural+AC0-Stability Problem,70.21666666666667,60
6233,Structural+AC0-Street Collapse,178.55,60
1350,Structural+AC0-Tractor Trailer Hit Overpass,173.36666666666667,60
1367,Structural+AC0-Street Collapse,6234.0,60
6235,Structural+AC0-Falling Debris,138.23333333333332,60
1433,Structural+AC0-Life Safety Violations,1438.85,60
1432,Structural+AC0-Life Safety Violations,1080.4333333333334,60
6336,Structural+AC0-Overturned Crane,582.0166666666667,60
1460,Structural+AC0-Parapet,96.58333333333333,60
6248,Structural+AC0-Bridge,508.80000000000007,60
1482,Structural+AC0-Tour Bus into Scaffolding,86.78333333333333,60
6102,Structural+AC0-Construction Accident,189.78333333333333,60
1483,Structural+AC0-Street Collapse,117.96666666666667,60
6268,Structural+AC0-Shaking Building,19.583333333333332,60
6386,Structural+AC0-Scaffold,17.533333333333335,60
6249,Structural+AC0-Other,114.36666666666666,60
1614,Structural+AC0-Partial Collapse,1780.55,60
1565,Structural+AC0-Scaffold,98.18333333333334,60
1639,Structural+AC0-Basement Flooding,5756.516666666666,60
1617,Structural+AC0-Street Collapse,3464.6666666666665,60
1637,Structural+AC0-Street Collapse,601.75,60
1635,Structural+AC0-Street Collapse,333.3,60
1654,Structural+AC0-Crane Collapse,1663.6,60
1638,Structural+AC0-Stability Problem,218.1,60
1653,Structural+AC0-Stability Problem,746.35,60
1656,Structural+AC0-Bricks,3028.5,60
6178,Structural+AC0-Collapse,6234.0,60
6535,Structural+AC0-Earthquake,2263.65,60
1659,Structural+AC0-Damaged Water Tank,455.46666666666664,60
1676,Structural+AC0-Stability Problem,190.71666666666667,60
1678,Structural+AC0-Retaining Wall Collapse,241.96666666666667,60
6491,Structural+AC0-Retaining Wall Collapse,499.95000000000005,60
1701,Structural+AC0-Stability Problem,6234.0,60
1679,Structural+AC0-Partial Collapse,575.1,60
6455,Structural+AC0-Partial Collapse,407.56666666666666,60
1709,Structural+AC0-Falling Debris,2673.75,60
1718,Structural+AC0-Illegal Signs,205.8,60
1736,Structural+AC0-Street Collapse,838.5,60
1756,Structural+AC0-Bricks,1672.4833333333333,60
6415,Structural+AC0-Partial Collapse,4686.35,60
1785,Structural+AC0-Collapse,1551.6833333333334,60
1784,Structural+AC0-Construction Accident,16.283333333333335,60
6472,Structural+AC0-Collapse,213.81666666666666,60
1787,Structural+AC0-Street Collapse,7.650000000000001,60
6416,Structural+AC0-Dangerous Condition +AC0- Tree Into a House,1663.0,60
6388,Structural+AC0-Street Collapse,435.8,60
1808,Structural+AC0-Collapse,4412.35,60
1802,Structural+AC0-Stability Problem,85.93333333333334,60
1803,Structural+AC0-Partial Collapse,172.56666666666666,60
6181,Structural+AC0-Tree Into Building,4367.85,60
1881,Structural+AC0-Settlement/Sinkhole Condition,6234.0,60
1811,Structural+AC0-Partial Collapse,159.4,60
1827,Structural+AC0-Scaffold,182.11666666666667,60
1835,Structural+AC0-Construction Accident,49.11666666666667,60
1860,Structural+AC0-Falling Debris,119.4,60
1889,Structural+AC0-Street Collapse,302.6,60
1935,Structural+AC0-Scaffold,125.18333333333335,60
1991,Structural+AC0-Collapse,6234.0,60
1963,Structural+AC0-Scaffold,90.56666666666666,60
1984,Structural+AC0-Collapse,2951.983333333333,60
1990,Structural+AC0-Collapse,125.40000000000002,60
2019,Structural+AC0-Bricks,118.88333333333334,60
2039,Structural+AC0-Crane Worker Injury,66.85000000000001,60
6269,Structural+AC0-Life Safety Violations,56.18333333333333,60
2043,Structural+AC0-Life Safety Violations,130.58333333333334,60
6449,Structural+AC0-Construction Accident,47.766666666666666,60
2071,Structural+AC0-Stability Problem,124.80000000000001,60
2111,Structural+AC0-Street Collapse,78.91666666666667,60
2112,Structural+AC0-Partial Collapse,61.48333333333334,60
2113,Structural+AC0-Collapse,138.7,60
2141,Structural+AC0-Scaffold,1000.2666666666668,60
2148,Structural+AC0-Construction Accident,147.01666666666668,60
6392,Structural+AC0-Collapse,73.26666666666667,60
2169,Structural+AC0-Construction Accident,82.98333333333333,60
6406,Structural+AC0-Partial Collapse,6234.0,60
2188,Structural+AC0-Stability Problem,51.05,60
2200,Structural+AC0-Scaffold,646.65,60
2205,Structural+AC0-Scaffold,37.71666666666667,60
2227,Structural+AC0-Falling Debris,140.03333333333333,60
2271,Structural+AC0-Falling Debris,6234.0,60
2263,Structural+AC0-Falling Debris,82.71666666666667,60
2277,Structural+AC0-Scaffold,102.2,60
2289,Structural+AC0-Construction Accident,281.4166666666667,60
2291,Structural+AC0-Collapse,35.833333333333336,60
2302,Structural+AC0-Partial Collapse,3246.95,60
2306,Structural+AC0-Overpass,356.23333333333335,60
6375,Structural+AC0-Falling Debris,139.33333333333334,60
2330,Structural+AC0-Scaffold,34.516666666666666,60
6619,Structural+AC0-Sidewalk Shed,581.3,60
