,Incident Type,Response Time,minute
967,Utility+AC0-Transformer Fire,787.0,60
6353,Utility+AC0-Electric Feeder Cable,1688.0166666666667,60
1048,Utility+AC0-Gas Line Rupture,235.85,60
1122,Utility+AC0-Water Service Line,2951.0,60
1109,Utility+AC0-Water Main,371.6666666666667,60
1118,Utility+AC0-Gas Main Rupture,147.73333333333332,60
1133,Utility+AC0-Gas Main Rupture,197.41666666666666,60
1180,Utility+AC0-Power Outage,489.21666666666675,60
1181,Utility+AC0-Gas Main Rupture,148.45,60
6060,Utility+AC0-Gas Main Rupture,531.5166666666668,60
6275,Utility+AC0-Gas Main Break,152.3,60
6335,Utility+AC0-Power Outage,345.03333333333336,60
1183,Utility+AC0-Staten Island Hospital +AC0- Air Conditioning Failure,1385.4833333333333,60
1185,Utility+AC0-Manhole,389.51666666666665,60
1255,Utility+AC0-Water Service Line,1601.35,60
1257,Utility+AC0-Gas Main Break,54.833333333333336,60
1258,Utility+AC0-Water Service Line,7.9333333333333345,60
1262,Utility+AC0-Water Main,154.33333333333334,60
6384,Utility+AC0-Power Outage,229.43333333333334,60
1284,Utility+AC0-Gas Service Line,72.8,60
1324,Utility+AC0-Water Main,1539.0666666666666,60
1344,Utility+AC0-Manhole,298.6166666666667,60
1345,Utility+AC0-Manhole,158.03333333333333,60
6385,Utility+AC0-Water Leak,322.6666666666667,60
1348,Utility+AC0-Gas High Pressure,122.20000000000002,60
1351,Utility+AC0-Water Service Line,413.98333333333335,60
1366,Utility+AC0-Water Main,471.5833333333333,60
6313,Utility+AC0-Gas Main Rupture,662.5666666666667,60
6300,Utility+AC0-Gas Main Rupture,124.53333333333335,60
1442,Utility+AC0-Water Condition,103.96666666666667,60
1461,Utility+AC0-Manhole,1704.0166666666667,60
1462,Utility+AC0-Water Main,1586.95,60
1464,Utility+AC0-Water Main,1332.0666666666666,60
1488,Utility+AC0-Water Main,2951.0,60
1486,Utility+AC0-Power Outage,86.48333333333333,60
6512,Utility+AC0-Water Main,968.9333333333333,60
1539,Utility+AC0-Life Safety Violations,2951.0,60
6404,Utility+AC0-Water Main,92.38333333333334,60
1490,Utility+AC0-Gas Service Line,684.7833333333333,60
1491,Utility+AC0-Gas Main Rupture,624.55,60
1494,Utility+AC0-Steam Main,473.53333333333336,60
6287,Utility+AC0-Manhole,2951.0,60
6490,Utility+AC0-Electric Feeder Cable,2718.6833333333334,60
1495,Utility+AC0-Manhole,21.25,60
1507,Utility+AC0-Water Main,697.1666666666666,60
1512,Utility+AC0-Power Outage,29.933333333333334,60
1534,Utility+AC0-Water Main,261.3166666666667,60
6314,Utility+AC0-Steam Main,2951.0,60
1540,Utility+AC0-Water Main,2127.4666666666667,60
1541,Utility+AC0-Water Condition,972.1666666666666,60
1544,Utility+AC0-Water Main,665.15,60
1564,Utility+AC0-Gas Main Rupture,41.38333333333333,60
6414,Utility+AC0-Power Outage,142.2,60
1616,Utility+AC0-Gas Main Rupture,548.2833333333333,60
6103,Utility+AC0-Water Service Line,47.083333333333336,60
1658,Utility+AC0-Water Service Line,8.200000000000001,60
1694,Utility+AC0-Water Main,72.36666666666666,60
1699,Utility+AC0-Water Service Line,2941.5833333333335,60
1697,Utility+AC0-Water Main,368.6333333333333,60
1703,Utility+AC0-Transformer,52.4,60
1704,Utility+AC0-High Tension Wires,132.25000000000003,60
1708,Utility+AC0-Sewer Service,145.8,60
1735,Utility+AC0-Water Service Line,77.38333333333334,60
1771,Utility+AC0-Water Condition,839.1666666666666,60
6457,Utility+AC0-Water Main,15.550000000000002,60
1774,Utility+AC0-Water Main,283.55,60
1775,Utility+AC0-Generator Fire,764.05,60
1777,Utility+AC0-Water Service Line,868.9,60
