Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Water Main,136-17 72 Avenue,Queens,01/16/2017 01:13:38 PM,,40.714003641,-73.8299893315
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/2016 12:13:31 PM,,40.7144215406,-74.0060763804
Utility-Other,,Manhattan,11/22/2016 08:53:17 AM,,,
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.714003641,-73.8299893315
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Utility-Water Main,2-17 54 Avenue,Queens,12/02/2016 04:40:13 PM,,40.714003641,-73.8299893315
Fire-2nd Alarm,238 East 24 Street,Manhattan,11/25/2016 04:06:09 AM,,40.7144215406,-74.0060763804
Utility-Water Main,7th Avenue & West 27 Street,Manhattan,12/03/2016 04:17:30 AM,,40.7144215406,-74.0060763804
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,11/26/2016 05:45:43 AM,,,
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/2016 10:26:17 PM,,40.7144215406,-74.0060763804
Fire-3rd Alarm,581 3 ave,new york,11/30/2016 12:25:38 AM,11/30/2016 04:22:22 AM,40.6674897029,-73.9942860004
Structural-Collapse,55 Thompson St,Manhattan,11/28/2016 09:51:55 PM,,40.7144215406,-74.0060763804
Utility-Other,Hylan Blvd & Arbutus Avenue,Staten Island,11/29/2016 06:49:45 AM,,40.5260931809,-74.1802975096
Fire-2nd Alarm,53-09 Beach Channel Drive,Far Rockaway,12/18/2016 05:52:37 PM,,40.5950834458,-73.7840053586
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/2016 05:05:32 PM,,40.6046767596,-73.9790151775
Structural-Crane,,Brooklyn,12/08/2016 09:38:34 PM,,,
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20:14 PM,,40.7144215406,-74.0060763804
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.8273009131,-73.8691789768
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Fire-2nd Alarm,,Brooklyn,12/16/2016 04:45:58 AM,,,
Structural-Crane,229 Cherry Street,Manhattan,11/30/2016 04:29:12 PM,,40.7144215406,-74.0060763804
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/2016 02:50:25 PM,,40.8150928933,-73.8863692327
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.8256535413,-73.8813482709
Fire-1st Alarm,126 West 53rd Street,Manhattan,12/25/2016 10:42:56 PM,,40.7144215406,-74.0060763804
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Fire-3rd Alarm,75 East 21 Street,Brooklyn,06/02/2017 07:50:53 PM,,40.6529671528,-73.9604447285
Fire-2nd Alarm,112 Taylor STreet,Staten Island,12/16/2016 04:45:58 AM,,40.6361753083,-74.123386343
Transportation-Car,Cross Bronx Expressway & Webster Avenue,Bronx,12/27/2016 06:21:42 AM,,40.8444211783,-73.9027773877
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 01:36:12 PM,,40.714003641,-73.8299893315
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 02:29:27 PM,,40.8300866728,-73.9000468719
Transportation-Other,,Queens,01/19/2017 04:08:25 AM,,40.7441956551,-73.7715442363
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 01:36:12 PM,,40.714003641,-73.8299893315
Structural-Street Collapse,Madison Avenue & East 56 Street,Manhattan,01/26/2017 04:52:25 PM,,,
Fire-5th Alarm,,Brooklyn,12/28/2017 07:12:14 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.714003641,-73.8299893315
Transportation-Train Subway,West 128th Street & St. Nicholas Avenue,Manhattan,06/27/2017 10:05:40 AM,,40.7144215406,-74.0060763804
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.7313577935,-73.9924545169
Fire-3rd Alarm,75 East 21 Street,Brooklyn,06/02/2017 07:50:53 PM,,40.6529671528,-73.9604447285
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.8273009131,-73.8691789768
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.8273009131,-73.8691789768
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.714003641,-73.8299893315
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.714003641,-73.8299893315
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Power Outage,107-10 Shore Front Parkway,Queens,01/21/2017 08:59:38 AM,,40.714003641,-73.8299893315
Utility-Water Service Line,West 167th Street & Edgecombe Avenue,Manhattan,01/23/2017 03:54:00 AM,,40.7144215406,-74.0060763804
Fire-3rd Alarm,1170 44 Street,Brooklyn,08/28/2017 04:05:15 AM,,40.6396450069,-73.992277628
Utility-Water Main,,Queens,06/21/2017 03:00:54 AM,,,
Fire-4th Alarm,860 Hunts Point Avenue,Bronx,07/04/2017 01:27:14 PM,,,
Structural-Construction Accident,31-25 28 Road,Queens,06/20/2017 03:57:24 PM,,40.714003641,-73.8299893315
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/2016 01:03:30 PM,,40.714003641,-73.8299893315
Rescue-Technical,81-10 134 Street,Queens,11/22/2016 12:24:02 PM,11/22/2016 06:27:30 PM,40.714003641,-73.8299893315
Fire-2nd Alarm,726 East 141 Street,Bronx,06/30/2017 02:01:05 AM,,,
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.7313577935,-73.9924545169
Fire-4th Alarm,135-42 Roosevelt Avenue,Queens,01/25/2017 02:20:02 PM,,40.714003641,-73.8299893315
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.8102809717,-73.9082061756
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.7313577935,-73.9924545169
Law Enforcement-Other,,Brooklyn,07/05/2017 12:59:11 AM,,,
Fire-3rd Alarm,117 e 179 st,Bronx,07/05/2017 05:23:56 AM,,40.8372130577,-73.8714592284
Utility-Water Main,West 81st Street & Central Park West,Manhattan,01/14/2017 12:15:09 AM,,40.7144215406,-74.0060763804
Utility-Water Service Line,,Bronx,07/11/2017 04:50:50 AM,,,
Fire-2nd Alarm,2350 Beaumont Avenue,Bronx,01/16/2017 06:24:46 AM,,40.8536953703,-73.8846500706
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Utility-Manhole,2061 broadway,Manhattan,07/13/2017 06:04:36 PM,,40.7781803084,-73.9821697687
Fire-2nd Alarm,474 Coney Island Avenue,Brooklyn,07/22/2017 06:20:55 AM,,40.6461722587,-73.9708338707
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.7313577935,-73.9924545169
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-5th Alarm,255 Mill Road,Staten Island,05/21/2017 04:28:08 AM,,40.5627202098,-74.1114091612
Fire-Haz Mat,41-12 12 Street,Queens,06/12/2017 01:36:36 PM,,40.714003641,-73.8299893315
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.8256535413,-73.8813482709
Fire-2nd Alarm,152 23 Street,Brooklyn,12/18/2016 03:42:20 AM,,40.6620851236,-73.9977359796
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.7144215406,-74.0060763804
Utility-Power Outage,,Brooklyn,02/10/2017 02:36:18 AM,,,
Transportation-Other,Van Wyck Expressway North and South Bound,Queens,02/10/2017 05:18:05 AM,,,
Fire-4th Alarm,511 Amsterdam Avenue,Manhattan,02/24/2017 06:21:05 PM,,40.7144215406,-74.0060763804
Fire-Collapse,3000 Jerome Avenue,Bronx,02/19/2017 06:22:00 AM,,40.8741085284,-73.8890674434
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,,40.714003641,-73.8299893315
Fire-4th Alarm,1342 College Avenue,Bronx,03/01/2017 01:53:39 PM,,40.8362531587,-73.9112825164
Utility-Steam Main,35 Madison Street,Manhattan,02/15/2017 10:53:15 AM,,,
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.7144215406,-74.0060763804
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
HazMat-High Carbon Monoxide,30 Cooper Square,Manhattan,01/12/2017 02:30:24 PM,,40.7144215406,-74.0060763804
Law Enforcement-Other,,Brooklyn,02/21/2017 03:32:14 PM,,,
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.5419465693,-74.1488719031
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.7144215406,-74.0060763804
Fire-4th Alarm,657 Crotona Park North,Bronx,03/06/2017 06:40:53 PM,,40.8425155706,-73.8946165491
HazMat-High Carbon Monoxide,1472 Boston Road,Bronx,03/08/2017 06:11:16 PM,,40.8341458735,-73.8949732032
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.5419465693,-74.1488719031
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Utility-Other,71-17 Roosevelt Avenue,Queens,03/03/2017 10:33:21 AM,,,
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Structural-Collapse,2461 amsterdam,manhattan,08/07/2017 03:31:53 PM,,40.8488070602,-73.9303471436
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-10-76 (Commercial High Rise Fire),390 Madison Avenue,Manhattan,03/02/2017 11:41:36 PM,,40.7144215406,-74.0060763804
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,02/10/2017 07:40:58 PM,40.8273009131,-73.8691789768
Utility-Water Main,156 Montague Street,Brooklyn,03/02/2017 04:00:43 PM,,40.6944042075,-73.9929875952
Utility-Power Outage,2635 3rd Avenue,Bronx,08/14/2017 03:06:55 AM,,,
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.8102809717,-73.9082061756
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.8102809717,-73.9082061756
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Law Enforcement-Explosion,145-23 222 Street,Queens,07/28/2017 05:14:42 PM,,40.6632440333,-73.7567640068
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-3rd Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Structural-Sidewalk Collapse,836 5 Avenue,Brooklyn,04/20/2019 01:52:16 PM,,40.6532042015,-74.0019138928
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.7144215406,-74.0060763804
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.7144215406,-74.0060763804
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.8273009131,-73.8691789768
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Fire-2nd Alarm,1580 Edison Avenue,Bronx,04/21/2019 04:03:19 AM,,40.8433780896,-73.8329157352
Transportation-Train Subway,Hanson Place & Ashland Place,Brooklyn,01/04/2017 08:28:01 AM,,40.6850601147,-73.9779675033
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,01/10/2017 04:22:29 AM,40.714003641,-73.8299893315
Utility-Steam Service Line,5th Avenue  & 57th Street,Manhattan,01/06/2017 11:44:57 AM,,,
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/2016 03:40:16 AM,,40.7144215406,-74.0060763804
Fire-6th Alarm,24 Murray Street,Manhattan,09/01/2017 07:10:52 PM,,40.7136689795,-74.0086248296
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.7144215406,-74.0060763804
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 09:55:47 AM,,40.8617165739,-73.9106834321
Structural-Street Collapse,Broad Street & Water Street,Manhattan,03/19/2017 09:03:04 PM,,,
Utility-Water Service Line,West End Avenue & West 95 Street,Manhattan,08/20/2017 04:43:18 AM,,40.794579,-73.9737045
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30:49 AM,,40.7336050058,-73.9829362791
Fire-3rd Alarm,6 East 32nd Street,Manhattan,04/24/2019 11:32:39 AM,,40.7468227791,-73.9847850242
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
