Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-4th Alarm,2011-05-04,3471.0,2011,2011-18,124
Fire-2nd Alarm,2011-05-04,1145.0,2011,2011-18,124
Fire-5th Alarm,2011-05-10,4921.400000000009,2011,2011-19,130
Fire-4th Alarm,2011-05-13,2097.0,2011,2011-19,133
Fire-School,2011-05-14,112.0,2011,2011-19,134
Fire-1st Alarm,2011-05-17,3333.0,2011,2011-20,137
Fire-1st Alarm,2011-05-19,65.0,2011,2011-20,139
Fire-1st Alarm,2011-05-20,4921.400000000009,2011,2011-20,140
Fire-Nursing Home,2011-05-25,70.0,2011,2011-21,145
Fire-3rd Alarm,2011-05-26,272.0,2011,2011-21,146
Fire-4th Alarm,2011-06-04,4921.400000000009,2011,2011-22,155
Fire-1st Alarm,2011-06-09,45.0,2011,2011-23,160
Fire-1st Alarm,2011-06-11,66.0,2011,2011-23,162
Fire-2nd Alarm,2011-06-24,90.0,2011,2011-25,175
Fire-3rd Alarm,2011-06-25,339.0,2011,2011-25,176
Fire-Sensitive Location,2011-06-27,86.0,2011,2011-26,178
Fire-Hospital,2011-06-27,54.0,2011,2011-26,178
Fire-2nd Alarm,2011-06-27,125.0,2011,2011-26,178
Fire-2nd Alarm,2011-07-08,601.0,2011,2011-27,189
Fire-2nd Alarm,2011-07-10,875.0,2011,2011-28,191
Fire-4th Alarm,2011-07-11,1919.0,2011,2011-28,192
Fire-Manhole,2011-07-11,1335.0,2011,2011-28,192
Fire-3rd Alarm,2011-07-12,257.0,2011,2011-28,193
Fire-4th Alarm,2011-07-20,4921.400000000009,2011,2011-29,201
Fire-Hospital,2011-07-21,189.0,2011,2011-29,202
Fire-1st Alarm,2011-07-22,54.0,2011,2011-29,203
Fire-1st Alarm,2011-07-24,67.0,2011,2011-30,205
Fire-Explosion,2011-07-27,1234.0,2011,2011-30,208
Fire-1st Alarm,2011-08-01,3.0,2011,2011-31,213
Fire-10-77 (Residential High Rise),2011-08-04,79.0,2011,2011-31,216
