,Incident Type,Response Time,minute
1030,Fire+AC0-4th Alarm,3471,60
6496,Fire+AC0-2nd Alarm,1145,60
1121,Fire+AC0-5th Alarm,4931,60
6427,Fire+AC0-4th Alarm,2097,60
6426,Fire+AC0-School,112,60
1127,Fire+AC0-1st Alarm,3333,60
6168,Fire+AC0-1st Alarm,65,60
3589,Fire+AC0-1st Alarm,4931,60
6267,Fire+AC0-Nursing Home,70,60
1153,Fire+AC0-3rd Alarm,272,60
6177,Fire+AC0-4th Alarm,4931,60
6489,Fire+AC0-1st Alarm,45,60
1254,Fire+AC0-1st Alarm,66,60
1325,Fire+AC0-2nd Alarm,90,60
1346,Fire+AC0-3rd Alarm,339,60
6553,Fire+AC0-Sensitive Location,86,60
1347,Fire+AC0-Hospital,54,60
6234,Fire+AC0-2nd Alarm,125,60
1439,Fire+AC0-2nd Alarm,601,60
1441,Fire+AC0-2nd Alarm,875,60
1443,Fire+AC0-Manhole,1335,60
6302,Fire+AC0-4th Alarm,195,60
1459,Fire+AC0-3rd Alarm,257,60
1702,Fire+AC0-4th Alarm,4931,60
6325,Fire+AC0-Hospital,189,60
6259,Fire+AC0-1st Alarm,54,60
6556,Fire+AC0-1st Alarm,67,60
6355,Fire+AC0-Explosion,1234,60
1509,Fire+AC0-1st Alarm,3,60
1537,Fire+AC0-10+AC0-77 (Residential High Rise),79,60
1542,Fire+AC0-3rd Alarm,4931,60
6157,Fire+AC0-3rd Alarm,4931,60
6499,Fire+AC0-Haz Mat,83,60
6337,Fire+AC0-1st Alarm,195,60
6326,Fire+AC0-Manhole,199,60
1655,Fire+AC0-Commercial,106,60
6316,Fire+AC0-4th Alarm,1177,60
1674,Fire+AC0-4th Alarm,2464,60
1677,Fire+AC0-2nd Alarm,174,60
6179,Fire+AC0-10+AC0-76 (Commercial High Rise),236,60
6104,Fire+AC0-3rd Alarm,158,60
1695,Fire+AC0-1st Alarm,83,60
1700,Fire+AC0-1st Alarm,88,60
1705,Fire+AC0-Sensitive Location,78,60
1729,Fire+AC0-10+AC0-77 (Residential High Rise),77,60
6387,Fire+AC0-School,106,60
1776,Fire+AC0-3rd Alarm,2366,60
1779,Fire+AC0-1st Alarm,217,60
1783,Fire+AC0-2nd Alarm,100,60
6537,Fire+AC0-Haz Mat,111,60
