,Incident Type,Response Time,minute
1029,Law Enforcement+AC0-Suspicious Package,42,60
6452,Law Enforcement+AC0-Suspicious Package,67,60
1053,Law Enforcement+AC0-Suspicious Package,64,60
1085,Law Enforcement+AC0-Explosion,79,60
1088,Law Enforcement+AC0-Suspicious Package,74,60
6510,Law Enforcement+AC0-Suspicious Package,23,60
1125,Law Enforcement+AC0-Suspicious Package,35,60
1135,Law Enforcement+AC0-Suspicious Package,133,60
1182,Law Enforcement+AC0-Suspicious Package,77,60
1256,Law Enforcement+AC0-Suspicious Package,100,60
1489,Law Enforcement+AC0-Suspicious Package,14,60
1492,Law Enforcement+AC0-Suspicious Package,73,60
1513,Law Enforcement+AC0-Suspicious Package,88,60
6276,Law Enforcement+AC0-Suspicious Package,26,60
6072,Law Enforcement+AC0-Suspicious Package,38,60
6315,Law Enforcement+AC0-Device,25,60
1657,Law Enforcement+AC0-Suspicious Package,47,60
1680,Law Enforcement+AC0-Suspicious Package,50,60
1693,Law Enforcement+AC0-Suspicious Package,74,60
6277,Law Enforcement+AC0-Device,38,60
1696,Law Enforcement+AC0-Suspicious Package,77,60
1698,Law Enforcement+AC0-Suspicious Package,11,60
1706,Law Enforcement+AC0-Device,16,60
6447,Law Enforcement+AC0-Suspicious Package,45,60
1727,Law Enforcement+AC0-Suspicious Package,83,60
1772,Law Enforcement+AC0-Suspicious Package,67,60
1778,Law Enforcement+AC0-Suspicious Package,67,60
2061,Law Enforcement+AC0-Suspicious Package,1145,60
1781,Law Enforcement+AC0-Suspicious Package,39,60
1786,Law Enforcement+AC0-Suspicious Package,7,60
1789,Law Enforcement+AC0-Suspicious Package,30,60
1809,Law Enforcement+AC0-Suspicious Package,55,60
6196,Law Enforcement+AC0-Haz Mat,115,60
6528,Law Enforcement+AC0-Civil Unrest,1145,60
1814,Law Enforcement+AC0-Suspicious Package,36,60
1841,Law Enforcement+AC0-Device,52,60
1884,Law Enforcement+AC0-Suspicious Package,51,60
1887,Law Enforcement+AC0-Jumper Up,184,60
1912,Law Enforcement+AC0-Bomb Threat,166,60
6473,Law Enforcement+AC0-Device,214,60
1964,Law Enforcement+AC0-Suspicious Package,47,60
1968,Law Enforcement+AC0-Found Grenade,32,60
1986,Law Enforcement+AC0-Suspicious Package,42,60
1988,Law Enforcement+AC0-Suspicious Package,40,60
1989,Law Enforcement+AC0-Suspicious Package,67,60
1993,Law Enforcement+AC0-Suspicious Package,42,60
6363,Law Enforcement+AC0-Suspicious Package,70,60
2036,Law Enforcement+AC0-Suspicious Package,69,60
6547,Law Enforcement+AC0-Suspicious Package,42,60
2060,Law Enforcement+AC0-Suspicious Package,48,60
2062,Law Enforcement+AC0-Suspicious Package,20,60
2063,Law Enforcement+AC0-Suspicious Package,52,60
2064,Law Enforcement+AC0-Police Officer Assualted,64,60
2066,Law Enforcement+AC0-Suspicious Package,46,60
2070,Law Enforcement+AC0-Suspicious Package,146,60
6317,Law Enforcement+AC0-Suspicious Package,31,60
2107,Law Enforcement+AC0-Suspicious Vehicle,35,60
2108,Law Enforcement+AC0-Suspicious Package,45,60
2118,Law Enforcement+AC0-Suspicious Package,46,60
2135,Law Enforcement+AC0-Suspicious Package,85,60
2136,Law Enforcement+AC0-Suspicious Package,124,60
2139,Law Enforcement+AC0-Suspicious Package,55,60
2145,Law Enforcement+AC0-Suspicious Package,21,60
2149,Law Enforcement+AC0-Suspicious Package,108,60
2202,Law Enforcement+AC0-Suspicious Package,31,60
2221,Law Enforcement+AC0-Suspicious Package,27,60
2261,Law Enforcement+AC0-Suspicious Package,31,60
2283,Law Enforcement+AC0-Suspicious Package,70,60
2290,Law Enforcement+AC0-Suspicious Package,56,60
2304,Law Enforcement+AC0-Suspicious Package,45,60
6550,Law Enforcement+AC0-Found Explosives,163,60
2333,Law Enforcement+AC0-Suspicious Package,133,60
2334,Law Enforcement+AC0-Suspicious Package,106,60
2339,Law Enforcement+AC0-Suspicious Package,68,60
6560,Law Enforcement+AC0-Suspicious Package,91,60
2363,Law Enforcement+AC0-Suspicious Package,142,60
2413,Law Enforcement+AC0-Suspicious Package,19,60
2424,Law Enforcement+AC0-Suspicious Package,66,60
2475,Law Enforcement+AC0-Suspicious Package,44,60
2513,Law Enforcement+AC0-Suspicious Package,47,60
2522,Law Enforcement+AC0-Suspicious Package,60,60
6678,Law Enforcement+AC0-Suspicious Package,64,60
2537,Law Enforcement+AC0-Suspicious Package,45,60
2551,Law Enforcement+AC0-Suspicious Package,73,60
2552,Law Enforcement+AC0-Suspicious Package,3,60
6592,Law Enforcement+AC0-Suspicious Package,20,60
6562,Law Enforcement+AC0-Suspicious Package,65,60
2568,Law Enforcement+AC0-Suspicious Package,11,60
2574,Law Enforcement+AC0-Suspicious Package,32,60
2585,Law Enforcement+AC0-Bomb Threat,57,60
2590,Law Enforcement+AC0-Device,55,60
6572,Law Enforcement+AC0-Haz Mat,225,60
2596,Law Enforcement+AC0-Haz Mat,150,60
2594,Law Enforcement+AC0-Haz Mat,64,60
2597,Law Enforcement+AC0-Haz Mat,224,60
2598,Law Enforcement+AC0-Haz Mat,91,60
6551,Law Enforcement+AC0-Suspicious Package,99,60
2617,Law Enforcement+AC0-Suspicious Package,13,60
2640,Law Enforcement+AC0-Suspicious Package,56,60
2641,Law Enforcement+AC0-Suspicious Package,44,60
6479,Law Enforcement+AC0-Suspicious Package,54,60
2647,Law Enforcement+AC0-Suspicious Package,307,60
2669,Law Enforcement+AC0-Suspicious Package,638,60
2690,Law Enforcement+AC0-Suspicious Package,107,60
2705,Law Enforcement+AC0-Suspicious Package,45,60
2709,Law Enforcement+AC0-Suspicious Package,129,60
2722,Law Enforcement+AC0-Suspicious Package,27,60
2724,Law Enforcement+AC0-Suspicious Package,28,60
2728,Law Enforcement+AC0-Suspicious Package,66,60
6615,Law Enforcement+AC0-White Powder,55,60
2734,Law Enforcement+AC0-Suspicious Package,42,60
6715,Law Enforcement+AC0-Suspicious Package,104,60
6634,Law Enforcement+AC0-Suspicious Package,34,60
2750,Law Enforcement+AC0-Suspicious Package,59,60
2758,Law Enforcement+AC0-Suspicious Package,15,60
2781,Law Enforcement+AC0-Suspicious Package,40,60
6616,Law Enforcement+AC0-Suspicious Package,53,60
2787,Law Enforcement+AC0-Device,71,60
2816,Law Enforcement+AC0-Device,47,60
2838,Law Enforcement+AC0-Device,35,60
2839,Law Enforcement+AC0-Suspicious Package,38,60
2841,Law Enforcement+AC0-Suspicious Package,48,60
2842,Law Enforcement+AC0-Suspicious Package,18,60
2845,Law Enforcement+AC0-Suspicious Package,48,60
2871,Law Enforcement+AC0-Suspicious Package,39,60
2886,Law Enforcement+AC0-Suspicious Package,52,60
2889,Law Enforcement+AC0-Suspicious Package,42,60
2892,Law Enforcement+AC0-Device,22,60
2896,Law Enforcement+AC0-Haz Mat,137,60
2898,Law Enforcement+AC0-Device,39,60
2900,Law Enforcement+AC0-Haz Mat,25,60
2910,Law Enforcement+AC0-Suspicious Package,76,60
2923,Law Enforcement+AC0-Suspicious Package,34,60
2925,Law Enforcement+AC0-Suspicious Package,51,60
2929,Law Enforcement+AC0-Device,39,60
6579,Law Enforcement+AC0-Suspicious Package,92,60
2931,Law Enforcement+AC0-Suspicious Package,49,60
2947,Law Enforcement+AC0-White Powder,55,60
2954,Law Enforcement+AC0-Suspicious Package,123,60
2957,Law Enforcement+AC0-Suspicious Package,52,60
6597,Law Enforcement+AC0-Suspicious Package,32,60
2959,Law Enforcement+AC0-Suspicious Package,74,60
2975,Law Enforcement+AC0-Suspicious Vehicle,44,60
6568,Law Enforcement+AC0-Suspicious Package,54,60
2982,Law Enforcement+AC0-Suspicious Package,0,60
6794,Law Enforcement+AC0-Suspicious Package,87,60
2987,Law Enforcement+AC0-Device,66,60
2988,Law Enforcement+AC0-Suspicious Package,47,60
3065,Law Enforcement+AC0-Suspicious Package,57,60
3079,Law Enforcement+AC0-Suspicious Package,61,60
3090,Law Enforcement+AC0-Suspicious Package,22,60
3092,Law Enforcement+AC0-Suspicious Package,29,60
6816,Law Enforcement+AC0-Suspicious Package,47,60
6839,Law Enforcement+AC0-Suspicious Package,16,60
3116,Law Enforcement+AC0-Suspicious Package,95,60
3114,Law Enforcement+AC0-Suspicious Powder,43,60
6627,Law Enforcement+AC0-Suspicious Package,46,60
3166,Law Enforcement+AC0-Suspicious Package,65,60
3191,Law Enforcement+AC0-Suspicious Package,539,60
3196,Law Enforcement+AC0-Device,20,60
3202,Law Enforcement+AC0-Suspicious Package,37,60
6638,Law Enforcement+AC0-Suspicious Package,43,60
3222,Law Enforcement+AC0-Device,298,60
3253,Law Enforcement+AC0-Un Authorized Tractor Trailer,0,60
6661,Law Enforcement+AC0-Device,44,60
3270,Law Enforcement+AC0-Suspicious Package,36,60
6845,Law Enforcement+AC0-Device,39,60
3296,Law Enforcement+AC0-Suspicious Package,31,60
3298,Law Enforcement+AC0-Device,33,60
6872,Law Enforcement+AC0-Suspicious Package,70,60
3308,Law Enforcement+AC0-Suspicious Package,10,60
3309,Law Enforcement+AC0-Suspicious Package,100,60
6699,Law Enforcement+AC0-Suspicious Package,8,60
6881,Law Enforcement+AC0-Suspicious Package,55,60
3332,Law Enforcement+AC0-Suspicious Package,8,60
3337,Law Enforcement+AC0-Suspicious Package,25,60
3338,Law Enforcement+AC0-Suspicious Package,75,60
3359,Law Enforcement+AC0-Suspicious Package,41,60
6925,Law Enforcement+AC0-Suspicious Package,42,60
6913,Law Enforcement+AC0-Suspicious Package,92,60
3396,Law Enforcement+AC0-Device,52,60
3399,Law Enforcement+AC0-Suspicious Package,43,60
3400,Law Enforcement+AC0-Suspicious Package,83,60
3401,Law Enforcement+AC0-Suspicious Package,92,60
3403,Law Enforcement+AC0-Suspicious Package,58,60
3404,Law Enforcement+AC0-Suspicious Package,77,60
3405,Law Enforcement+AC0-Suspicious Package,39,60
3406,Law Enforcement+AC0-Suspicious Package,39,60
6903,Law Enforcement+AC0-Suspicious Package,101,60
3417,Law Enforcement+AC0-Suspicious Package,59,60
3418,Law Enforcement+AC0-Suspicious Package,55,60
3420,Law Enforcement+AC0-Suspicious Package,211,60
6730,Law Enforcement+AC0-Suspicious Package,94,60
3423,Law Enforcement+AC0-Suspicious Vehicle,84,60
6739,Law Enforcement+AC0-Suspicious Package,63,60
6896,Law Enforcement+AC0-Suspicious Package,504,60
3424,Law Enforcement+AC0-Suspicious Package,61,60
6873,Law Enforcement+AC0-Suspicious Package,38,60
3425,Law Enforcement+AC0-Suspicious Package,100,60
3426,Law Enforcement+AC0-Suspicious Package,57,60
3438,Law Enforcement+AC0-Device,126,60
3442,Law Enforcement+AC0-Suspicious Package,49,60
3448,Law Enforcement+AC0-Suspicious Package,44,60
3451,Law Enforcement+AC0-Suspicious Package,76,60
3453,Law Enforcement+AC0-Suspicious Package,60,60
3455,Law Enforcement+AC0-Suspicious Package,14,60
3473,Law Enforcement+AC0-Suspicious Package,45,60
3475,Law Enforcement+AC0-Bomb Threat,49,60
3481,Law Enforcement+AC0-Suspicious Package,69,60
3500,Law Enforcement+AC0-Suspicious Package,333,60
3501,Law Enforcement+AC0-Suspicious Package,59,60
6915,Law Enforcement+AC0-Suspicious Vehicle,97,60
3507,Law Enforcement+AC0-Suspicious Package,44,60
6772,Law Enforcement+AC0-Suspicious Substance,1145,60
3510,Law Enforcement+AC0-Suspicious Substance,1145,60
6710,Law Enforcement+AC0-Suspicious Package,48,60
3511,Law Enforcement+AC0-Suspicious Package,0,60
6773,Law Enforcement+AC0-Suspicious Powder,245,60
3515,Law Enforcement+AC0-Suspicious Package,9,60
3525,Law Enforcement+AC0-Suspicious Package,216,60
6711,Law Enforcement+AC0-Suspicious Package,84,60
3530,Law Enforcement+AC0-Suspicious Package,87,60
6944,Law Enforcement+AC0-Suspicious Package,27,60
6875,Law Enforcement+AC0-Suspicious Package,44,60
3586,Law Enforcement+AC0-Suspicious Package,25,60
3587,Law Enforcement+AC0-Suspicious Package,27,60
3588,Law Enforcement+AC0-Suspicious Package,43,60
3606,Law Enforcement+AC0-White Powder,90,60
6782,Law Enforcement+AC0-Suspicious Package,27,60
3612,Law Enforcement+AC0-Suspicious Package,13,60
3637,Law Enforcement+AC0-Suspicious Vehicle,8,60
3642,Law Enforcement+AC0-Suspicious Package,43,60
6965,Law Enforcement+AC0-Suspicious Package,24,60
6900,Law Enforcement+AC0-Suspicious Package,40,60
6989,Law Enforcement+AC0-Suspicious Package,20,60
3685,Law Enforcement+AC0-Suspicious Package,78,60
3706,Law Enforcement+AC0-Haz Mat,1145,60
3710,Law Enforcement+AC0-Suspicious Package,45,60
3712,Law Enforcement+AC0-Suspicious Package,132,60
3717,Law Enforcement+AC0-Report of Police Officer Shot,5,60
3732,Law Enforcement+AC0-Suspicious Package,114,60
6920,Law Enforcement+AC0-Suspicious Package,98,60
3771,Law Enforcement+AC0-Device,46,60
4056,Law Enforcement+AC0-Suspicious Device,1145,60
3776,Law Enforcement+AC0-Suspicious Package,66,60
3795,Law Enforcement+AC0-Suspicious Package,426,60
3796,Law Enforcement+AC0-Suspicious Package,166,60
6929,Law Enforcement+AC0-Suspicious Package,78,60
3798,Law Enforcement+AC0-Suspicious Package,57,60
3799,Law Enforcement+AC0-Suspicious Package,49,60
3802,Law Enforcement+AC0-Suspicious Package,98,60
6894,Law Enforcement+AC0-Suspicious Package,46,60
3805,Law Enforcement+AC0-Suspicious Package,67,60
3806,Law Enforcement+AC0-Suspicious Package,52,60
3808,Law Enforcement+AC0-Suspicious Package,129,60
3821,Law Enforcement+AC0-Suspicious Package,753,60
3822,Law Enforcement+AC0-Suspicious Package,52,60
3824,Law Enforcement+AC0-Suspicious Vehicle,58,60
6953,Law Enforcement+AC0-Suspicious Package,1145,60
6866,Law Enforcement+AC0-Suspicious Package,74,60
3825,Law Enforcement+AC0-Suspicious Package,36,60
4039,Law Enforcement+AC0-Suspicious Package,1145,60
3826,Law Enforcement+AC0-Suspicious Package,15,60
6814,Law Enforcement+AC0-Suspicious Package,66,60
3829,Law Enforcement+AC0-Suspicious Package,33,60
3831,Law Enforcement+AC0-Device,54,60
3843,Law Enforcement+AC0-Suspicious Package,189,60
6952,Law Enforcement+AC0-Suspicious Package,1145,60
3845,Law Enforcement+AC0-Suspicious Package,29,60
3847,Law Enforcement+AC0-Suspicious Package,30,60
3850,Law Enforcement+AC0-Suspicious Package,72,60
3857,Law Enforcement+AC0-Missing Person,1145,60
3858,Law Enforcement+AC0-Suspicious Package,21,60
3871,Law Enforcement+AC0-Suspicious Package,108,60
3875,Law Enforcement+AC0-Suspicious Package,98,60
3879,Law Enforcement+AC0-Suspicious Letter,64,60
4033,Law Enforcement+AC0-Suspicious Package,1145,60
6960,Law Enforcement+AC0-SILVER ALERT +AC0- Susan Ficher,64,60
6902,Law Enforcement+AC0-Suspicious Vehicle,226,60
6908,Law Enforcement+AC0-Suspicious Package,156,60
3984,Law Enforcement+AC0-Possible Bomb Threat,26,60
3986,Law Enforcement+AC0-Suspicious Package,37,60
4013,Law Enforcement+AC0-Suspicious Package,1145,60
4011,Law Enforcement+AC0-School Evacuation,155,60
4018,Law Enforcement+AC0-Suspicious Package,55,60
7024,Law Enforcement+AC0-Suspicious Vehicle,18,60
4060,Law Enforcement+AC0-Suspicious Package,35,60
4063,Law Enforcement+AC0-Suspicious Package,75,60
4064,Law Enforcement+AC0-Device,46,60
7101,Law Enforcement+AC0-Suspicious Package,67,60
4088,Law Enforcement+AC0-Subway Track Search,159,60
4123,Law Enforcement+AC0-Suspicious Package,63,60
6982,Law Enforcement+AC0-Suspicious Package,1145,60
7044,Law Enforcement+AC0-Suspicious Package,1145,60
4176,Law Enforcement+AC0-Suspicious Package,88,60
6963,Law Enforcement+AC0-Explosion,125,60
4212,Law Enforcement+AC0-Mobilization,74,60
7016,Law Enforcement+AC0-Suspicious Package,44,60
7103,Law Enforcement+AC0-School Lock Down,24,60
7001,Law Enforcement+AC0-Suspicious Package,73,60
7017,Law Enforcement+AC0-Suspicious Package,47,60
4256,Law Enforcement+AC0-Suspicious Package,94,60
4258,Law Enforcement+AC0-Explosion,445,60
7110,Law Enforcement+AC0-Suspicious Package,16,60
4275,Law Enforcement+AC0-Suspicious Package,47,60
4300,Law Enforcement+AC0-Suspicious Package,1145,60
4287,Law Enforcement+AC0-Suspicious Package,171,60
4309,Law Enforcement+AC0-Haz Mat,1145,60
7125,Law Enforcement+AC0-Suspicious Package,4,60
4339,Law Enforcement+AC0-Suspicious powder,1145,60
4406,Law Enforcement+AC0-Suspicious Package,94,60
4452,Law Enforcement+AC0-Suspicious Package,1,60
4455,Law Enforcement+AC0-Suspicious Package,171,60
4456,Law Enforcement+AC0-Suspicious Package,14,60
7064,Law Enforcement+AC0-Suspicious Package,71,60
7065,Law Enforcement+AC0-Device,40,60
7094,Law Enforcement+AC0-Suspicious Package,54,60
7066,Law Enforcement+AC0-Suspicious Package,106,60
4475,Law Enforcement+AC0-Suspicious Vehicle,56,60
7082,Law Enforcement+AC0-Suspicious Package,1145,60
7157,Law Enforcement+AC0-Suspicious Package,67,60
7095,Law Enforcement+AC0-Suspicious Package,73,60
