,Incident Type,Response Time,minute
966,Structural+AC0-Construction Accident,71,60
1049,Structural+AC0-Confined Space,167,60
1052,Structural+AC0-Scaffold,204,60
1084,Structural+AC0-Bricks,1507,60
1081,Structural+AC0-Construction Accident,36,60
1119,Structural+AC0-Collapse,581,60
6176,Structural+AC0-Life Safety Violations,1025,60
1436,Structural+AC0-Collapse,6234,60
1128,Structural+AC0-Street Collapse,214,60
6334,Structural+AC0-Street Collapse,182,60
1130,Structural+AC0-Other,22,60
6362,Structural+AC0-Scaffold,312,60
1150,Structural+AC0-Truck Into Underpass,211,60
1151,Structural+AC0-Collapse,725,60
1154,Structural+AC0-Sidewalk Shed,342,60
1155,Structural+AC0-Collapse,238,60
1156,Structural+AC0-Falling Debris,1684,60
1179,Structural+AC0-Life Safety Violations,130,60
6247,Structural+AC0-Sink Hole,1838,60
6471,Structural+AC0-Struck Overpass,288,60
6206,Structural+AC0-Stability Problem,1910,60
6017,Structural+AC0-Life Safety Violations,2405,60
6299,Structural+AC0-Scaffold,88,60
6445,Structural+AC0-Bricks,32,60
1184,Structural+AC0-Construction Accident,129,60
1285,Structural+AC0-Life Safety Violations,6234,60
1281,Structural+AC0-Stability Problem,6234,60
6002,Structural+AC0-Collapse,132,60
1279,Structural+AC0-Stability Problem,70,60
2531,Structural+AC0-Street Collapse,259,60
6233,Structural+AC0-Street Collapse,178,60
1350,Structural+AC0-Tractor Trailer Hit Overpass,173,60
1367,Structural+AC0-Street Collapse,6234,60
6235,Structural+AC0-Falling Debris,138,60
1433,Structural+AC0-Life Safety Violations,1438,60
1432,Structural+AC0-Life Safety Violations,1080,60
6336,Structural+AC0-Overturned Crane,582,60
1460,Structural+AC0-Parapet,96,60
6248,Structural+AC0-Bridge,508,60
1482,Structural+AC0-Tour Bus into Scaffolding,86,60
6102,Structural+AC0-Construction Accident,189,60
1483,Structural+AC0-Street Collapse,117,60
6268,Structural+AC0-Shaking Building,19,60
6386,Structural+AC0-Scaffold,17,60
6249,Structural+AC0-Other,114,60
1614,Structural+AC0-Partial Collapse,1780,60
1565,Structural+AC0-Scaffold,98,60
1639,Structural+AC0-Basement Flooding,5756,60
1617,Structural+AC0-Street Collapse,3464,60
1637,Structural+AC0-Street Collapse,601,60
1635,Structural+AC0-Street Collapse,333,60
1654,Structural+AC0-Crane Collapse,1663,60
1638,Structural+AC0-Stability Problem,218,60
1653,Structural+AC0-Stability Problem,746,60
1656,Structural+AC0-Bricks,3028,60
6178,Structural+AC0-Collapse,6234,60
6535,Structural+AC0-Earthquake,2263,60
1659,Structural+AC0-Damaged Water Tank,455,60
1676,Structural+AC0-Stability Problem,190,60
1678,Structural+AC0-Retaining Wall Collapse,241,60
6491,Structural+AC0-Retaining Wall Collapse,499,60
1701,Structural+AC0-Stability Problem,6234,60
1679,Structural+AC0-Partial Collapse,575,60
6455,Structural+AC0-Partial Collapse,407,60
1709,Structural+AC0-Falling Debris,2673,60
1718,Structural+AC0-Illegal Signs,205,60
1736,Structural+AC0-Street Collapse,838,60
1756,Structural+AC0-Bricks,1672,60
6415,Structural+AC0-Partial Collapse,4686,60
1785,Structural+AC0-Collapse,1551,60
1784,Structural+AC0-Construction Accident,16,60
6472,Structural+AC0-Collapse,213,60
1787,Structural+AC0-Street Collapse,7,60
6416,Structural+AC0-Dangerous Condition +AC0- Tree Into a House,1663,60
6388,Structural+AC0-Street Collapse,435,60
1808,Structural+AC0-Collapse,4412,60
1802,Structural+AC0-Stability Problem,85,60
1803,Structural+AC0-Partial Collapse,172,60
6181,Structural+AC0-Tree Into Building,4367,60
1881,Structural+AC0-Settlement/Sinkhole Condition,6234,60
1811,Structural+AC0-Partial Collapse,159,60
1827,Structural+AC0-Scaffold,182,60
1835,Structural+AC0-Construction Accident,49,60
1860,Structural+AC0-Falling Debris,119,60
1889,Structural+AC0-Street Collapse,302,60
6600,Structural+AC0-Sinkhole,259,60
1935,Structural+AC0-Scaffold,125,60
1991,Structural+AC0-Collapse,6234,60
1963,Structural+AC0-Scaffold,90,60
1984,Structural+AC0-Collapse,2951,60
1990,Structural+AC0-Collapse,125,60
6278,Structural+AC0-Collapse,259,60
2019,Structural+AC0-Bricks,118,60
2039,Structural+AC0-Crane Worker Injury,66,60
6269,Structural+AC0-Life Safety Violations,56,60
2043,Structural+AC0-Life Safety Violations,130,60
6449,Structural+AC0-Construction Accident,47,60
2071,Structural+AC0-Stability Problem,124,60
2111,Structural+AC0-Street Collapse,78,60
2112,Structural+AC0-Partial Collapse,61,60
2113,Structural+AC0-Collapse,138,60
2141,Structural+AC0-Scaffold,1000,60
2148,Structural+AC0-Construction Accident,147,60
6392,Structural+AC0-Collapse,73,60
2169,Structural+AC0-Construction Accident,82,60
6406,Structural+AC0-Partial Collapse,6234,60
2188,Structural+AC0-Stability Problem,51,60
2200,Structural+AC0-Scaffold,646,60
2205,Structural+AC0-Scaffold,37,60
2227,Structural+AC0-Falling Debris,140,60
2271,Structural+AC0-Falling Debris,6234,60
2263,Structural+AC0-Falling Debris,82,60
2277,Structural+AC0-Scaffold,102,60
2289,Structural+AC0-Construction Accident,281,60
2291,Structural+AC0-Collapse,35,60
2302,Structural+AC0-Partial Collapse,3246,60
2306,Structural+AC0-Overpass,356,60
6375,Structural+AC0-Falling Debris,139,60
2330,Structural+AC0-Scaffold,34,60
6619,Structural+AC0-Sidewalk Shed,581,60
2335,Structural+AC0-Collapse,118,60
6492,Structural+AC0-Collapse,86,60
2366,Structural+AC0-Construction Fence,67,60
6405,Structural+AC0-Car Into House,283,60
6671,Structural+AC0-Confined Space,44,60
6611,Structural+AC0-Falling Debris,203,60
2423,Structural+AC0-Stability Problem,184,60
6539,Structural+AC0-Stability Problem,4546,60
2486,Structural+AC0-Bricks,120,60
2503,Structural+AC0-Car Into a Building,62,60
6571,Structural+AC0-Collapse,2159,60
2511,Structural+AC0-Car Into Building,89,60
2512,Structural+AC0-Falling Debris,50,60
6540,Structural+AC0-Partial Collapse,542,60
6576,Structural+AC0-Construction Accident,116,60
2527,Structural+AC0-Scaffold,118,60
2538,Structural+AC0-Construction Accident,84,60
2541,Structural+AC0-DOB Schedule Vacate,1463,60
6642,Structural+AC0-Collapse,3562,60
6451,Structural+AC0-Collapse,107,60
2548,Structural+AC0-Collapse,2460,60
2553,Structural+AC0-Life Safety Violations,6234,60
2555,Structural+AC0-Elevator Incident,48,60
