,Incident Type,Response Time,minute
967,Utility+AC0-Transformer Fire,787,60
6353,Utility+AC0-Electric Feeder Cable,1688,60
1048,Utility+AC0-Gas Line Rupture,235,60
1122,Utility+AC0-Water Service Line,2951,60
1109,Utility+AC0-Water Main,371,60
1118,Utility+AC0-Gas Main Rupture,147,60
5977,Utility+AC0-Sewer Service,438,60
1133,Utility+AC0-Gas Main Rupture,197,60
1180,Utility+AC0-Power Outage,489,60
1181,Utility+AC0-Gas Main Rupture,148,60
6060,Utility+AC0-Gas Main Rupture,531,60
6275,Utility+AC0-Gas Main Break,152,60
6335,Utility+AC0-Power Outage,345,60
1183,Utility+AC0-Staten Island Hospital +AC0- Air Conditioning Failure,1385,60
1185,Utility+AC0-Manhole,389,60
1255,Utility+AC0-Water Service Line,1601,60
1257,Utility+AC0-Gas Main Break,54,60
1258,Utility+AC0-Water Service Line,7,60
1262,Utility+AC0-Water Main,154,60
6384,Utility+AC0-Power Outage,229,60
1284,Utility+AC0-Gas Service Line,72,60
1324,Utility+AC0-Water Main,1539,60
1344,Utility+AC0-Manhole,298,60
1345,Utility+AC0-Manhole,158,60
6385,Utility+AC0-Water Leak,322,60
1348,Utility+AC0-Gas High Pressure,122,60
1351,Utility+AC0-Water Service Line,413,60
1366,Utility+AC0-Water Main,471,60
6313,Utility+AC0-Gas Main Rupture,662,60
6300,Utility+AC0-Gas Main Rupture,124,60
1442,Utility+AC0-Water Condition,103,60
1461,Utility+AC0-Manhole,1704,60
1462,Utility+AC0-Water Main,1586,60
1464,Utility+AC0-Water Main,1332,60
1488,Utility+AC0-Water Main,2951,60
1486,Utility+AC0-Power Outage,86,60
6512,Utility+AC0-Water Main,968,60
1539,Utility+AC0-Life Safety Violations,2951,60
6404,Utility+AC0-Water Main,92,60
1490,Utility+AC0-Gas Service Line,684,60
1491,Utility+AC0-Gas Main Rupture,624,60
6446,Utility+AC0-Water Main,438,60
1494,Utility+AC0-Steam Main,473,60
6287,Utility+AC0-Manhole,2951,60
6490,Utility+AC0-Electric Feeder Cable,2718,60
1495,Utility+AC0-Manhole,21,60
1507,Utility+AC0-Water Main,697,60
1512,Utility+AC0-Power Outage,29,60
1534,Utility+AC0-Water Main,261,60
6314,Utility+AC0-Steam Main,2951,60
1540,Utility+AC0-Water Main,2127,60
1541,Utility+AC0-Water Condition,972,60
1544,Utility+AC0-Water Main,665,60
1564,Utility+AC0-Gas Main Rupture,41,60
1567,Utility+AC0-Water Main,438,60
6414,Utility+AC0-Power Outage,142,60
1616,Utility+AC0-Gas Main Rupture,548,60
6103,Utility+AC0-Water Service Line,47,60
1658,Utility+AC0-Water Service Line,8,60
1694,Utility+AC0-Water Main,72,60
1699,Utility+AC0-Water Service Line,2941,60
1697,Utility+AC0-Water Main,368,60
1703,Utility+AC0-Transformer,52,60
1704,Utility+AC0-High Tension Wires,132,60
1708,Utility+AC0-Sewer Service,145,60
1735,Utility+AC0-Water Service Line,77,60
1771,Utility+AC0-Water Condition,839,60
6457,Utility+AC0-Water Main,15,60
1774,Utility+AC0-Water Main,283,60
1775,Utility+AC0-Generator Fire,764,60
1777,Utility+AC0-Water Service Line,868,60
1782,Utility+AC0-Water Main,1409,60
6208,Utility+AC0-Power Outage,727,60
1788,Utility+AC0-Manhole,188,60
1804,Utility+AC0-Sewer Service,2614,60
1801,Utility+AC0-Water Condition,191,60
1805,Utility+AC0-Water Main,2468,60
6417,Utility+AC0-Water Main,501,60
1813,Utility+AC0-Water Main,680,60
6500,Utility+AC0-Water Main,2951,60
1825,Utility+AC0-Steam Service Line,15,60
1834,Utility+AC0-Water Main,847,60
6557,Utility+AC0-Power Outage,274,60
1848,Utility+AC0-Water Main,318,60
1849,Utility+AC0-Water Main,422,60
1850,Utility+AC0-Water Main,800,60
1890,Utility+AC0-Water Main,416,60
1910,Utility+AC0-Gas High Pressure,73,60
