,index,Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude,Response Time,Group Type
0,1030,Law Enforcement-Suspicious Package,Columbia Heights & Pineapple Street,Brooklyn,2011-05-06 09:22:28,05/06/2011 10:05:02 AM,40.6990081394,-73.9960005042,42.56666666666667,Law
1,6458,Law Enforcement-Suspicious Package,50 E 42nd Street,Manhattan,2011-05-06 16:19:59,05/06/2011 05:27:06 PM,40.7526910025,-73.9790479863,67.11666666666667,Law
2,1054,Law Enforcement-Suspicious Package,528 Morris Ave,Bronx,2011-05-08 22:57:10,,40.8169570544,-73.9229536287,41.226235625291885,Law
3,1086,Law Enforcement-Explosion,57-21 246tth Crescent,Queens,2011-05-11 22:26:55,05/11/2011 11:46:26 PM,,,79.51666666666667,Law
4,1089,Law Enforcement-Suspicious Package,119-07 Jamaica Avenue,Queens,2011-05-12 20:42:55,05/12/2011 09:57:22 PM,40.700055745,-73.8307237149,74.45,Law
5,6516,Law Enforcement-Suspicious Package,16-15 Central Avenue,Queens,2011-05-14 22:34:33,05/14/2011 10:58:01 PM,40.6048970346,-73.7522256178,23.466666666666665,Law
6,1126,Law Enforcement-Suspicious Package,30-30 Thomson Ave,Queens,2011-05-18 14:18:23,05/18/2011 02:53:24 PM,40.7450420881,-73.93619120560001,35.016666666666666,Law
7,1136,Law Enforcement-Suspicious Package,36-11 12 Street,Queens,2011-05-24 15:44:34,05/24/2011 05:58:31 PM,40.7605021956,-73.9393204688,133.95000000000002,Law
8,1183,Law Enforcement-Suspicious Package,2530  Ocean Ave,Brooklyn,2011-06-06 13:14:25,06/06/2011 02:31:57 PM,40.6000403415,-73.9515406309,77.53333333333333,Law
9,1257,Law Enforcement-Suspicious Package,3525 Hull Avenue,Bronx,2011-06-14 08:32:06,06/14/2011 10:13:05 AM,40.8792702668,-73.8733614695,100.98333333333333,Law
10,1490,Law Enforcement-Suspicious Package,West 33 Street & 7 Avenue,Manhattan,2011-07-26 09:12:31,07/26/2011 09:27:04 AM,40.7503183587,-73.9911105993,14.55,Law
11,1493,Law Enforcement-Suspicious Package,451 Carroll Street,Brooklyn,2011-07-28 18:47:08,07/28/2011 08:01:05 PM,40.6774638026,-73.9872771316,73.95,Law
12,1514,Law Enforcement-Suspicious Package,5th Ave & 20th Street,Brooklyn,2011-08-01 08:38:12,08/01/2011 10:06:22 AM,40.661909634000004,-73.99283807180001,88.16666666666667,Law
13,6282,Law Enforcement-Suspicious Package,West 44th Street & Broadway,Manhattan,2011-08-02 22:23:00,08/02/2011 10:49:34 PM,40.7572565476,-73.98582167949999,26.566666666666666,Law
14,6078,Law Enforcement-Suspicious Package,170 Avenue D,Manhattan,2011-08-05 11:03:21,08/05/2011 11:41:29 AM,40.7257448601,-73.9745213965,38.13333333333333,Law
15,6321,Law Enforcement-Device,Wall St  & South St,Manhattan,2011-08-11 19:22:22,08/11/2011 07:47:41 PM,,,25.316666666666666,Law
16,1658,Law Enforcement-Suspicious Package,8th Avenue & West 47th Street,Manhattan,2011-08-23 16:21:32,08/23/2011 05:08:58 PM,40.7604049607,-73.9874742624,47.43333333333333,Law
17,1681,Law Enforcement-Suspicious Package,Mulberry St & Bayard St,Manhattan,2011-08-29 17:29:25,08/29/2011 06:19:38 PM,40.7159186958,-73.9993218251,50.21666666666667,Law
18,1694,Law Enforcement-Suspicious Package,65-30 Kissena Blvd,Queens,2011-08-30 18:36:57,08/30/2011 07:51:50 PM,40.736706628600004,-73.8147029214,74.88333333333334,Law
19,6283,Law Enforcement-Device,W 233 St & Bailey Avenue,Bronx,2011-09-01 01:17:49,09/01/2011 01:56:45 AM,,,38.93333333333333,Law
20,1697,Law Enforcement-Suspicious Package,E. 125th St & 1st Ave,Manhattan,2011-09-01 10:55:29,09/01/2011 12:12:36 PM,,,77.11666666666666,Law
21,1699,Law Enforcement-Suspicious Package,W. 33rd Street & Broadway,Manhattan,2011-09-02 10:26:27,09/02/2011 10:37:34 AM,40.7490225598,-73.988039423,11.116666666666667,Law
22,1707,Law Enforcement-Device,92-42 52nd Ave,Queens,2011-09-07 21:18:28,09/07/2011 09:34:28 PM,40.7394676038,-73.8708052741,16.000000000000004,Law
23,6453,Law Enforcement-Suspicious Package,Koch Bridge,Manhattan,2011-09-09 21:10:19,09/09/2011 09:56:03 PM,,,45.733333333333334,Law
24,1728,Law Enforcement-Suspicious Package,W 42nd St & 6th Ave,Manhattan,2011-09-11 00:48:54,09/11/2011 02:12:27 AM,40.7548409495,-73.98411854689999,83.55,Law
25,1774,Law Enforcement-Suspicious Package,182nd St & Jamaica Ave,Queens,2011-09-16 19:58:07,09/16/2011 09:05:23 PM,40.7087102451,-73.7790468604,67.26666666666668,Law
26,1780,Law Enforcement-Suspicious Package,1334 York Avenue,Manhattan,2011-09-19 09:20:07,09/19/2011 10:27:40 AM,40.7663141739,-73.9541271824,67.55000000000001,Law
27,2063,Law Enforcement-Suspicious Package,W 42 St & 8 Ave,Manhattan,2011-09-19 15:57:27,11/27/2011 10:00:51 PM,40.7572322651,-73.9897921905,56.84359062435312,Law
28,1783,Law Enforcement-Suspicious Package,E. 40th Street & Park Avenue,Manhattan,2011-09-20 09:26:49,09/20/2011 10:06:08 AM,40.7508437069,-73.9786082444,39.31666666666667,Law
29,1788,Law Enforcement-Suspicious Package,251 E 51st St,Manhattan,2011-09-21 15:55:20,09/21/2011 04:03:00 PM,40.7559797332,-73.96917140640001,7.666666666666668,Law
30,1791,Law Enforcement-Suspicious Package,E 69 St & Lexington Ave,Manhattan,2011-09-23 06:26:23,09/23/2011 06:56:54 AM,40.7684859067,-73.9636167999,30.51666666666667,Law
31,1811,Law Enforcement-Suspicious Package,Delancey Street & Orchard Street,Manhattan,2011-09-26 18:40:44,09/26/2011 07:36:38 PM,40.7190253116,-73.9897691824,55.9,Law
32,6202,Law Enforcement-Haz Mat,225  Van Brunt Street,Brooklyn,2011-09-27 11:48:00,09/27/2011 01:43:30 PM,40.6808100464,-74.008826054,115.5,Law
33,6534,Law Enforcement-Civil Unrest,,Manhattan,2011-10-01 16:52:27,05/02/2012 05:21:53 AM,40.7098020157,-74.010926754,55.5264988602335,Law
34,1816,Law Enforcement-Suspicious Package,W. 122 St & Mount Morris Park West,Manhattan,2011-10-04 11:49:29,10/04/2011 12:25:48 PM,40.805137293499996,-73.9452398246,36.31666666666667,Law
35,1843,Law Enforcement-Device,Beach 38th St & Spray View Ave,Queens,2011-10-10 12:27:24,10/10/2011 01:20:13 PM,40.592099034899995,-73.7698874255,52.81666666666667,Law
36,1886,Law Enforcement-Suspicious Package,819 Grand St,Brooklyn,2011-10-21 16:21:55,10/21/2011 05:13:05 PM,40.712049604,-73.9403601384,51.166666666666664,Law
37,1889,Law Enforcement-Jumper Up,Broadway & Cedar St,Manhattan,2011-10-22 06:41:35,10/22/2011 09:45:40 AM,40.7087982744,-74.0108460326,184.08333333333334,Law
38,1914,Law Enforcement-Bomb Threat,120-07 15th Avenue,Queens,2011-10-26 10:00:11,10/26/2011 12:46:52 PM,40.7841454936,-73.8474636503,166.68333333333334,Law
39,6479,Law Enforcement-Device,104-54 89th Avenue,Queens,2011-11-01 16:34:18,11/01/2011 08:08:19 PM,40.693960904099995,-73.84126548729999,214.01666666666668,Law
40,1966,Law Enforcement-Suspicious Package,JFK Airport & Cargo Building,Queens,2011-11-02 23:30:13,11/03/2011 12:17:30 AM,,,47.28333333333333,Law
41,1970,Law Enforcement-Found Grenade,3961 10th Avenue,Manhattan,2011-11-03 13:10:36,11/03/2011 01:42:53 PM,40.8672852804,-73.9168393121,32.28333333333334,Law
42,1988,Law Enforcement-Suspicious Package,W 40TH ST & 9TH AVE,Manhattan,2011-11-05 14:43:46,11/05/2011 03:26:34 PM,40.7571447056,-73.99356057,42.8,Law
43,1990,Law Enforcement-Suspicious Package,West 45 Street & 7th Ave,Manhattan,2011-11-06 11:54:59,11/06/2011 12:35:53 PM,40.7579344681,-73.985568864,40.9,Law
44,1991,Law Enforcement-Suspicious Package,142 Beverly ave,Staten Island,2011-11-06 13:44:30,11/06/2011 02:52:08 PM,40.6179848106,-74.1038390799,67.63333333333334,Law
45,1995,Law Enforcement-Suspicious Package,W 41 St & Broadway,Manhattan,2011-11-07 21:07:42,11/07/2011 09:50:17 PM,40.7550334015,-73.98663788430001,42.583333333333336,Law
46,6369,Law Enforcement-Suspicious Package,Broadway & Maiden Ln,Manhattan,2011-11-08 10:41:50,11/08/2011 11:52:46 AM,40.709805680100004,-74.0099877347,70.93333333333334,Law
47,2038,Law Enforcement-Suspicious Package,W 187 ST & FORT WASHINGTON AVE,Manhattan,2011-11-15 09:06:06,11/15/2011 10:15:22 AM,40.8551362186,-73.9368772408,69.26666666666667,Law
48,6553,Law Enforcement-Suspicious Package,2 Hanson Place,Brooklyn,2011-11-22 14:24:12,11/22/2011 03:06:56 PM,40.685092819,-73.9777279258,42.733333333333334,Law
49,2062,Law Enforcement-Suspicious Package,237 West 42 Street,Manhattan,2011-11-27 21:09:05,11/27/2011 09:57:22 PM,40.75678477,-73.9887021821,48.28333333333333,Law
50,2064,Law Enforcement-Suspicious Package,61-10 BROADWAY,Queens,2011-11-28 07:36:23,11/28/2011 07:57:22 AM,40.750610743,-73.900682235,20.983333333333334,Law
