,index,Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude,Response Time,Group Type
0,968,Utility-Transformer Fire,750 Baychester Ave.,Bronx,2011-05-04 06:09:36,05/04/2011 07:16:36 PM,40.874279798,-73.8339213989,787.0,Uti
1,6359,Utility-Electric Feeder Cable,Sutton Network,Manhattan,2011-05-04 07:46:18,05/05/2011 11:54:19 AM,,,1688.0166666666667,Uti
2,1049,Utility-Gas Line Rupture,2748 Netherland Ave,Bronx,2011-05-06 14:02:32,05/06/2011 05:58:23 PM,40.8807206283,-73.9132098666,235.85,Uti
3,1123,Utility-Water Service Line,785 Jennings St,Bronx,2011-05-09 13:34:51,05/17/2011 04:02:40 PM,40.8320020341,-73.89642677149999,43.54041648938649,Uti
4,1110,Utility-Water Main,W 26 St & Broadway,Manhattan,2011-05-13 08:40:19,05/13/2011 02:51:59 PM,40.7437966543,-73.9890111345,371.6666666666667,Uti
5,1119,Utility-Gas Main Rupture,21-15 Amory Court,Queens,2011-05-13 21:05:57,05/13/2011 11:33:41 PM,40.712117770999996,-73.9100856117,147.73333333333332,Uti
6,5983,Utility-Sewer Service,East 72nd Street & FDR,Manhattan,2011-05-18 20:20:44,,,,5943.732926903864,Uti
7,1134,Utility-Gas Main Rupture,186 Dyckman Street,Manhattan,2011-05-24 13:21:34,05/24/2011 04:38:59 PM,40.8643769925,-73.92653574970001,197.41666666666666,Uti
8,1181,Utility-Power Outage,Fort Washington Ave & W 187 St,Manhattan,2011-06-01 21:40:07,06/02/2011 05:49:20 AM,40.8551362186,-73.9368772408,489.21666666666675,Uti
9,1182,Utility-Gas Main Rupture,Washington Street & Water Street,Brooklyn,2011-06-02 08:27:26,06/02/2011 10:55:53 AM,40.7031989952,-73.9895840668,148.45,Uti
10,6066,Utility-Gas Main Rupture,75-09 Main St,Queens,2011-06-03 15:58:49,06/04/2011 12:50:20 AM,40.7237628841,-73.8202443305,531.5166666666668,Uti
11,6281,Utility-Gas Main Break,533 East 11th Street,Manhattan,2011-06-06 13:40:35,06/06/2011 04:12:53 PM,40.7280846286,-73.98090661239999,152.3,Uti
12,6341,Utility-Power Outage,653 5th Ave,Manhattan,2011-06-09 07:08:11,06/09/2011 12:53:13 PM,40.7596895798,-73.97634574119999,345.03333333333336,Uti
13,1184,Utility-Staten Island Hospital - Air Conditioning Failure,375 Seguine Avenue,Staten Island,2011-06-09 10:42:31,06/10/2011 09:48:00 AM,40.5167250156,-74.1968797229,1385.4833333333333,Uti
14,1186,Utility-Manhole,Myrtle Ave & Bedford Ave,Brooklyn,2011-06-10 15:23:32,06/10/2011 09:53:03 PM,40.6945780317,-73.9561418957,389.51666666666665,Uti
15,1256,Utility-Water Service Line,176 W 94 Street,Manhattan,2011-06-13 06:40:12,06/14/2011 09:21:33 AM,40.7923780376,-73.9704438414,1601.35,Uti
16,1258,Utility-Gas Main Break,152 East 111 Street,Manhattan,2011-06-14 13:47:17,06/14/2011 02:42:07 PM,40.7953076663,-73.9436660225,54.833333333333336,Uti
17,1259,Utility-Water Service Line,Sands Street & Cadman Plaza East,Brooklyn,2011-06-16 22:39:30,06/16/2011 10:47:26 PM,,,7.9333333333333345,Uti
18,1263,Utility-Water Main,Pelham Parkway  & Stillwell Ave,Bronx,2011-06-17 10:32:07,06/17/2011 01:06:27 PM,,,154.33333333333334,Uti
19,6390,Utility-Power Outage,393 Powell Street,Brooklyn,2011-06-20 18:53:05,06/20/2011 10:42:31 PM,40.6645722773,-73.90265586619999,229.43333333333334,Uti
20,1285,Utility-Gas Service Line,488 East 163rd Street,Bronx,2011-06-22 09:14:25,06/22/2011 10:27:13 AM,40.8245342175,-73.910183022,72.8,Uti
