Incident Type,Creation Date,Response Time,Incident Number
Fire-4th Alarm,2011-05-04,3471,1
Fire-2nd Alarm,2011-05-04,1145,2
Fire-4th Alarm,2011-05-13,2097,1
Fire-School,2011-05-14,112,3
Fire-1st Alarm,2011-05-17,3333,4
Fire-1st Alarm,2011-05-19,65,4
Fire-3rd Alarm,2011-05-26,272,5
Fire-1st Alarm,2011-06-09,45,4
Fire-1st Alarm,2011-06-11,66,4
Fire-2nd Alarm,2011-06-24,90,2
Fire-3rd Alarm,2011-06-25,339,5
Fire-Sensitive Location,2011-06-27,86,6
Fire-Hospital,2011-06-27,54,7
Fire-2nd Alarm,2011-06-27,125,2
Fire-2nd Alarm,2011-07-08,601,2
Fire-2nd Alarm,2011-07-10,875,2
Fire-Manhole,2011-07-11,1335,8
Fire-3rd Alarm,2011-07-12,257,5
Fire-Hospital,2011-07-21,189,7
Fire-1st Alarm,2011-07-22,54,4
Fire-1st Alarm,2011-07-24,67,4
Fire-Explosion,2011-07-27,1234,9
Fire-1st Alarm,2011-08-01,3,4
Fire-10-77 (Residential High Rise),2011-08-04,79,10
Fire-Haz Mat,2011-08-08,83,11
Fire-Manhole,2011-08-17,199,8
Fire-4th Alarm,2011-08-21,1177,1
Fire-4th Alarm,2011-08-22,2464,1
Fire-2nd Alarm,2011-08-25,174,2
Fire-10-76 (Commercial High Rise),2011-08-28,236,12
Fire-3rd Alarm,2011-08-30,158,5
Fire-1st Alarm,2011-08-31,83,4
Fire-1st Alarm,2011-09-02,88,4
Fire-Sensitive Location,2011-09-07,78,6
Fire-10-77 (Residential High Rise),2011-09-12,77,10
Fire-School,2011-09-16,106,3
Fire-3rd Alarm,2011-09-16,2366,5
Fire-1st Alarm,2011-09-19,217,4
Fire-2nd Alarm,2011-09-20,100,2
Fire-Haz Mat,2011-09-22,111,11
Fire-5th Alarm,2011-09-23,1393,13
Fire-1st Alarm,2011-10-06,115,4
Fire-10-77 (Residential High Rise),2011-10-17,38,10
Fire-Haz Mat,2011-10-18,373,11
Fire-1st Alarm,2011-10-20,151,4
Fire-10-76 (Commercial High Rise),2011-10-21,1504,12
Fire-2nd Alarm,2011-10-23,172,2
Fire-1st Alarm,2011-10-29,96,4
Fire-Haz Mat,2011-11-01,84,11
Fire-2nd Alarm,2011-11-09,175,2
Fire-1st Alarm,2011-11-11,305,4
Fire-2nd Alarm,2011-11-12,90,2
Fire-2nd Alarm,2011-11-15,650,2
Fire-10-77 (Residential High Rise),2011-11-16,88,10
Fire-2nd Alarm,2011-11-21,85,2
Fire-Sensitive Location,2011-11-21,14,6
Fire-Manhole,2011-11-23,92,8
Fire-1st Alarm,2011-11-24,166,4
Fire-Hospital,2011-11-27,421,7
Fire-1st Alarm,2011-11-29,89,4
Fire-Sensitive Location,2011-12-10,65,6
Fire-10-76 (Commercial High Rise),2011-12-12,71,12
Fire-1st Alarm,2011-12-13,94,4
Fire-2nd Alarm,2011-12-14,92,2
Fire-1st Alarm,2011-12-17,58,4
Fire-10-77 (Residential High Rise),2011-12-18,88,10
Fire-2nd Alarm,2011-12-19,206,2
Fire-10-76 (Commercial High Rise),2011-12-19,61,12
Fire-10-76 (Commercial High Rise),2011-12-20,195,12
Fire-1st Alarm,2011-12-21,85,4
Fire-2nd Alarm,2011-12-22,81,2
Fire-1st Alarm,2011-12-23,47,4
Fire-2nd Alarm,2011-12-23,1190,2
Fire-2nd Alarm,2011-12-29,1160,2
Fire-2nd Alarm,2012-01-04,1906,2
Fire-1st Alarm,2012-01-05,90,4
Fire-10-77 (Residential High Rise),2012-01-07,1444,10
Fire-3rd Alarm,2012-01-15,276,5
Fire-3rd Alarm,2012-01-16,916,5
Fire-3rd Alarm,2012-01-17,527,5
Fire-Hospital,2012-01-24,71,7
Fire-1st Alarm,2012-01-25,149,4
Fire-Collapse,2012-02-04,146,14
Fire-1st Alarm,2012-02-12,76,4
Fire-Haz Mat,2012-02-13,283,11
Fire-Manhole,2012-02-14,1376,8
Fire-1st Alarm,2012-02-16,110,4
