Incident Type,Creation Date,Response Time,Incident Number
Law Enforcement-Suspicious Package,2011-05-06,42,1
Law Enforcement-Suspicious Package,2011-05-06,67,1
Law Enforcement-Suspicious Package,2011-05-12,74,1
Law Enforcement-Suspicious Package,2011-05-14,23,1
Law Enforcement-Suspicious Package,2011-05-18,35,1
Law Enforcement-Suspicious Package,2011-05-24,133,1
Law Enforcement-Suspicious Package,2011-06-06,77,1
Law Enforcement-Suspicious Package,2011-06-14,100,1
Law Enforcement-Suspicious Package,2011-07-26,14,1
Law Enforcement-Suspicious Package,2011-07-28,73,1
Law Enforcement-Suspicious Package,2011-08-01,88,1
Law Enforcement-Suspicious Package,2011-08-02,26,1
Law Enforcement-Suspicious Package,2011-08-05,38,1
Law Enforcement-Device,2011-08-11,25,2
Law Enforcement-Suspicious Package,2011-08-23,47,1
Law Enforcement-Suspicious Package,2011-08-29,50,1
Law Enforcement-Suspicious Package,2011-08-30,74,1
Law Enforcement-Device,2011-09-01,38,2
Law Enforcement-Suspicious Package,2011-09-01,77,1
Law Enforcement-Suspicious Package,2011-09-02,11,1
Law Enforcement-Device,2011-09-07,16,2
Law Enforcement-Suspicious Package,2011-09-09,45,1
Law Enforcement-Suspicious Package,2011-09-11,83,1
Law Enforcement-Suspicious Package,2011-09-16,67,1
Law Enforcement-Suspicious Package,2011-09-19,67,1
Law Enforcement-Suspicious Package,2011-09-20,39,1
Law Enforcement-Suspicious Package,2011-09-21,7,1
Law Enforcement-Suspicious Package,2011-09-23,30,1
Law Enforcement-Suspicious Package,2011-09-26,55,1
Law Enforcement-Haz Mat,2011-09-27,115,3
Law Enforcement-Suspicious Package,2011-10-04,36,1
Law Enforcement-Device,2011-10-10,52,2
Law Enforcement-Suspicious Package,2011-10-21,51,1
Law Enforcement-Device,2011-11-01,214,2
Law Enforcement-Suspicious Package,2011-11-02,47,1
Law Enforcement-Suspicious Package,2011-11-05,42,1
Law Enforcement-Suspicious Package,2011-11-06,40,1
Law Enforcement-Suspicious Package,2011-11-06,67,1
Law Enforcement-Suspicious Package,2011-11-07,42,1
Law Enforcement-Suspicious Package,2011-11-08,70,1
Law Enforcement-Suspicious Package,2011-11-15,69,1
Law Enforcement-Suspicious Package,2011-11-22,42,1
Law Enforcement-Suspicious Package,2011-11-27,48,1
Law Enforcement-Suspicious Package,2011-11-28,20,1
Law Enforcement-Suspicious Package,2011-11-28,52,1
Law Enforcement-Suspicious Package,2011-11-30,46,1
Law Enforcement-Suspicious Package,2011-12-02,146,1
Law Enforcement-Suspicious Package,2011-12-02,31,1
Law Enforcement-Suspicious Package,2011-12-04,45,1
Law Enforcement-Suspicious Package,2011-12-08,46,1
Law Enforcement-Suspicious Package,2011-12-14,85,1
Law Enforcement-Suspicious Package,2011-12-14,124,1
Law Enforcement-Suspicious Package,2011-12-16,55,1
Law Enforcement-Suspicious Package,2011-12-18,21,1
Law Enforcement-Suspicious Package,2011-12-19,108,1
Law Enforcement-Suspicious Package,2011-12-31,31,1
Law Enforcement-Suspicious Package,2012-01-05,27,1
Law Enforcement-Suspicious Package,2012-01-12,31,1
Law Enforcement-Suspicious Package,2012-01-25,70,1
Law Enforcement-Suspicious Package,2012-01-25,56,1
Law Enforcement-Suspicious Package,2012-01-30,45,1
Law Enforcement-Suspicious Package,2012-02-09,133,1
Law Enforcement-Suspicious Package,2012-02-10,106,1
Law Enforcement-Suspicious Package,2012-02-13,68,1
Law Enforcement-Suspicious Package,2012-02-17,91,1
Law Enforcement-Suspicious Package,2012-02-18,142,1
Law Enforcement-Suspicious Package,2012-03-01,19,1
Law Enforcement-Suspicious Package,2012-03-06,66,1
Law Enforcement-Suspicious Package,2012-03-07,44,1
Law Enforcement-Suspicious Package,2012-03-21,47,1
Law Enforcement-Suspicious Package,2012-03-23,60,1
Law Enforcement-Suspicious Package,2012-03-30,45,1
Law Enforcement-Suspicious Package,2012-04-07,73,1
Law Enforcement-Suspicious Package,2012-04-08,3,1
Law Enforcement-Suspicious Package,2012-04-10,20,1
Law Enforcement-Suspicious Package,2012-04-12,65,1
Law Enforcement-Suspicious Package,2012-04-17,11,1
Law Enforcement-Suspicious Package,2012-04-19,32,1
Law Enforcement-Device,2012-04-28,55,2
Law Enforcement-Haz Mat,2012-04-30,225,3
Law Enforcement-Haz Mat,2012-04-30,150,3
Law Enforcement-Haz Mat,2012-04-30,64,3
Law Enforcement-Haz Mat,2012-04-30,224,3
Law Enforcement-Haz Mat,2012-04-30,91,3
Law Enforcement-Suspicious Package,2012-05-01,99,1
Law Enforcement-Suspicious Package,2012-05-07,13,1
Law Enforcement-Suspicious Package,2012-05-14,56,1
Law Enforcement-Suspicious Package,2012-05-15,44,1
Law Enforcement-Suspicious Package,2012-05-18,54,1
Law Enforcement-Suspicious Package,2012-05-19,307,1
Law Enforcement-Suspicious Package,2012-05-30,638,1
Law Enforcement-Suspicious Package,2012-06-05,107,1
Law Enforcement-Suspicious Package,2012-06-17,45,1
Law Enforcement-Suspicious Package,2012-06-19,129,1
Law Enforcement-Suspicious Package,2012-07-01,27,1
Law Enforcement-Suspicious Package,2012-07-04,28,1
Law Enforcement-Suspicious Package,2012-07-05,66,1
Law Enforcement-Suspicious Package,2012-07-12,42,1
Law Enforcement-Suspicious Package,2012-07-12,104,1
Law Enforcement-Suspicious Package,2012-07-15,34,1
Law Enforcement-Suspicious Package,2012-07-17,59,1
Law Enforcement-Suspicious Package,2012-07-25,15,1
Law Enforcement-Suspicious Package,2012-08-01,40,1
Law Enforcement-Suspicious Package,2012-08-02,53,1
Law Enforcement-Device,2012-08-07,71,2
Law Enforcement-Device,2012-08-14,47,2
Law Enforcement-Device,2012-08-18,35,2
Law Enforcement-Suspicious Package,2012-08-20,38,1
Law Enforcement-Suspicious Package,2012-08-21,48,1
Law Enforcement-Suspicious Package,2012-08-21,18,1
Law Enforcement-Suspicious Package,2012-08-22,48,1
Law Enforcement-Suspicious Package,2012-08-28,39,1
Law Enforcement-Suspicious Package,2012-09-02,52,1
Law Enforcement-Suspicious Package,2012-09-05,42,1
Law Enforcement-Device,2012-09-05,22,2
Law Enforcement-Haz Mat,2012-09-05,137,3
Law Enforcement-Device,2012-09-06,39,2
Law Enforcement-Haz Mat,2012-09-06,25,3
Law Enforcement-Suspicious Package,2012-09-12,76,1
Law Enforcement-Suspicious Package,2012-09-15,34,1
Law Enforcement-Suspicious Package,2012-09-18,51,1
Law Enforcement-Device,2012-09-20,39,2
Law Enforcement-Suspicious Package,2012-09-23,92,1
Law Enforcement-Suspicious Package,2012-09-27,49,1
Law Enforcement-Suspicious Package,2012-10-17,123,1
Law Enforcement-Suspicious Package,2012-10-18,52,1
Law Enforcement-Suspicious Package,2012-10-18,32,1
Law Enforcement-Suspicious Package,2012-10-19,74,1
Law Enforcement-Suspicious Package,2012-10-21,54,1
Law Enforcement-Suspicious Package,2012-10-23,0,1
Law Enforcement-Suspicious Package,2012-10-27,87,1
Law Enforcement-Device,2012-10-28,66,2
