Incident Type,Creation Date,Response Time,Incident Number
Structural-Construction Accident,2011-05-04,71,1
Structural-Confined Space,2011-05-07,167,2
Structural-Scaffold,2011-05-07,204,3
Structural-Bricks,2011-05-10,1507,4
Structural-Construction Accident,2011-05-10,36,1
Structural-Collapse,2011-05-16,581,5
Structural-Life Safety Violations,2011-05-16,1025,6
Structural-Street Collapse,2011-05-19,214,7
Structural-Street Collapse,2011-05-21,182,7
Structural-Other,2011-05-22,22,8
Structural-Scaffold,2011-05-23,312,3
Structural-Collapse,2011-05-25,725,5
Structural-Sidewalk Shed,2011-05-27,342,9
Structural-Collapse,2011-05-28,238,5
Structural-Falling Debris,2011-05-29,1684,10
Structural-Life Safety Violations,2011-05-30,130,6
Structural-Stability Problem,2011-06-08,1910,11
Structural-Life Safety Violations,2011-06-09,2405,6
Structural-Scaffold,2011-06-09,88,3
Structural-Bricks,2011-06-09,32,4
Structural-Construction Accident,2011-06-10,129,1
Structural-Collapse,2011-06-17,132,5
Structural-Stability Problem,2011-06-19,70,11
Structural-Street Collapse,2011-06-25,178,7
Structural-Falling Debris,2011-07-05,138,10
Structural-Life Safety Violations,2011-07-06,1438,6
Structural-Life Safety Violations,2011-07-06,1080,6
Structural-Construction Accident,2011-07-20,189,1
Structural-Street Collapse,2011-07-20,117,7
Structural-Scaffold,2011-08-03,17,3
Structural-Other,2011-08-09,114,8
Structural-Partial Collapse,2011-08-14,1780,12
Structural-Scaffold,2011-08-14,98,3
Structural-Street Collapse,2011-08-14,3464,7
Structural-Street Collapse,2011-08-17,601,7
Structural-Street Collapse,2011-08-17,333,7
Structural-Stability Problem,2011-08-18,218,11
Structural-Stability Problem,2011-08-18,746,11
Structural-Bricks,2011-08-19,3028,4
Structural-Stability Problem,2011-08-25,190,11
Structural-Partial Collapse,2011-08-29,575,12
Structural-Partial Collapse,2011-08-29,407,12
Structural-Falling Debris,2011-09-07,2673,10
Structural-Street Collapse,2011-09-13,838,7
Structural-Bricks,2011-09-15,1672,4
Structural-Collapse,2011-09-20,1551,5
Structural-Construction Accident,2011-09-20,16,1
Structural-Collapse,2011-09-21,213,5
Structural-Street Collapse,2011-09-21,7,7
Structural-Street Collapse,2011-09-23,435,7
Structural-Stability Problem,2011-09-23,85,11
Structural-Partial Collapse,2011-09-24,172,12
Structural-Partial Collapse,2011-09-30,159,12
Structural-Scaffold,2011-10-05,182,3
Structural-Construction Accident,2011-10-08,49,1
Structural-Falling Debris,2011-10-19,119,10
Structural-Street Collapse,2011-10-22,302,7
Structural-Scaffold,2011-10-29,125,3
Structural-Scaffold,2011-11-02,90,3
Structural-Collapse,2011-11-02,2951,5
Structural-Collapse,2011-11-06,125,5
