Incident Type,Creation Date,Response Time,Incident Number
Utility-Electric Feeder Cable,2011-05-04,1688,1
Utility-Water Main,2011-05-13,371,2
Utility-Gas Main Rupture,2011-05-13,147,3
Utility-Gas Main Rupture,2011-05-24,197,3
Utility-Power Outage,2011-06-01,489,4
Utility-Gas Main Rupture,2011-06-02,148,3
Utility-Gas Main Rupture,2011-06-03,531,3
Utility-Power Outage,2011-06-09,345,4
Utility-Manhole,2011-06-10,389,5
Utility-Water Service Line,2011-06-13,1601,6
Utility-Water Service Line,2011-06-16,7,6
Utility-Water Main,2011-06-17,154,2
Utility-Power Outage,2011-06-20,229,4
Utility-Gas Service Line,2011-06-22,72,7
Utility-Water Main,2011-06-23,1539,2
Utility-Manhole,2011-06-24,298,5
Utility-Manhole,2011-06-24,158,5
Utility-Gas High Pressure,2011-06-29,122,8
Utility-Water Service Line,2011-07-02,413,6
Utility-Water Main,2011-07-03,471,2
Utility-Gas Main Rupture,2011-07-07,662,3
Utility-Gas Main Rupture,2011-07-08,124,3
Utility-Manhole,2011-07-13,1704,5
Utility-Water Main,2011-07-14,1586,2
Utility-Water Main,2011-07-18,1332,2
Utility-Water Main,2011-07-22,3849,2
Utility-Power Outage,2011-07-22,86,4
Utility-Water Main,2011-07-23,968,2
Utility-Water Main,2011-07-26,92,2
Utility-Gas Service Line,2011-07-26,684,7
Utility-Gas Main Rupture,2011-07-26,624,3
Utility-Electric Feeder Cable,2011-07-29,2718,1
Utility-Manhole,2011-07-29,21,5
Utility-Water Main,2011-07-30,697,2
Utility-Power Outage,2011-08-01,29,4
Utility-Water Main,2011-08-02,261,2
Utility-Water Main,2011-08-04,2127,2
Utility-Water Main,2011-08-09,665,2
Utility-Gas Main Rupture,2011-08-10,41,3
Utility-Power Outage,2011-08-14,142,4
Utility-Gas Main Rupture,2011-08-15,548,3
Utility-Water Service Line,2011-08-23,47,6
Utility-Water Service Line,2011-08-23,8,6
Utility-Water Main,2011-08-31,72,2
Utility-Water Service Line,2011-08-31,2941,6
Utility-Water Main,2011-09-01,368,2
Utility-Water Service Line,2011-09-13,77,6
Utility-Water Main,2011-09-16,15,2
Utility-Water Main,2011-09-16,283,2
Utility-Water Service Line,2011-09-18,868,6
Utility-Water Main,2011-09-19,1409,2
Utility-Power Outage,2011-09-19,727,4
Utility-Manhole,2011-09-21,188,5
Utility-Water Main,2011-09-24,2468,2
Utility-Water Main,2011-09-29,501,2
Utility-Water Main,2011-10-02,680,2
Utility-Water Main,2011-10-07,847,2
Utility-Power Outage,2011-10-08,274,4
Utility-Water Main,2011-10-10,318,2
Utility-Water Main,2011-10-12,422,2
Utility-Water Main,2011-10-12,800,2
Utility-Water Main,2011-10-25,416,2
Utility-Gas High Pressure,2011-10-26,73,8
Utility-Gas Main Rupture,2011-10-26,62,3
Utility-Power Outage,2011-10-27,171,4
Utility-Electric Feeder Cable,2011-10-31,450,1
Utility-Water Service Line,2011-10-31,127,6
Utility-Gas Main Rupture,2011-11-01,135,3
Utility-Manhole,2011-11-01,179,5
Utility-Water Main,2011-11-02,361,2
Utility-Water Main,2011-11-02,952,2
Utility-Water Main,2011-11-03,1295,2
Utility-Power Outage,2011-11-04,148,4
Utility-Water Main,2011-11-04,2175,2
Utility-Water Main,2011-11-07,505,2
Utility-Water Main,2011-11-09,107,2
Utility-Power Outage,2011-11-10,212,4
Utility-Water Main,2011-11-13,753,2
Utility-Water Main,2011-11-18,550,2
Utility-Water Service Line,2011-11-19,1578,6
Utility-Water Main,2011-11-23,860,2
Utility-Water Service Line,2011-11-26,526,6
Utility-Power Outage,2011-11-27,1026,4
Utility-Water Main,2011-12-01,772,2
Utility-Manhole,2011-12-07,1077,5
Utility-Water Main,2011-12-08,284,2
Utility-Manhole,2011-12-11,110,5
Utility-Water Main,2011-12-12,771,2
Utility-Water Main,2011-12-20,228,2
Utility-Water Main,2011-12-26,1494,2
Utility-Water Service Line,2011-12-28,926,6
Utility-Water Main,2011-12-28,1279,2
Utility-Water Main,2011-12-31,539,2
Utility-Gas Service Line,2012-01-05,63,7
Utility-Water Main,2012-01-06,849,2
Utility-Gas High Pressure,2012-01-11,431,8
Utility-Power Outage,2012-01-13,144,4
Utility-Power Outage,2012-01-13,91,4
Utility-Water Main,2012-01-15,361,2
Utility-Power Outage,2012-01-16,180,4
Utility-Water Main,2012-01-18,97,2
Utility-Power Outage,2012-01-19,60,4
Utility-Water Main,2012-01-24,144,2
Utility-Water Main,2012-01-25,74,2
Utility-Manhole,2012-01-27,603,5
Utility-Water Main,2012-01-31,100,2
Utility-Power Outage,2012-02-04,154,4
Utility-Water Main,2012-02-04,1217,2
Utility-Gas High Pressure,2012-02-06,1215,8
Utility-Water Main,2012-02-12,799,2
Utility-Water Main,2012-02-13,58,2
Utility-Water Main,2012-03-01,2171,2
Utility-Water Service Line,2012-03-07,516,6
Utility-Water Service Line,2012-03-07,2708,6
Utility-Water Main,2012-03-09,2054,2
Utility-Water Main,2012-03-10,1151,2
Utility-Manhole,2012-03-26,680,5
Utility-Water Service Line,2012-03-29,288,6
Utility-Power Outage,2012-04-02,440,4
Utility-Water Main,2012-04-03,792,2
Utility-Water Main,2012-04-04,562,2
Utility-Water Main,2012-04-05,3904,2
Utility-Gas Main Rupture,2012-04-06,120,3
Utility-Gas Main Rupture,2012-04-09,79,3
Utility-Water Main,2012-04-17,3666,2
Utility-Water Main,2012-04-19,445,2
Utility-Water Service Line,2012-04-27,50,6
Utility-Power Outage,2012-05-04,286,4
Utility-Water Main,2012-05-08,1360,2
Utility-Power Outage,2012-05-16,278,4
Utility-Manhole,2012-05-21,35,5
Utility-Water Service Line,2012-05-24,1228,6
Utility-Gas High Pressure,2012-05-25,116,8
Utility-Water Main,2012-05-26,1430,2
Utility-Water Main,2012-05-27,902,2
Utility-Water Main,2012-05-28,527,2
Utility-Water Main,2012-05-31,128,2
Utility-Water Main,2012-06-08,839,2
Utility-Water Main,2012-06-08,124,2
Utility-Gas High Pressure,2012-06-14,111,8
Utility-Water Main,2012-06-17,1037,2
Utility-Manhole,2012-06-21,1753,5
Utility-Power Outage,2012-06-21,1044,4
Utility-Electric Feeder Cable,2012-06-22,2089,1
Utility-Power Outage,2012-06-22,525,4
Utility-Power Outage,2012-06-29,949,4
Utility-Manhole,2012-07-01,610,5
Utility-Power Outage,2012-07-05,115,4
Utility-Power Outage,2012-07-15,580,4
Utility-Water Main,2012-07-16,1651,2
Utility-Water Service Line,2012-07-18,192,6
Utility-Water Main,2012-07-18,500,2
Utility-Gas Service Line,2012-07-24,108,7
Utility-Water Main,2012-07-31,888,2
Utility-Water Main,2012-08-02,78,2
Utility-Water Main,2012-08-02,21,2
Utility-Water Main,2012-08-12,837,2
Utility-Power Outage,2012-08-13,476,4
Utility-Manhole,2012-08-23,374,5
Utility-Power Outage,2012-08-30,1742,4
Utility-Power Outage,2012-09-02,589,4
Utility-Manhole,2012-09-06,10,5
Utility-Gas Main Rupture,2012-09-06,116,3
