,,,RMSE,MAE,Min Max,Std,Peaks50,Peaks90,NoPeaks50,NoPeaks90,,,,
arima,15,5,935,589,6005.13,376.3086,2.2312,0.0764,0.0658,1.1254,Random,20-07-10_14-49,,./Data/MixedPeriods/Fir.csv
arima,15,5,367,187,1221.05,143.2323,2.0972,0.4844,0.4358,0.8882,Random,20-07-10_14-52,,./Data/MixedPeriods/Law.csv
arima,15,5,1308,822,7335.65,558.969,2.3384,0.1127,0.0411,1.084,Random,20-07-10_14-52,,./Data/MixedPeriods/Str.csv
arima,15,5,709,517,2796.03,248.2974,2.0775,0.0113,0.2497,1.1189,Random,20-07-10_14-53,,./Data/MixedPeriods/Uti.csv
arima,15,5,1071,657,5630.35,377.3197,2.218,0.1154,0.045,1.1397,Dist,20-07-10_14-55,,./Data/MixedPeriods/Fir.csv
arima,15,5,338,159,1221.05,116.9533,1.7283,0.375,0.5425,0.8418,Dist,20-07-10_14-58,,./Data/MixedPeriods/Law.csv
arima,15,5,1300,806,3480.39,387.6729,2.0348,0.0094,0.1757,1.1399,Dist,20-07-10_14-58,,./Data/MixedPeriods/Str.csv
arima,15,5,711,530,2572.78,270.6073,2.2172,0.0146,0.2202,1.1101,Dist,20-07-10_14-59,,./Data/MixedPeriods/Uti.csv
arima,10,3,930,585,3339.92,381.4896,1.6651,0.0471,0.1644,1.1236,Random,20-07-10_15-00,,./Data/MixedPeriods/Fir.csv
arima,10,3,349,156,1163.07,138.0837,1.2961,0.2171,0.5691,1.0515,Random,20-07-10_15-03,,./Data/MixedPeriods/Law.csv
arima,10,3,1332,856,6028.27,680.8985,1.627,0.1041,0.1667,1.0657,Random,20-07-10_15-04,,./Data/MixedPeriods/Str.csv
arima,10,3,711,521,2388.26,273.7726,1.5014,0.0055,0.3005,1.1484,Random,20-07-10_15-05,,./Data/MixedPeriods/Uti.csv
arima,10,3,1087,660,4438.77,461.4053,1.6302,0.0965,0.2199,1.0674,Dist,20-07-10_15-07,,./Data/MixedPeriods/Fir.csv
arima,10,3,323,133,1163.07,115.5533,1.182,0.1151,0.5691,0.9956,Dist,20-07-10_15-09,,./Data/MixedPeriods/Law.csv
arima,10,3,1299,818,5050.72,515.7029,1.4393,0.0019,0.2299,1.1493,Dist,20-07-10_15-10,,./Data/MixedPeriods/Str.csv
arima,10,3,688,511,2001.63,265.664,1.5315,0.0027,0.2443,1.1365,Dist,20-07-10_15-11,,./Data/MixedPeriods/Uti.csv
