,,,RMSE,MAE,Min Max,Std,Peaks50,Peaks90,NoPeaks50,NoPeaks90,,,,
linear,15,5,991,634,3665.23,564.9654,1.6259,0.3092,0.6895,1.0054,Random,20-07-10_14-49,,./Data/MixedPeriods/Fir.csv
linear,15,5,429,248,1126.83,223.6242,1.9323,0.4948,0.5269,0.7714,Random,20-07-10_14-49,,./Data/MixedPeriods/Law.csv
linear,15,5,1408,879,4495.79,792.7431,1.7969,0.3568,0.412,0.9978,Random,20-07-10_14-49,,./Data/MixedPeriods/Str.csv
linear,15,5,781,572,2246.54,433.5519,1.6542,0.0469,0.6894,1.0933,Random,20-07-10_14-49,,./Data/MixedPeriods/Uti.csv
linear,15,5,1204,769,4207.64,688.4057,1.6362,0.3801,0.734,0.9822,Dist,20-07-10_14-54,,./Data/MixedPeriods/Fir.csv
linear,15,5,407,226,1126.83,220.6932,1.6927,0.3958,0.6806,0.7549,Dist,20-07-10_14-54,,./Data/MixedPeriods/Law.csv
linear,15,5,1436,900,3636.16,718.6284,1.5067,0.2559,0.6077,1.0254,Dist,20-07-10_14-54,,./Data/MixedPeriods/Str.csv
linear,15,5,778,584,2196.84,444.6178,1.6385,0.0356,0.6222,1.0817,Dist,20-07-10_14-54,,./Data/MixedPeriods/Uti.csv
linear,10,3,1045,667,4270.62,637.4885,1.2424,0.1033,0.5828,1.0385,Random,20-07-10_15-00,,./Data/MixedPeriods/Fir.csv
linear,10,3,402,212,1483.49,236.4445,1.2664,0.1875,0.6612,0.943,Random,20-07-10_15-00,,./Data/MixedPeriods/Law.csv
linear,10,3,1503,970,4601.48,931.5007,1.2218,0.223,0.5793,0.9746,Random,20-07-10_15-00,,./Data/MixedPeriods/Str.csv
linear,10,3,810,592,2415.47,490.9053,1.1566,0.0247,0.6461,1.1023,Random,20-07-10_15-00,,./Data/MixedPeriods/Uti.csv
linear,10,3,1256,786,5242.95,816.4881,1.2725,0.1948,0.578,0.9678,Dist,20-07-10_15-07,,./Data/MixedPeriods/Fir.csv
linear,10,3,381,186,1483.49,229.3236,1.1096,0.1283,0.6064,0.9386,Dist,20-07-10_15-07,,./Data/MixedPeriods/Law.csv
linear,10,3,1504,965,4426.8,882.7803,1.1301,0.1784,0.5502,0.9845,Dist,20-07-10_15-07,,./Data/MixedPeriods/Str.csv
linear,10,3,773,571,2311.45,480.7699,1.0817,0.0301,0.6265,1.0863,Dist,20-07-10_15-07,,./Data/MixedPeriods/Uti.csv
