iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,1076473.9,2408623.8,1037.53,1551.7128
10,1061593.5,2385356.5,1030.34,1544.195
20,1052681.2,2371774.5,1026.0,1539.7966
30,1045752.1,2360800.0,1022.62,1536.2303
40,1038780.7,2349432.8,1019.2,1532.5271
50,1031381.9,2337277.2,1015.57,1528.5567
60,1023590.44,2324298.0,1011.73,1524.3066
70,1014992.06,2309605.8,1007.47,1519.481
80,1006557.06,2295192.0,1003.27,1514.7318
90,998028.2,2280224.2,999.01,1509.784
100,989438.94,2264806.2,994.7,1504.6706
110,980891.4,2249047.0,990.4,1499.4264
120,972155.56,2232433.2,985.98,1493.8773
130,963947.7,2216188.8,981.81,1488.4323
140,956053.2,2199870.2,977.78,1482.9428
150,948588.3,2183602.8,973.95,1477.4494
160,941664.8,2167496.5,970.39,1471.991
170,935401.1,2151662.0,967.16,1466.6053
180,929915.75,2136222.8,964.32,1461.335
190,925338.0,2121305.2,961.94,1456.2249
200,921798.7,2107042.0,960.1,1451.3224
210,919432.6,2093568.8,958.87,1446.6768
220,918374.8,2081022.9,958.32,1442.338
230,918288.56,2076049.5,958.27,1440.6152
240,917583.4,2087723.8,957.91,1444.6716
250,917162.1,2085131.0,957.69,1443.7696
260,915780.6,2083133.9,956.96,1443.0843
270,915432.44,2080005.2,956.78,1442.0045
280,915098.9,2079876.1,956.61,1441.9584
290,914725.6,2084202.2,956.41,1443.4621
300,913815.7,2080668.0,955.94,1442.2397
310,912968.94,2091991.4,955.49,1446.173
320,911930.8,2086454.2,954.95,1444.2627
330,910539.0,2089690.5,954.22,1445.3862
340,909826.06,2087379.9,953.85,1444.5887
350,908842.56,2083397.0,953.33,1443.2218
360,908146.94,2080891.4,952.97,1442.359
370,907533.8,2082415.1,952.64,1442.8884
380,906518.7,2079879.4,952.11,1442.0187
390,905981.75,2085362.2,951.83,1443.9184
400,905012.56,2079986.8,951.32,1442.052
410,904072.6,2080393.0,950.83,1442.1944
420,903461.56,2079252.0,950.5,1441.798
430,905347.94,2083207.9,951.5,1443.155
440,902902.4,2080543.5,950.21,1442.2361
450,902309.2,2071905.5,949.9,1439.2468
460,902730.5,2073124.4,950.12,1439.6644
470,901850.75,2075665.6,949.66,1440.5393
480,902576.06,2072250.5,950.04,1439.3569
490,901790.56,2071765.2,949.62,1439.1961
500,902304.4,2071912.9,949.9,1439.2505
510,901617.0,2078373.0,949.53,1441.4789
520,901621.25,2075194.8,949.53,1440.3763
530,900861.8,2068983.0,949.13,1438.2427
540,900297.25,2071924.5,948.84,1439.2511
550,899993.9,2072506.8,948.68,1439.4545
560,899821.56,2076193.6,948.59,1440.7228
570,900065.56,2072760.0,948.72,1439.5291
580,900360.25,2070387.2,948.87,1438.7054
590,900348.5,2071910.8,948.86,1439.2345
600,899947.4,2070901.9,948.65,1438.8786
610,898602.1,2076986.8,947.94,1441.0058
620,899590.3,2068366.4,948.46,1437.9802
630,903166.7,2056493.8,950.35,1433.88
640,898855.3,2068293.2,948.08,1438.0067
650,899149.4,2070002.8,948.23,1438.5829
660,899104.44,2080360.4,948.21,1442.1682
670,897246.0,2077490.8,947.23,1441.1722
680,899697.25,2082271.9,948.52,1442.805
690,899621.6,2082721.8,948.48,1442.9831
700,897079.2,2085340.8,947.14,1443.8879
710,895814.9,2074096.6,946.47,1439.9802
720,895135.0,2074531.0,946.11,1440.142
730,895010.94,2078268.6,946.05,1441.4178
740,894684.6,2087489.4,945.88,1444.629
750,894130.5,2075529.8,945.58,1440.4698
760,895428.2,2078569.0,946.27,1441.5241
770,897048.8,2070802.5,947.13,1438.8496
780,893766.0,2080304.2,945.39,1442.1314
790,894442.1,2092833.4,945.75,1446.4618
800,893799.3,2079024.6,945.41,1441.6687
810,895550.75,2082263.5,946.33,1442.821
820,893508.56,2084191.6,945.25,1443.4617
830,895621.5,2084175.9,946.37,1443.4849
840,894248.9,2078305.8,945.65,1441.4362
850,892880.44,2078188.8,944.92,1441.3872
860,893808.1,2081824.6,945.41,1442.6583
870,891941.25,2076848.6,944.42,1440.9224
880,893416.3,2078121.5,945.2,1441.3637
890,891725.2,2084155.5,944.31,1443.4709
900,893084.44,2075180.4,945.03,1440.381
910,895083.8,2075965.0,946.09,1440.6306
920,894428.8,2095051.5,945.74,1447.2535
930,898597.75,2101951.5,947.93,1449.6416
940,896791.56,2104432.8,946.99,1450.4858
950,892050.7,2083620.1,944.48,1443.2994
960,894137.94,2081232.4,945.59,1442.4518
970,893965.06,2087191.4,945.49,1444.5137
980,892453.7,2084065.1,944.69,1443.4484
990,891460.8,2092379.4,944.17,1446.3453
