iteration,trainRMSE
0,"[1037.8567054151642, 1035.9130850491847, 1035.908554642778, 1035.902950815115, 1036.2504616271608, 1036.2291118174483, 1039.3323196042327, 1039.1634058867303, 1039.1824710583421, 1039.5726518146685]"
10,"[1032.690290540117, 1029.2487527213527, 1028.5788331696153, 1028.4070792403943, 1028.7096012349184, 1028.701624902618, 1031.7758781770367, 1031.6340020012356, 1031.628896119222, 1031.9773960510686]"
20,"[1027.2426558608763, 1024.4293543726612, 1024.2962922346196, 1024.2737268266635, 1024.5966123575058, 1024.5993565438143, 1027.6618605567146, 1027.5262006730584, 1027.5252000136516, 1027.8642604623326]"
30,"[1023.5968428420839, 1021.0557220608187, 1020.9549745552812, 1020.9386895545368, 1021.2551056171587, 1021.2566894355049, 1024.2985411321902, 1024.168357248845, 1024.167857308754, 1024.4981271469887]"
40,"[1020.0289472774034, 1017.6511937920758, 1017.5713027600367, 1017.5589092398982, 1017.8678983675366, 1017.8681287981104, 1020.8881163687888, 1020.763654942354, 1020.7636727587691, 1021.0847300945611]"
50,"[1016.3260798645323, 1014.0269965436669, 1013.958246739162, 1013.948263137796, 1014.2487662041289, 1014.2474617058124, 1017.2430038747954, 1017.1248817771854, 1017.1254773899003, 1017.4363277555848]"
60,"[1012.2938607233542, 1010.1980275461447, 1010.1533886249069, 1010.1479001826242, 1010.4391756546854, 1010.4361895100145, 1013.4046756027777, 1013.2934901141671, 1013.2947139527088, 1013.5943744865716]"
70,"[1007.8566899929914, 1005.9554017505732, 1005.942579798384, 1005.93104574651, 1006.1961508714978, 1006.2343249699958, 1009.1429116561055, 1009.0386141680798, 1009.0350815369108, 1009.3351960905752]"
80,"[1003.6485437071589, 1001.7744020693789, 1001.7628833023325, 1001.7641463281916, 1002.0330672761677, 1002.0260700757173, 1004.9292820712541, 1004.8345182827197, 1004.8372242904646, 1005.1103326039288]"
90,"[999.3679793204917, 997.5373597333412, 997.5288707888861, 997.5319337875103, 997.788335211701, 997.7791116680442, 1000.6459183578173, 1000.560133962538, 1000.5636473188484, 1000.8222021908281]"
