iteration,trainRMSE
0,"[1047.6217974150802, 1047.612596082261, 1047.9322472612337, 1047.9346332599725, 1051.0824191630388]"
10,"[1040.6020764046066, 1037.37387352221, 1036.6657604903735, 1036.3575443067034, 1039.4531702020847]"
20,"[1029.9146302610195, 1028.9969109296374, 1029.128589059112, 1029.1011904169602, 1032.1317409780042]"
30,"[1024.9864128518402, 1024.2568894246656, 1024.429880783856, 1024.4156209551763, 1027.4185932235048]"
40,"[1020.4332617484921, 1019.881740747934, 1020.0687650867561, 1020.0573800314354, 1023.0292024968228]"
50,"[1015.8089138120121, 1015.3789316379055, 1015.5735534033964, 1015.5640916988247, 1018.501597756042]"
60,"[1010.5460848427364, 1010.3116157542289, 1010.5099364086446, 1010.4821164779597, 1013.3468874617068]"
70,"[1005.8923320824257, 1005.6301988655404, 1005.8291128029796, 1005.8224582904563, 1008.6767053438164]"
80,"[1001.1408883669643, 1001.0225234312524, 1001.2271111250583, 1001.2219333656088, 1004.0318338892528]"
90,"[996.507386384381, 996.4707391939937, 996.6722400116031, 996.6682639471876, 999.4300408522536]"
100,"[992.0282804777116, 992.0324662135364, 992.2254120909104, 992.2215284050434, 994.9313667554934]"
110,"[987.6931327260052, 987.7510467671415, 987.9370294875886, 987.93086272447, 990.5890438032234]"
120,"[983.3772410644007, 983.3834458759409, 983.5574233991389, 983.5479383408829, 986.1444520586301]"
130,"[979.607713675925, 979.6139775388923, 979.7731174653015, 979.7625436390566, 982.2966102136331]"
140,"[976.1400532996914, 976.1586324869736, 976.3124157465242, 976.2994310081743, 978.768618717113]"
150,"[973.0266658007831, 973.0759248166704, 973.2478940386977, 973.234191250998, 975.6286462931532]"
160,"[970.3766757462954, 970.4565106514244, 970.6413151384976, 970.6257626553953, 972.9388340482735]"
170,"[968.244068800738, 968.3366843652196, 968.5356819265367, 968.4658918884973, 970.6698938545944]"
180,"[966.4774306486413, 966.6448977345281, 966.9600367147677, 966.7997108774059, 968.7736514355774]"
190,"[965.5824578296276, 965.8424974265394, 965.8957631178407, 965.7358994991557, 967.7418634065427]"
200,"[965.6490061592134, 965.2354709340692, 965.142159753973, 965.0227740929807, 966.9596520151548]"
210,"[964.5393795909229, 964.1538882557462, 964.3599665152531, 964.3253759260027, 966.0744429611585]"
220,"[963.7510861013607, 963.5365392795611, 963.7135950461249, 963.7853745639275, 965.7266963701952]"
230,"[963.4563284350922, 963.138308367595, 963.0877637776236, 963.2343252074717, 965.0622385481909]"
240,"[962.7102021534693, 961.7992010706522, 961.840026011488, 961.8828966132311, 964.6289416751233]"
250,"[962.5377324256086, 961.7314493574859, 961.5933496357555, 961.1509489190825, 963.5611259519164]"
260,"[962.8690969031417, 961.097572414824, 960.584594825603, 960.9733997665822, 963.495941847686]"
270,"[963.1982787406563, 961.3692588652871, 962.2588475156449, 960.5996372688707, 964.5629762729168]"
280,"[962.9809403882713, 960.536934753286, 961.0470809637504, 960.6669986247018, 963.3716462412324]"
290,"[961.8816917008185, 961.3298560863342, 961.5476787626474, 961.4205899661351, 963.3780963707137]"
300,"[961.5334493209826, 960.3281525434803, 959.7871969717659, 960.2671935528455, 962.6978159633345]"
310,"[965.5870737989532, 964.6725046514796, 964.5768434631547, 965.1906707584756, 966.9460786302527]"
320,"[961.9123752290495, 961.616397479015, 961.5190010697253, 961.8260313461884, 964.060736204471]"
330,"[962.6287790267588, 961.2413552816598, 960.5708765708266, 960.6131898747317, 962.0336296442782]"
340,"[961.5793442086458, 960.41276828346, 960.2819472189046, 959.168795393899, 961.8118482823251]"
350,"[961.4966078119393, 959.86487683472, 959.1880263141068, 959.3227645913821, 961.6316749285053]"
360,"[960.7175327495321, 960.2056939549575, 959.427571091107, 958.8219880305118, 960.7623990053719]"
370,"[960.1976143466944, 958.7196780779798, 958.1522238246356, 957.4694982442577, 959.9193137742169]"
380,"[959.5485656733642, 958.8633371047472, 957.7240223925621, 958.0779521432675, 960.4124534425689]"
390,"[960.012336005145, 958.6980267273408, 957.444880475666, 956.892630998274, 959.879307488268]"
400,"[959.4695959766774, 958.6500095169471, 957.3675201970339, 957.4715439185657, 959.0720976362949]"
410,"[957.87018737779, 957.3431748025204, 956.0363752257639, 955.4628112480385, 958.6894694694037]"
420,"[957.9449511846119, 957.9940544079694, 955.8251563042223, 954.6135669597483, 957.525496609256]"
430,"[957.1247166194023, 956.9968776841382, 955.3169498455715, 954.4467731992655, 957.6355613661725]"
440,"[957.9414240490532, 956.7247650100545, 954.4961482261181, 953.795817859669, 956.8123816946699]"
450,"[956.7663268993145, 956.0410371792201, 953.8290370313316, 953.1701170003561, 956.657045297485]"
460,"[955.7077458461364, 955.4026858163525, 954.0785140555165, 953.037492131551, 956.2054698914262]"
470,"[956.1715225016227, 955.6813819425748, 954.6571688492182, 954.2124645264985, 957.1313380594518]"
480,"[957.0229541366358, 955.6091738176102, 954.5121733803326, 952.5373729027219, 956.0373905160263]"
490,"[956.2969545841532, 955.3379133619246, 953.8958494319232, 952.3170004501925, 954.9276752988325]"
500,"[954.5924323291221, 954.6395200833936, 952.5107700240824, 952.3332752952568, 954.6046450198678]"
510,"[953.6345918137214, 954.1301489093179, 952.2867995096151, 951.0765107538564, 954.460094564954]"
520,"[954.5210216512238, 954.1416179127493, 952.9979827880953, 950.3011503029984, 953.3815321652917]"
530,"[953.7853560040966, 955.2202860910437, 953.1117406556966, 950.4881994140019, 953.5715333872162]"
540,"[952.7523892521656, 952.7472545816206, 951.4312812786228, 949.8425202813628, 952.7967368729163]"
550,"[953.0320649348208, 953.74070215302, 951.9297486916796, 949.4906965874513, 952.3591751802421]"
560,"[952.5840774553874, 953.1377414249758, 951.4775097597798, 948.830028195788, 951.5609342097151]"
570,"[953.4428205138914, 952.8335730356442, 950.6999035124041, 947.6840853143882, 950.7644132867679]"
580,"[950.9588573631393, 951.402995347287, 949.8347974220475, 947.8739652894011, 950.3599867476674]"
590,"[951.1502990028833, 950.5688406156395, 949.091152340235, 947.6216824911579, 950.5802467558323]"
600,"[950.8286796941009, 951.0221111021406, 947.9130677516365, 946.8226124815648, 949.4536412647008]"
610,"[951.6305271445178, 951.2767841661139, 950.1564508903263, 948.4458445633811, 952.9424986716476]"
620,"[950.6304539327398, 948.9360772830208, 948.5692250963024, 945.975824789619, 949.0422143911279]"
630,"[949.9941334100132, 948.0372400074955, 946.0445168276052, 944.6109984027555, 947.2428274027386]"
640,"[951.6684122707558, 949.4472164328822, 947.9270705626695, 945.2919197776301, 951.5484711295934]"
650,"[949.9386842763784, 948.3861469184681, 947.5036629920276, 945.8755327987759, 949.2206351976065]"
660,"[950.625182200375, 949.1988288059, 946.8911152603921, 949.4794693822939, 950.0304641051473]"
670,"[948.7602641606622, 946.6330652387469, 944.5824353528984, 942.6986333517663, 946.2505286991736]"
680,"[948.5912764485349, 945.4296324208301, 943.4054208305303, 942.1024507113244, 944.6953534252391]"
690,"[948.1734299946838, 945.8124424596206, 944.5356297377155, 942.113138877186, 945.5124141794755]"
700,"[947.6988011255885, 945.3918221687992, 943.6264321242668, 941.6741687207235, 945.4257331990813]"
710,"[947.7140985701494, 944.6150421900268, 942.5059890903499, 942.2758790479547, 947.188121542581]"
720,"[946.9946243634816, 943.9960720645805, 942.3031807167639, 940.3320025779825, 943.7764715414565]"
730,"[947.2097968326638, 944.8280186270592, 941.246137061869, 942.4334836283214, 948.950084292056]"
740,"[949.460675517608, 948.1804475215209, 946.4156916150413, 946.4889121823265, 949.4157961957691]"
750,"[949.5076987708454, 942.9996508962125, 940.0306369246244, 941.0539341344853, 945.7309844533005]"
760,"[946.615743131094, 942.5206417739267, 941.1635839350326, 939.6245214888636, 941.8737396565044]"
770,"[948.31476035247, 944.6005210505564, 942.6517937042833, 945.2922096915099, 950.4567434263629]"
780,"[947.688986927548, 945.2027852158768, 942.1614518049142, 940.5535359371414, 944.7033792702754]"
790,"[947.3149903476733, 943.2497691068454, 941.1406516164823, 940.5341707272725, 944.1173771750301]"
800,"[945.6820525910855, 943.0199642217128, 940.7174719408024, 940.2869539509743, 945.0692592647134]"
810,"[945.1136266597284, 942.3668793949223, 938.7324311465208, 938.8326495755107, 944.2658167817189]"
820,"[944.8711076420448, 943.7803116344879, 941.5154438530976, 937.8645822960497, 941.0505550690619]"
830,"[944.6964189536656, 942.3685836080906, 940.3220391557041, 938.7063352106048, 941.5991228480207]"
840,"[943.9672023670747, 940.9867633695003, 938.3778165458378, 937.9986143237869, 941.519684598805]"
