iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,1109580.4,2468120.5,1053.37,1571.0253
10,1094814.6,2445197.5,1046.33,1563.7125
20,1084508.1,2429206.0,1041.4,1558.5909
30,1074993.8,2413857.0,1036.82,1553.659
40,1064300.0,2396455.5,1031.65,1548.0489
50,1052039.8,2376109.2,1025.69,1541.4632
60,1039549.8,2354979.5,1019.58,1534.5941
70,1026642.2,2332604.0,1013.23,1527.2863
80,1013598.06,2309257.5,1006.78,1519.6238
90,1000675.8,2285184.8,1000.34,1511.6823
100,988140.56,2260610.0,994.05,1503.5323
110,976398.56,2235993.5,988.13,1495.3234
120,965813.4,2211742.0,982.76,1487.1923
130,956734.9,2188175.5,978.13,1479.2479
140,949548.0,2165910.8,974.45,1471.7028
150,944686.5,2144968.0,971.95,1464.5704
160,942522.75,2125937.8,970.84,1458.0589
170,942375.0,2120689.8,970.76,1456.258
180,941952.5,2129440.0,970.54,1459.2593
190,941606.56,2134458.0,970.36,1460.9778
200,939832.9,2125717.2,969.45,1457.9832
210,939031.2,2122826.5,969.04,1456.9916
220,937874.5,2120103.2,968.44,1456.0567
230,935658.4,2122292.8,967.29,1456.8082
240,934968.44,2119396.0,966.94,1455.8137
250,934129.0,2119098.2,966.5,1455.7116
260,933333.06,2117986.0,966.09,1455.3295
270,932829.7,2119440.0,965.83,1455.8289
280,932487.9,2117925.8,965.65,1455.3088
290,931399.1,2118063.0,965.09,1455.3559
300,929947.9,2119823.5,964.34,1455.9601
310,929647.1,2117925.2,964.18,1455.3082
320,928764.2,2118850.2,963.72,1455.6262
330,928549.4,2118273.8,963.61,1455.4272
340,928450.2,2118583.0,963.56,1455.5342
350,927089.75,2117457.8,962.85,1455.1468
360,926137.4,2120419.5,962.36,1456.1638
370,924918.4,2122774.0,961.73,1456.9715
380,923900.06,2123684.8,961.2,1457.2837
390,922799.56,2122079.5,960.62,1456.7331
400,921477.4,2126412.0,959.93,1458.2178
410,919665.9,2128523.0,958.99,1458.9418
420,917615.9,2132501.2,957.92,1460.3042
430,916779.0,2129571.0,957.48,1459.2994
440,923977.7,2131019.5,961.23,1459.7953
450,915926.4,2131157.5,957.04,1459.8451
460,914915.0,2135823.0,956.51,1461.4376
470,916355.06,2137473.8,957.26,1462.0015
480,914987.6,2134254.2,956.55,1460.9009
490,914784.4,2122504.2,956.44,1456.8749
500,913336.56,2135152.5,955.68,1461.2089
510,910801.94,2129219.5,954.36,1459.1739
520,910735.1,2121624.2,954.32,1456.5716
530,909137.7,2131510.2,953.49,1459.9582
540,908646.44,2131047.2,953.23,1459.8013
550,907564.56,2127989.8,952.66,1458.7517
560,915451.4,2136093.0,956.79,1461.5297
570,911570.7,2121983.2,954.76,1456.6953
580,911490.2,2126126.2,954.72,1458.1135
590,907699.0,2126217.2,952.73,1458.1445
600,905681.0,2133830.2,951.67,1460.7521
610,904867.2,2130801.5,951.24,1459.7173
620,903282.94,2132128.5,950.41,1460.1721
630,904846.56,2136357.5,951.23,1461.6193
640,901708.3,2133631.8,949.58,1460.6826
650,902613.9,2135770.8,950.06,1461.4144
660,901531.06,2137400.2,949.49,1461.9715
670,901449.56,2142822.0,949.44,1463.8278
680,898268.5,2143692.5,947.77,1464.1271
690,902099.3,2126775.2,949.79,1458.3296
700,900811.4,2132709.0,949.11,1460.3592
710,898296.3,2135849.5,947.78,1461.4399
720,892012.5,2127582.5,944.46,1458.6016
730,912319.1,2138251.8,955.15,1462.2615
740,896213.94,2124534.0,946.68,1457.5581
750,889956.56,2123859.0,943.37,1457.3188
760,891206.3,2123054.2,944.03,1457.0419
770,888100.0,2131556.8,942.39,1459.951
780,885691.25,2133280.2,941.11,1460.5328
790,888590.7,2117348.5,942.65,1455.0902
800,891735.2,2142590.5,944.31,1463.7404
810,886501.56,2134567.5,941.54,1461.0006
820,884764.6,2138537.5,940.61,1462.3417
830,883945.44,2122366.5,940.18,1456.788
840,881734.75,2134567.0,939.0,1460.9823
850,882397.3,2134852.0,939.36,1461.0715
860,878412.56,2107327.8,937.23,1451.6493
870,877230.1,2146270.0,936.6,1464.9812
880,874619.75,2131053.8,935.21,1459.7694
890,874641.25,2141476.5,935.22,1463.3418
900,874409.9,2117250.8,935.09,1455.0231
910,872900.25,2131416.5,934.29,1459.8902
920,873148.25,2149811.0,934.42,1466.2021
930,873575.06,2139186.5,934.65,1462.5816
940,871838.25,2130589.5,933.72,1459.6153
950,868174.94,2130705.5,931.75,1459.6396
960,868041.2,2157944.2,931.68,1468.9745
970,869263.3,2137335.8,932.34,1461.9194
980,888219.5,2107783.5,942.45,1451.7922
990,866839.3,2130238.0,931.04,1459.4415
