iteration,trainRMSE
0,"[2704.9359673430954, 2704.9336257013592, 2705.084165027425, 2705.0815112151927, 2705.052271174051, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
10,"[2704.9359673430954, 2704.9336257013592, 2705.084165027425, 2705.0815112151927, 2705.052271174051, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
20,"[2704.9359673430954, 2704.9336257013592, 2705.084165027425, 2705.0815112151927, 2705.052271174051, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
30,"[2704.9359673430954, 2704.9336257013592, 2705.084165027425, 2705.0815112151927, 2705.052271174051, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
40,"[2704.724444512247, 2704.690286991121, 2704.809492427223, 2704.7944697780026, 2704.7607957203745, 2704.767535838318, 2704.766408215168, 2710.6748836843194, 2710.69305196548, 2710.686933314409]"
50,"[2703.51249692275, 2703.3629774260007, 2703.467075733625, 2703.455576697477, 2703.424691318196, 2703.4326663012457, 2703.4325220521814, 2709.329806995899, 2709.3477936001846, 2709.3421339169267]"
60,"[2701.66219287666, 2701.5245370971725, 2701.647328432374, 2701.642072374466, 2701.6133776484894, 2701.621348878206, 2701.6214068902277, 2707.502462179618, 2707.5196144445986, 2707.514218029538]"
70,"[2699.4017551613247, 2699.2189373250712, 2699.3307022354034, 2699.3250031274065, 2699.297112184038, 2699.3045039759836, 2699.3046485357604, 2705.1645094805963, 2705.1805113875357, 2705.175437359007]"
80,"[2696.710074203408, 2696.4930643944094, 2696.5947896309, 2696.5892700893182, 2696.562068604107, 2696.568519639568, 2696.568564499949, 2702.4028937708895, 2702.4175267649885, 2702.4128108887844]"
90,"[2693.5301486275434, 2693.401350508336, 2693.5099724859915, 2693.5066934195215, 2693.4806954500805, 2693.486215113475, 2693.4862451479326, 2699.291164812146, 2699.304216530571, 2699.2999244319576]"
100,"[2690.107859727177, 2690.0243740116734, 2690.136139751804, 2690.134443986391, 2690.1096699189666, 2690.1141310612547, 2690.114145547048, 2695.8860543169308, 2695.8973382553886, 2695.8935199362613]"
110,"[2686.4381416455567, 2686.4039552163076, 2686.516343899812, 2686.5162625084668, 2686.492804753774, 2686.496100320994, 2686.4960938468816, 2692.2315467541366, 2692.2408872179885, 2692.2375897893885]"
120,"[2682.601107209678, 2682.5800416504853, 2682.686836653363, 2682.687720894716, 2682.6656026721826, 2682.667616214057, 2682.6675869404744, 2688.363211161929, 2688.370438629373, 2688.36770755442]"
