iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,7326816.0,10927944.0,2706.81,3305.5965
10,7309296.5,10897121.0,2703.57,3300.9299
20,7292685.0,10868443.0,2700.5,3296.5816
30,7274394.5,10836783.0,2697.11,3291.7752
40,7253142.0,10799584.0,2693.16,3286.1198
50,7228248.0,10755458.0,2688.54,3279.4002
60,7200550.5,10705974.0,2683.38,3271.8493
70,7169975.5,10649815.0,2677.68,3263.2581
80,7139276.0,10592298.0,2671.94,3254.4359
90,7107326.0,10530886.0,2665.96,3244.9889
100,7075209.0,10467798.0,2659.93,3235.2546
110,7042859.5,10402268.0,2653.84,3225.1134
120,7010889.0,10334996.0,2647.81,3214.669
130,6979775.0,10266472.0,2641.93,3203.9944
140,6950020.5,10197100.0,2636.29,3193.1528
150,6922208.0,10127512.0,2631.01,3182.2392
160,6896922.0,10058383.0,2626.2,3171.3609
170,6874902.5,9990689.0,2622.0,3160.673
180,6857544.0,9928348.0,2618.69,3150.7982
190,6845232.0,9877843.0,2616.34,3142.7807
200,6834662.5,9830251.0,2614.32,3135.194
210,6828516.5,9824874.0,2613.14,3134.338
220,6821912.0,9803295.0,2611.88,3130.8954
230,6816290.0,9786786.0,2610.8,3128.2602
240,6809549.5,9810275.0,2609.51,3132.0118
250,6797813.0,9794734.0,2607.26,3129.5256
260,6783695.0,9797966.0,2604.55,3130.0391
270,6771666.0,9782666.0,2602.24,3127.5947
280,6764555.0,9764889.0,2600.87,3124.7617
290,6761261.0,9751608.0,2600.24,3122.6417
300,6745639.5,9745405.0,2597.23,3121.6449
310,6743377.0,9737097.0,2596.8,3120.3168
320,6734304.0,9770223.0,2595.05,3125.6016
330,6726277.0,9706907.0,2593.5,3115.473
340,6720844.0,9753289.0,2592.46,3122.8834
350,6716220.0,9722542.0,2591.56,3117.9632
360,6709561.0,9712317.0,2590.28,3116.3206
370,6703321.0,9715370.0,2589.07,3116.8081
380,6717678.5,9705316.0,2591.84,3115.194
390,6715100.5,9708142.0,2591.35,3115.6441
400,6698678.5,9687182.0,2588.18,3112.2799
410,6693206.0,9693384.0,2587.12,3113.2801
420,6685438.0,9689770.0,2585.62,3112.6994
430,6707531.0,9687779.0,2589.88,3112.3795
440,6686321.0,9678379.0,2585.79,3110.8538
450,6686171.5,9651619.0,2585.76,3106.559
460,6687845.0,9666549.0,2586.08,3108.971
470,6682981.0,9667179.0,2585.14,3109.0643
480,6685874.5,9681129.0,2585.7,3111.2916
490,6673017.0,9680189.0,2583.21,3111.1428
500,6673799.0,9700178.0,2583.36,3114.3466
510,6676916.5,9681535.0,2583.97,3111.3596
520,6671529.5,9681784.0,2582.93,3111.3933
530,6663105.0,9713666.0,2581.29,3116.5269
540,6665865.0,9716228.0,2581.83,3116.9082
550,6652264.0,9687832.0,2579.19,3112.3811
560,6661506.0,9667174.0,2580.98,3109.0748
570,6712529.5,9639194.0,2590.84,3104.5526
580,6628390.5,9674822.0,2574.56,3110.3014
590,6627585.0,9690461.0,2574.4,3112.7721
600,6616439.5,9638594.0,2572.24,3104.4893
610,6608569.0,9626336.0,2570.71,3102.4897
620,6595448.0,9696730.0,2568.15,3113.7994
630,6598113.0,9679647.0,2568.67,3111.0801
640,6587806.5,9735635.0,2566.67,3120.0808
650,6592508.0,9670979.0,2567.58,3109.7282
660,6583438.0,9718393.0,2565.81,3117.3236
670,6619171.0,9604000.0,2572.76,3098.9027
680,6581342.0,9648944.0,2565.4,3106.129
690,6584348.0,9642259.0,2565.99,3105.0413
700,6649557.5,9862045.0,2578.65,3140.2558
710,6600127.0,9609222.0,2569.07,3099.7866
720,6567825.5,9635062.0,2562.77,3103.911
730,6557477.5,9670161.0,2560.75,3109.5347
740,6571091.5,9588731.0,2563.4,3096.438
750,6562373.5,9607634.0,2561.7,3099.4808
760,6713366.5,9760681.0,2590.98,3124.0807
770,6591704.5,9605133.0,2567.41,3099.1031
780,6552111.5,9632285.0,2559.7,3103.4456
790,6547643.5,9568990.0,2558.82,3093.2785
800,6550822.0,9560057.0,2559.45,3091.8267
810,6543627.5,9614985.0,2558.03,3100.701
820,6537268.5,9588430.0,2556.79,3096.3903
830,6556041.0,9703773.0,2560.45,3114.8643
840,6549805.5,9713877.0,2559.24,3116.5511
850,6598521.5,9596626.0,2568.74,3097.705
860,6624361.5,9568530.0,2573.77,3093.1603
870,6541582.0,9782762.0,2557.63,3127.6269
880,6545958.0,9560457.0,2558.49,3091.7874
890,6544668.5,9608713.0,2558.24,3099.6415
900,6548232.5,9715248.0,2558.93,3116.7483
910,6541675.0,9588419.0,2557.64,3096.3484
920,6514850.5,9545888.0,2552.39,3089.4838
930,6558242.0,9585034.0,2560.89,3095.8692
940,6536467.5,9744898.0,2556.63,3121.5828
950,6501249.0,9706113.0,2549.73,3115.3382
960,6503805.0,9768911.0,2550.23,3125.4382
970,6599363.5,9842571.0,2568.91,3137.1608
980,6523954.5,9568181.0,2554.18,3093.0958
990,6515895.5,9569242.0,2552.58,3093.3016
1000,6501636.0,9620586.0,2549.8,3101.5272
1010,6496248.5,9669797.0,2548.74,3109.4448
1020,6497922.5,9576495.0,2549.08,3094.4264
1030,6504514.5,9876552.0,2550.37,3142.5609
1040,6525763.0,9513915.0,2554.53,3084.3061
1050,6498158.0,9773227.0,2549.12,3126.0775
1060,6509761.0,9633010.0,2551.39,3103.5328
1070,6492111.0,9669329.0,2547.92,3109.3952
1080,6572188.0,9684299.0,2563.58,3111.8447
1090,6477137.5,9587274.0,2544.99,3096.127
1100,6458071.5,9612343.0,2541.25,3100.2598
1110,6447823.0,9628467.0,2539.22,3102.8492
1120,6452366.5,9559519.0,2540.12,3091.7203
1130,6433224.5,9530028.0,2536.34,3086.8971
1140,6423758.0,9553474.0,2534.47,3090.6497
1150,6426325.5,9545133.0,2534.98,3089.3508
1160,6428851.0,9573008.0,2535.48,3093.8152
1170,6449449.5,9504109.0,2539.55,3082.6934
1180,6419302.5,9602198.0,2533.59,3098.5482
1190,6432350.0,9548913.0,2536.17,3089.9851
1200,6429912.5,9623623.0,2535.69,3102.0666
1210,6423751.5,9654651.0,2534.48,3107.0881
1220,6416425.5,9695598.0,2533.02,3113.491
1230,6413618.5,9541005.0,2532.47,3088.6412
1240,6409901.5,9637674.0,2531.74,3104.3032
1250,6409420.0,9647935.0,2531.64,3105.9609
1260,6399064.5,9624517.0,2529.59,3102.1754
1270,6445435.0,9547212.0,2538.76,3089.6393
1280,6402898.5,9536102.0,2530.35,3087.8416
1290,6391858.5,9564504.0,2528.17,3092.5383
1300,6400102.5,9570588.0,2529.8,3093.5128
1310,6381071.5,9528323.0,2526.04,3086.6949
1320,6394864.0,9605659.0,2528.77,3099.1906
1330,6400092.0,9570228.0,2529.8,3093.4859
1340,6395617.0,9630105.0,2528.91,3103.0106
1350,6368083.0,9538689.0,2523.45,3088.378
1360,6350760.5,9652342.0,2520.01,3106.445
1370,6367478.5,9480375.0,2523.33,3078.8558
1380,6368231.0,9515650.0,2523.49,3084.6383
1390,6344231.0,9559309.0,2518.72,3091.657
1400,6343219.0,9534074.0,2518.52,3087.5548
1410,6377261.0,9508006.0,2525.3,3083.4086
1420,6375765.5,9725361.0,2524.98,3118.4917
1430,6345088.5,9654508.0,2518.9,3107.0698
1440,6355565.5,9552570.0,2520.98,3090.6152
1450,6307771.0,9593211.0,2511.46,3096.9898
1460,6321689.5,9620365.0,2514.25,3101.5275
1470,6305023.5,9547495.0,2510.93,3089.8243
1480,6304998.5,9623916.0,2510.91,3102.0884
1490,6301373.0,9592455.0,2510.2,3097.1101
1500,6291964.0,9501187.0,2508.31,3082.2208
1510,6294220.0,9679695.0,2508.77,3111.1265
1520,6347575.0,9690965.0,2519.32,3112.8512
1530,6305132.5,9656414.0,2510.94,3107.2776
1540,6389702.5,9702799.0,2527.73,3114.6812
1550,6315810.0,9600200.0,2513.06,3098.2425
1560,6287225.5,9795333.0,2507.36,3129.5732
1570,6324172.0,9621358.0,2514.72,3101.5942
1580,6277031.0,9531283.0,2505.32,3087.0755
1590,6258024.0,9675256.0,2501.54,3110.307
1600,6259443.0,9537983.0,2501.83,3088.0718
1610,6244304.5,9681100.0,2498.78,3111.0642
1620,6253928.0,9705610.0,2500.71,3115.0943
1630,6245713.0,9613753.0,2499.05,3100.5211
1640,6254114.5,9749040.0,2500.75,3122.2262
1650,6227409.0,9646924.0,2495.41,3105.8604
1660,6222548.5,9763134.0,2494.44,3124.462
1670,6196792.5,9809388.0,2489.25,3131.8267
1680,6194487.5,9783659.0,2488.81,3127.7096
1690,6174120.5,9756973.0,2484.69,3123.4024
1700,6184504.5,9488007.0,2486.79,3079.9816
1710,6173342.5,9670056.0,2484.53,3109.4526
1720,6171983.5,9762117.0,2484.25,3124.2984
1730,6192346.0,9565770.0,2488.37,3092.6281
1740,6247112.5,9825834.0,2499.34,3134.4737
1750,6192408.5,9698455.0,2488.38,3114.0064
1760,6181928.5,9735674.0,2486.23,3119.8669
1770,6153756.0,9631671.0,2480.57,3103.3594
1780,6305105.5,9759427.0,2510.92,3123.8232
1790,6177382.0,9596218.0,2485.35,3097.6867
1800,6144396.5,9783602.0,2478.69,3127.6932
1810,6160718.0,9718887.0,2481.98,3117.3397
1820,6127572.5,9790462.0,2475.27,3128.8696
1830,6108592.5,9770375.0,2471.44,3125.6323
1840,6108678.0,9778720.0,2471.45,3126.8293
1850,6089099.0,9817725.0,2467.48,3133.2359
1860,6085306.5,9764668.0,2466.7,3124.7086
1870,6128137.5,9661689.0,2475.38,3108.1932
1880,6086689.0,9764964.0,2466.99,3124.7566
1890,6118342.0,9584486.0,2473.36,3095.6604
1900,6089407.5,9611831.0,2467.53,3100.0289
1910,6222144.0,9921276.0,2494.29,3149.6312
1920,6053024.5,9836111.0,2460.14,3136.0252
1930,6072683.0,9771129.0,2464.15,3125.6555
1940,6036307.5,9745640.0,2456.73,3121.5086
1950,6054966.0,9761178.0,2460.55,3124.1484
1960,6016262.0,9796158.0,2452.64,3129.6763
1970,6134890.0,9750829.0,2476.77,3122.4738
1980,6106957.0,9610557.0,2471.14,3099.9785
1990,6054615.0,9729101.0,2460.46,3118.9752
2000,6128358.0,9804321.0,2475.43,3131.0431
2010,6013167.0,9702168.0,2452.02,3114.708
2020,6012192.0,9733581.0,2451.8,3119.7143
2030,5993264.5,9729075.0,2447.94,3118.953
2040,5991880.0,9702427.0,2447.66,3114.6096
2050,6122393.5,9793247.0,2474.15,3129.0615
2060,6046556.5,9615103.0,2458.85,3100.5758
2070,6042824.5,9815516.0,2458.04,3132.8476
2080,6016004.5,9619416.0,2452.61,3101.4711
2090,5970610.5,9716379.0,2443.3,3117.0113
2100,6005530.5,9618600.0,2450.47,3101.1372
2110,5962733.0,9837160.0,2441.68,3136.0903
2120,5982549.5,9534677.0,2445.74,3087.5706
2130,5931701.5,9757263.0,2435.31,3123.4815
2140,5955588.0,9632476.0,2440.23,3103.4087
2150,5984308.0,9736108.0,2446.09,3120.1824
2160,5996151.0,9693446.0,2448.55,3113.145
2170,5955427.0,9765763.0,2440.18,3124.6775
2180,5913242.5,9792897.0,2431.49,3129.0894
2190,5934643.0,9811014.0,2435.92,3132.0658
2200,5918962.0,9773331.0,2432.68,3125.9955
2210,5919930.5,9698951.0,2432.86,3113.9457
2220,5944555.0,9839322.0,2437.9,3136.6301
2230,5902333.5,9769646.0,2429.24,3125.2275
2240,5889169.5,9660171.0,2426.52,3107.6988
2250,5996802.0,9956535.0,2448.65,3155.2025
2260,6031339.5,9936990.0,2455.68,3152.1538
2270,5920460.0,9628022.0,2433.01,3102.4733
2280,5955502.5,9890188.0,2440.19,3144.7004
2290,5878376.0,9710454.0,2424.32,3116.0488
2300,5872175.0,9758877.0,2423.03,3123.638
2310,5856517.0,9784034.0,2419.79,3127.8184
2320,5898720.0,9824102.0,2428.53,3133.9149
2330,5924844.0,9908136.0,2433.91,3147.3139
2340,5874897.5,9906664.0,2423.55,3147.1271
2350,5890887.0,9880629.0,2426.88,3143.0538
2360,6062076.0,9810467.0,2461.92,3131.9
