iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,7706858.5,11040264.0,2776.12,3322.6702
10,7698943.5,11027255.0,2774.7,3320.7114
20,7691067.5,11014749.0,2773.28,3318.828
30,7682238.5,11000246.0,2771.69,3316.6425
40,7672149.5,10983698.0,2769.86,3314.1464
50,7660691.5,10964785.0,2767.8,3311.2922
60,7647724.0,10943412.0,2765.45,3308.064
70,7633466.5,10919808.0,2762.87,3304.494
80,7617846.5,10893828.0,2760.04,3300.5615
90,7601020.5,10865676.0,2757.0,3296.2931
100,7583165.5,10835609.0,2753.75,3291.7294
110,7564324.5,10803641.0,2750.33,3286.8703
120,7544584.5,10769867.0,2746.74,3281.7282
130,7524019.0,10734318.0,2742.99,3276.3075
140,7502781.0,10697226.0,2739.12,3270.6422
150,7480954.5,10658644.0,2735.13,3264.739
160,7458655.5,10618693.0,2731.05,3258.6145
170,7435996.0,10577494.0,2726.9,3252.2866
180,7413110.0,10535171.0,2722.7,3245.7738
190,7390118.5,10491860.0,2718.48,3239.0955
200,7367158.0,10447702.0,2714.25,3232.2718
210,7344367.5,10402840.0,2710.05,3225.3241
220,7321905.0,10357410.0,2705.9,3218.2743
230,7299900.5,10311578.0,2701.83,3211.1455
240,7278515.5,10265491.0,2697.87,3203.9618
250,7257911.0,10219318.0,2694.05,3196.7481
260,7238253.5,10173222.0,2690.4,3189.5306
270,7219706.5,10127380.0,2686.95,3182.3363
280,7202452.5,10081968.0,2683.74,3175.1932
290,7186669.5,10037337.0,2680.8,3168.1578
300,7172334.5,9993314.0,2678.12,3161.2032
310,7159904.5,9950375.0,2675.8,3154.4042
320,7149520.0,9908587.0,2673.86,3147.7741
330,7141332.5,9868111.0,2672.33,3141.3387
340,7135109.0,9829871.0,2671.16,3135.2465
350,7131300.5,9795841.0,2670.45,3129.8152
360,7125900.0,9775376.0,2669.44,3126.5419
370,7120439.5,9841012.0,2668.41,3137.013
380,7127642.0,9866929.0,2669.76,3141.1414
390,7119022.5,9851576.0,2668.15,3138.6959
400,7118631.5,9836089.0,2668.08,3136.2292
410,7101103.5,9827766.0,2664.79,3134.9028
420,7095202.0,9816433.0,2663.68,3133.0955
430,7086341.0,9805834.0,2662.02,3131.4055
440,7080149.0,9825250.0,2660.85,3134.4949
450,7106415.5,9857710.0,2665.78,3139.6706
460,7081928.0,9851841.0,2661.19,3138.7367
470,7094021.0,9867573.0,2663.46,3141.2468
480,7084035.5,9858841.0,2661.58,3139.8611
490,7078093.5,9837334.0,2660.47,3136.4347
500,7077150.0,9810799.0,2660.29,3132.1997
510,7079697.0,9853826.0,2660.77,3139.0593
520,7065955.0,9853428.0,2658.19,3138.9991
530,7074835.5,9857275.0,2659.85,3139.6112
540,7058300.5,9834180.0,2656.74,3135.933
550,7057222.0,9844504.0,2656.54,3137.5777
560,7060616.5,9805165.0,2657.18,3131.2982
570,7046140.5,9815631.0,2654.46,3132.974
580,7041519.5,9836912.0,2653.58,3136.3694
590,7045425.0,9830880.0,2654.32,3135.4071
600,7036684.5,9763474.0,2652.67,3124.6297
610,7028263.0,9826900.0,2651.09,3134.7731
620,7035043.5,9777368.0,2652.36,3126.8512
630,7026643.0,9796751.0,2650.78,3129.9497
640,7024365.0,9828027.0,2650.35,3134.952
650,7025288.5,9809819.0,2650.52,3132.0486
660,7017256.5,9786296.0,2649.01,3128.2888
670,7014180.5,9756842.0,2648.43,3123.5717
680,7022804.0,9799434.0,2650.06,3130.3911
690,7025249.5,9756954.0,2650.51,3123.5851
700,7022822.0,9799747.0,2650.06,3130.4356
710,7018009.0,9812615.0,2649.15,3132.4945
720,7007966.5,9805643.0,2647.25,3131.3807
730,7006743.0,9756501.0,2647.02,3123.5112
740,6997569.0,9768562.0,2645.29,3125.4495
750,7017457.5,9730838.0,2649.05,3119.4033
760,7003877.0,9773068.0,2646.48,3126.1724
770,6992126.0,9760196.0,2644.26,3124.1069
780,6999056.0,9753685.0,2645.57,3123.0541
790,6997124.5,9785020.0,2645.2,3128.0882
800,6990534.5,9786063.0,2643.96,3128.2528
810,6997354.5,9786260.0,2645.25,3128.2809
820,6980435.0,9793456.0,2642.05,3129.4339
830,6978115.0,9788553.0,2641.61,3128.649
840,6979094.0,9780308.0,2641.79,3127.3327
850,6976955.5,9759541.0,2641.39,3124.0125
860,6974981.0,9782981.0,2641.01,3127.7569
870,6975188.5,9782083.0,2641.05,3127.6141
880,6970683.0,9754362.0,2640.2,3123.1826
890,6967504.0,9755229.0,2639.6,3123.3201
900,6967747.0,9777269.0,2639.65,3126.8495
910,6956113.0,9758405.0,2637.44,3123.8283
920,6960976.5,9780847.0,2638.36,3127.4193
930,6979388.0,9777807.0,2641.85,3126.9354
940,6963675.5,9741960.0,2638.88,3121.1957
950,6947450.5,9767212.0,2635.8,3125.2412
960,6957904.0,9746722.0,2637.78,3121.9565
970,6940349.0,9733435.0,2634.45,3119.8294
980,6966624.0,9757609.0,2639.43,3123.7019
990,6938112.0,9745670.0,2634.03,3121.7918
