iteration,trainRMSE
0,"[2776.141289553915, 2775.2993486018054, 2775.308205498913, 2775.4608743780245, 2775.4631862468564, 2776.698386252589, 2776.639407876026, 2776.639666535502, 2776.78838267551, 2776.7887207590566]"
10,"[2775.2018327824576, 2774.0320458763317, 2773.870010417537, 2773.9696983287454, 2773.9550503896735, 2775.182060794899, 2775.1203437122385, 2775.118217274661, 2775.2606508340573, 2775.2579754280496]"
20,"[2773.5887014413006, 2772.5066546586645, 2772.4489524778, 2772.5799614706298, 2772.578159322067, 2773.804656166281, 2773.7474866884672, 2773.7470567332743, 2773.888510640337, 2773.8866343095356]"
30,"[2772.0541747385373, 2770.9177601609344, 2770.8596233288145, 2770.9878563122743, 2770.983076719094, 2772.200348187635, 2772.1434516061167, 2772.142682557472, 2772.281577180814, 2772.279837130323]"
40,"[2770.315776872202, 2769.105402677802, 2769.0358499933227, 2769.160034799992, 2769.1554082431453, 2770.3648405598806, 2770.3096666625447, 2770.3091048222495, 2770.4453400574425, 2770.4439001525925]"
50,"[2768.356818368365, 2767.043720363969, 2766.9619536544437, 2767.0815017523005, 2767.0769656385382, 2768.2772888480395, 2768.2239961821783, 2768.2235970814017, 2768.3567104599792, 2768.3555724841913]"
60,"[2766.0391970362252, 2764.71116631101, 2764.6239718516645, 2764.7391944031097, 2764.7348498897063, 2765.9247792371725, 2765.8736365999093, 2765.873422717726, 2766.002972961097, 2766.0021814773468]"
70,"[2763.579707938816, 2762.144228177171, 2762.0406682903913, 2762.1497504846934, 2762.145474586556, 2763.3237158398615, 2763.2749783335657, 2763.2749744814187, 2763.4005251008934, 2763.4001208911764]"
80,"[2760.75220466529, 2759.325748686339, 2759.221187520741, 2759.326377262038, 2759.3225280569372, 2760.487858904713, 2760.4417940141975, 2760.4420184924647, 2760.563139738844, 2760.563165042281]"
90,"[2757.6809096587504, 2756.286368848958, 2756.1851603154346, 2756.285949174927, 2756.2825636444713, 2757.4337098011515, 2757.390577643942, 2757.3910570078215, 2757.507318991145, 2757.507814924601]"
100,"[2754.502697155259, 2753.0594747835426, 2752.9500772545757, 2753.0444041929286, 2753.0413221654417, 2754.17698478995, 2754.137037743791, 2754.137792090952, 2754.248766124421, 2754.249773865102]"
110,"[2751.1685242500885, 2749.650920942473, 2749.530537035373, 2749.617648568026, 2749.6148226203964, 2750.7337255380085, 2750.6972212086316, 2750.6982697072317, 2750.8035292163713, 2750.805089900292]"
120,"[2747.6694984782857, 2746.076442040442, 2745.9428361643913, 2746.0224751620417, 2746.019918701462, 2747.120780284296, 2747.08797210525, 2747.0893426125754, 2747.188456595616, 2747.190611354444]"
130,"[2743.985252397082, 2742.3488272106183, 2742.205066236775, 2742.2767024750033, 2742.2744913955366, 2743.3560372233133, 2743.327182365038, 2743.3288911525515, 2743.4214319363396, 2743.4242219093585]"
140,"[2740.2100470218893, 2738.4939576920137, 2738.3360014850196, 2738.3988992259615, 2738.397014657914, 2739.4579334841983, 2739.4332933431647, 2739.435370839193, 2739.520909567535, 2739.5243759723407]"
150,"[2736.322212670123, 2734.5265528520176, 2734.3548755579873, 2734.40860079213, 2734.407077612104, 2735.4460697430513, 2735.4259032807195, 2735.4283600648755, 2735.5064622963105, 2735.510646414658]"
160,"[2732.338529847651, 2730.4672917660405, 2730.282249763369, 2730.326450909655, 2730.325332989729, 2731.3410873495673, 2731.3256529877876, 2731.328514865419, 2731.398746568156, 2731.403689752676]"
170,"[2728.279538156095, 2726.3376636879393, 2726.139757922153, 2726.1741012380544, 2726.173443436599, 2727.164630771289, 2727.1541916054684, 2727.157484146094, 2727.21940712452, 2727.2251502127338]"
180,"[2724.1664948038997, 2722.1600095225012, 2721.9501002092475, 2721.974274139824, 2721.974125051911, 2722.939413231762, 2722.9342246432925, 2722.9379731114464, 2722.9911551056384, 2722.9977407279]"
190,"[2720.020798573168, 2717.957749195618, 2717.736993619801, 2717.7507297290995, 2717.7511479712666, 2718.689188055018, 2718.6895168418578, 2718.693741919181, 2718.737737264451, 2718.745209195548]"
200,"[2715.865453176148, 2713.755480662128, 2713.5252768140504, 2713.5283451391283, 2713.5293917262075, 2714.4388311096955, 2714.4449432654646, 2714.4496562200784, 2714.4840335327385, 2714.492427636747]"
210,"[2711.7243861132015, 2709.578844883304, 2709.340856312861, 2709.333052840293, 2709.3348008205417, 2710.2142641939504, 2710.2264235178136, 2710.2316618522264, 2710.2559705925837, 2710.2653310136234]"
220,"[2707.6225828729857, 2705.4546051007146, 2705.210777869696, 2705.1919409799734, 2705.1944565680824, 2706.0425680194458, 2706.0610432492686, 2706.066816745376, 2706.0806191917086, 2706.0909878574057]"
230,"[2703.586052035348, 2701.4105937041854, 2701.163154238388, 2701.1331539297853, 2701.136515123523, 2701.951898392559, 2701.976941351191, 2701.9832847080374, 2701.9861419309846, 2701.99756001598]"
240,"[2699.6418390600243, 2697.475761074269, 2697.227234277488, 2697.1859973323535, 2697.1902908983893, 2697.9715424605306, 2698.003422986889, 2698.0103492556395, 2698.001819207197, 2698.0143279732674]"
