iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,1156865.6,2698842.2,1075.05,1642.5421
10,1148361.5,2684483.2,1071.11,1638.1575
20,1138025.2,2668472.8,1066.26,1633.2695
30,1129887.2,2655469.5,1062.44,1629.2847
40,1123701.5,2645379.8,1059.52,1626.187
50,1117345.5,2634846.5,1056.51,1622.9451
60,1110662.2,2623689.5,1053.35,1619.5044
70,1103719.5,2611994.2,1050.05,1615.8894
80,1096556.8,2599798.8,1046.63,1612.1118
90,1089184.5,2587112.5,1043.1,1608.1727
100,1081638.2,2573939.5,1039.48,1604.0723
110,1073986.1,2560363.8,1035.79,1599.8362
120,1066160.8,2546261.2,1032.0,1595.4247
130,1058403.5,2532036.0,1028.23,1590.9612
140,1050665.1,2517553.5,1024.46,1586.4039
150,1042983.4,2502849.0,1020.71,1581.7635
160,1035392.7,2487951.2,1016.98,1577.0485
170,1027921.5,2472848.8,1013.3,1572.2549
180,1020697.4,2457691.2,1009.73,1567.4288
190,1013746.25,2442574.5,1006.28,1562.6006
200,1007113.1,2427493.0,1002.98,1557.769
210,1000858.1,2412507.0,999.86,1552.9532
220,995041.56,2397677.2,996.95,1548.1731
230,989732.0,2383064.5,994.28,1543.4487
240,984994.06,2368740.5,991.9,1538.8039
250,980895.1,2354772.2,989.83,1534.2611
260,977503.6,2341233.0,988.12,1529.8455
270,974890.94,2328193.5,986.8,1525.5808
280,973112.7,2316370.2,985.9,1521.6999
290,972004.8,2306842.0,985.34,1518.5578
300,971143.0,2301745.0,984.9,1516.8693
310,971183.25,2297922.8,984.92,1515.6125
320,970234.94,2304329.2,984.44,1517.6783
330,969831.8,2297041.5,984.23,1515.3146
340,969269.75,2298573.0,983.95,1515.8141
350,968364.25,2299073.0,983.48,1515.9606
360,967786.44,2295294.8,983.19,1514.7329
370,966691.75,2307109.0,982.64,1518.6272
380,965063.4,2296549.2,981.82,1515.1378
390,964783.0,2297304.8,981.66,1515.3852
400,964746.3,2294729.8,981.65,1514.5516
410,963483.6,2301241.5,981.0,1516.6949
420,965317.6,2304325.2,981.93,1517.7042
430,963294.75,2299973.5,980.91,1516.278
440,962875.56,2290338.5,980.7,1513.1174
450,965841.9,2306657.2,982.21,1518.502
460,964540.5,2321225.0,981.56,1523.2754
470,963851.56,2308788.2,981.22,1519.2029
480,962831.7,2314013.5,980.7,1520.9146
490,968990.25,2319132.2,983.81,1522.6074
