iteration,trainRMSE
0,"[1009.0868624980967, 1006.6401954999185, 1090.8669934813845, 1090.9541489283013, 1090.9371474984287, 1090.9306016606884, 1091.1510527713192, 1091.1470869215154, 1094.4134974439485, 1094.38302354405]"
10,"[1007.4492820245974, 1003.1576680051955, 1086.9321956597544, 1086.76062217389, 1086.635384944405, 1086.5713905486768, 1086.7601269839931, 1086.7574043467512, 1090.035095416694, 1090.0392099337691]"
20,"[1001.5116895850769, 997.7465564393398, 1081.9797622690967, 1082.024121937898, 1082.0041348957086, 1081.9981745892026, 1082.2102675424217, 1082.2131880010875, 1085.4619093425956, 1085.460816022138]"
30,"[997.5881386920031, 993.8241943673627, 1078.182265791191, 1078.229099038393, 1078.2123534004058, 1078.2077361315519, 1078.4163041567904, 1078.4186368452579, 1081.6438734781448, 1081.642932739069]"
40,"[994.0984628552651, 990.8659147882713, 1075.3407676299971, 1075.3881039541345, 1075.3744564550318, 1075.3712031249845, 1075.5774100006383, 1075.579489688287, 1078.786670505355, 1078.7859169293504]"
50,"[991.197304991905, 987.7944412915625, 1072.342298131948, 1072.3840067341387, 1072.372035462353, 1072.3698288373723, 1072.5732035937683, 1072.5748848096498, 1075.7622646764703, 1075.7616713297316]"
60,"[988.1349493033483, 984.5616400715581, 1069.182182082995, 1069.2167106766244, 1069.205996600451, 1069.2046639891016, 1069.4048455642344, 1069.40603055067, 1072.571771865101, 1072.5713322338404]"
70,"[984.9387881112644, 981.1964242349693, 1065.8900120206436, 1065.9168110727478, 1065.9073891290868, 1065.9069736111783, 1066.1037172979782, 1066.1043641247659, 1069.2467117102747, 1069.2464344150312]"
80,"[981.6186173698536, 977.71571587583, 1062.4833467683432, 1062.5022325253565, 1062.494235161246, 1062.4948002645447, 1062.6878530482184, 1062.687933553842, 1065.805089534547, 1065.8049896504494]"
90,"[978.0933445542195, 974.1247450107148, 1058.975665711061, 1058.9876297364815, 1058.9813881443745, 1058.983026210375, 1059.1721485480728, 1059.1716255318647, 1062.2617255992902, 1062.2618133411095]"
100,"[974.3827659271334, 970.4346073051554, 1055.3810587523171, 1055.388140581274, 1055.3840374938488, 1055.386854621625, 1055.5717928447223, 1055.57062348863, 1058.6317240940637, 1058.632010161627]"
110,"[970.6508174098, 966.6833523621858, 1051.7187544188644, 1051.7206366567248, 1051.7187289253836, 1051.722793075359, 1051.9032787224905, 1051.9014362101125, 1054.9314970006976, 1054.9319931614677]"
120,"[966.4349357695058, 962.8277273385994, 1047.9988216558588, 1048.002061017504, 1048.0034927320105, 1048.0090025457537, 1048.184787502246, 1048.1822230343187, 1051.1791279381553, 1051.1798453134186]"
130,"[962.6312521185453, 959.016356003416, 1044.2578485570755, 1044.2543734370163, 1044.258214750588, 1044.2650959144407, 1044.435877418086, 1044.4325620099983, 1047.394099578509, 1047.3950504168954]"
