modelType,epochs,inputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided,100000,1,10,3,0.01,10,AD,1424,200,sigmoid,8,Dist,0.024,0.033,958,1.0,0.077,1.786,842,0.069,1.749,65000,805.97,0.05,1.7725,1048.0,0.04,349.83380126953125,0.07000000029802322,1.8349,0.0076,0.0041,1.1958,20-07-02_14-54,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,1424,200,sigmoid,8,Dist,0.026000000000000002,0.027999999999999997,874,0.2,0.0168,1.8126,769,0.021,1.7698,0,inf,0.0,0.0,1419.0,0.07,130.53500366210938,0.019999999552965164,1.8419,0.8769,0.0,0.0,20-07-02_15-35,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,1424,200,sigmoid,8,Dist,0.0,0.076,1455,1.0,0.2213,0.8858,1369,0.213,0.8868,10000,873.21,0.085,1.6938,1211.0,0.05,678.781982421875,0.12999999523162842,1.7074,0.0489,0.1345,1.131,20-07-02_19-56,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,1424,200,sigmoid,8,Dist,0.002,0.08199999999999999,1510,1.0,0.2313,0.8088,1387,0.212,0.789,10000,877.88,0.079,1.7156,1192.0,0.05,621.3466186523438,0.11999999731779099,1.8055,0.0296,0.0355,1.1641,20-07-02_21-08,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,1424,200,sigmoid,8,Dist,0.0,0.044000000000000004,1110,0.99,0.1335,1.0423,984,0.122,1.0491,99999,983.52,0.122,1.0491,1291.0,0.06,783.2100219726562,0.15000000596046448,1.3055,0.1006,0.5144,1.0545,20-07-02_23-39,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,1424,200,sigmoid,8,Dist,0.0,0.063,1327,1.0,0.1919,0.9967,1221,0.179,1.0175,10000,884.17,0.081,1.5993,1212.0,0.05,684.0033569335938,0.12999999523162842,1.6246,0.0484,0.213,1.1287,20-07-03_01-35,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,1368,200,sigmoid,8,Dist,0.027000000000000003,0.027000000000000003,869,0.0,0.0008,2.2017,765,0.001,2.2399,20000,806.61,0.05,2.2214,1039.0,0.04,344.6123962402344,0.07000000029802322,2.2345,0.018,0.0138,1.2014,20-07-04_08-58,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,1368,200,sigmoid,8,Dist,0.026000000000000002,0.027000000000000003,873,0.66,0.0119,2.2009,765,0.004,2.2388,0,1134.01,0.044000000000000004,2.2399,1246.0,0.06,224.52020263671875,0.03999999910593033,2.2504,1.134,0.0,0.5032,20-07-04_09-59,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,1368,200,sigmoid,8,Dist,0.0,0.063,1319,1.0,0.1862,1.1784,1263,0.185,1.1479,5000,888.17,0.08,2.0749,1112.0,0.05,501.25439453125,0.10000000149011612,2.13,0.0706,0.1058,1.1722,20-07-04_15-42,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,1368,200,sigmoid,8,Dist,0.006,0.059000000000000004,1281,1.0,0.179,1.2589,1219,0.177,1.2543,10000,846.39,0.066,2.055,1079.0,0.04,422.93341064453125,0.07999999821186066,2.0032,0.0778,0.2637,1.1674,20-07-04_17-40,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,1368,200,sigmoid,8,Dist,0.0,0.049,1171,0.99,0.1455,1.3392,1065,0.142,1.2954,50000,1049.47,0.136,1.2283,1237.0,0.06,704.8890380859375,0.14000000059604645,1.4826,0.1852,0.8135,1.091,20-07-04_21-37,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,1368,200,sigmoid,8,Dist,0.0,0.057,1262,1.0,0.1773,1.1929,1223,0.18,1.1834,10000,856.18,0.07,2.2357,1077.0,0.04,428.1548156738281,0.07999999821186066,2.2496,0.0529,0.0006,1.1797,20-07-05_00-21,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,1368,200,sigmoid,8,Dist,0.023,0.036000000000000004,993,0.91,0.0219,2.2212,795,0.01,2.2623,35000,814.27,0.034,2.0998,1019.0,0.04,224.52020263671875,0.03999999910593033,2.0555,0.0249,0.1942,1.2034,20-07-07_18-43,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,1368,200,sigmoid,8,Dist,0.024,0.036000000000000004,994,0.0,0.0016,2.2504,794,0.002,2.2875,10000,825.44,0.048,2.2842,1012.0,0.04,250.627197265625,0.05000000074505806,2.2457,0.0144,0.005,1.2046,20-07-07_19-43,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,1368,200,sigmoid,8,Dist,0.0,0.065,1329,1.0,0.1791,1.0631,1277,0.191,1.1183,5000,816.45,0.039,2.2867,1029.0,0.04,255.8485870361328,0.05000000074505806,2.2482,0.013,0.0033,1.2033,20-07-07_23-01,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,1368,200,sigmoid,8,Dist,0.006999999999999999,0.059000000000000004,1255,1.0,0.1506,1.2582,1102,0.14800000000000002,1.2249,20000,819.85,0.037000000000000005,2.2864,1042.0,0.04,313.28399658203125,0.05999999865889549,2.2488,0.0271,0.0004,1.2004,20-07-08_00-59,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,1368,200,sigmoid,8,Dist,0.0,0.054000000000000006,1217,0.95,0.1362,1.3007,1026,0.126,1.2769,35000,963.46,0.10400000000000001,1.0772,1163.0,0.05,563.9111938476562,0.10999999940395355,1.125,0.1113,1.206,1.143,20-07-08_04-59,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,1368,200,sigmoid,8,Dist,0.0,0.067,1349,1.0,0.1829,1.2221,1178,0.168,1.2315,10000,862.84,0.065,2.0422,1098.0,0.04,449.0404052734375,0.09000000357627869,1.985,0.059,0.2512,1.1791,20-07-08_07-43,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,1424,200,sigmoid,8,Dist,0.02,0.045,1100,1.0,0.0862,1.6976,898,0.086,1.6778,40000,809.14,0.033,1.7566,1069.0,0.04,396.8263854980469,0.07999999821186066,1.7918,0.0089,0.0456,1.193,20-07-08_19-57,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,1424,200,sigmoid,8,Dist,0.024,0.037000000000000005,1005,0.0,0.0,1.8419,792,0.0,1.8055,10000,814.67,0.037000000000000005,1.7786,1019.0,0.04,271.5128173828125,0.05000000074505806,1.7981,0.0144,0.0428,1.1948,20-07-08_20-41,,./Data/MixedPeriods/Fire.csv
