modelType,epochs,inputDim,outputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,AD,1368,200,sigmoid,8,Dist,0.023,0.037000000000000005,1009.0,0.87,0.0371,2.1901,821.0,0.04,2.2311,35000,814.7195240413,0.038,2.2612,9488.0,4.7,10270.494140625,1.9700000286102295,0.7645,0.6635,1.4751,0.8087,20-08-02_23-48,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,AD,1368,200,sigmoid,8,Dist,0.0,0.063,1305.0,1.0,0.1699,1.1544,1220.0,0.184,1.1955,5000,1031.0825906928999,0.132,2.0277,2041.0,0.16,1770.0545654296875,0.3400000035762787,0.052,0.0587,2.2814,1.1861,20-08-03_01-00,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,AD,1368,200,sigmoid,8,Dist,0.002,0.062,1299.0,1.0,0.16,1.1855,1235.0,0.183,1.1862,5000,856.3992168911,0.073,2.2331,1196.0,0.05,412.4906311035156,0.07999999821186066,0.0107,0.0083,2.3296,1.2109,20-08-03_02-57,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,RB,1368,200,sigmoid,8,Dist,0.023,0.036000000000000004,992.0,0.43,0.0093,2.2473,797.0,0.01,2.2827,10000,813.8022764044999,0.033,2.2230000000000003,1232.0,0.06,506.475830078125,0.10000000149011612,0.008,0.008,2.3297,1.2099,20-08-03_06-32,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,RB,1368,200,sigmoid,8,Dist,0.0,0.049,1152.0,0.96,0.1075,1.2815,1001.0,0.115,1.2503,50000,993.8000297561999,0.11800000000000001,1.2669,1293.0,0.06,678.781982421875,0.12999999523162842,0.0394,0.0213,2.292,1.1958,20-08-03_08-24,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,RB,1368,200,sigmoid,8,Dist,0.0,0.06,1278.0,1.0,0.1531,1.2368,1122.0,0.16399999999999998,1.2853,5000,1007.9420401177,0.129,2.0693,2003.0,0.15,1728.283447265625,0.33000001311302185,0.0652,0.062,2.27,1.1837,20-08-03_11-30,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,AD,1424,200,sigmoid,8,Dist,0.023,0.037000000000000005,1002.0,0.14,0.0113,1.8219,793.0,0.013000000000000001,1.7801,60000,827.7343111439999,0.046,1.6203,1602.0,0.1,1237.4718017578125,0.23999999463558197,0.0157,0.0061,1.7814,1.2006,20-08-04_00-34,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,AD,1424,200,sigmoid,8,Dist,0.0,0.076,1437.0,0.99,0.1998,0.983,1306.0,0.191,0.9840000000000001,5000,1131.5491478622,0.152,1.5382,2943.0,0.34,2892.65576171875,0.550000011920929,0.0626,0.0213,1.7315,1.1667,20-08-04_01-22,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,AD,1424,200,sigmoid,8,Dist,0.001,0.071,1395.0,1.0,0.2023,0.8865,1383.0,0.21100000000000002,0.8809999999999999,5000,836.7857120269999,0.053,1.7563,1375.0,0.07,798.8742065429688,0.15000000596046448,0.0256,0.0053,1.7776,1.1973,20-08-04_02-54,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,RB,1424,200,sigmoid,8,Dist,0.025,0.039,1028.0,0.99,0.0499,1.7829,801.0,0.023,1.7627,35000,809.2275222464999,0.034,1.791,1263.0,0.06,590.0181884765625,0.10999999940395355,0.0028,0.003,1.7913,1.2052,20-08-04_05-37,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,RB,1424,200,sigmoid,8,Dist,0.0,0.049,1157.0,0.98,0.1151,1.0124,1062.0,0.133,1.0018,75000,1045.2143104949,0.13,1.04,1428.0,0.08,976.40185546875,0.1899999976158142,0.036,0.0187,1.7591,1.1857,20-08-04_07-10,,./Data/MixedPeriods/Fire.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,RB,1424,200,sigmoid,8,Dist,0.0,0.055999999999999994,1235.0,1.0,0.1442,1.0139,1168.0,0.158,0.9891,99999,1167.8163503335973,0.158,0.9891,1865.0,0.13,1545.534423828125,0.30000001192092896,0.076,0.0236,1.7307,1.1735,20-08-04_09-45,,./Data/MixedPeriods/Fire.csv
