modelType,epochs,inputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal,folder,Comments,preproFile
lstm_unguided,1000,1,10,3,0.01,10,AD,1424,200,sigmoid,0.029,0.033,949,0.01,0.0008,1.0011,795,0.001,1.0045,0,2205.1436987005,0.033,1.0045,2187,0.18,172.31,0.0299999993,1.0011,20-06-10_03-02,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,1424,200,sigmoid,0.029,0.038,1023,0.98,0.0648,1.0004,861,0.056,1.0024,80000,824.9914577025,0.037,1.0045,972,0.03,198.41,0.0399999991,1.0002,20-06-10_03-24,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,1424,200,sigmoid,0,0.073,1414,0.99,0.1993,0.99,1383,0.215,0.992,5000,924.7332449366,0.092,1.0045,1070,0.04,475.15,0.0900000036,1.0011,20-06-10_04-08,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,1424,200,sigmoid,0.015,0.086,1530,1,0.2279,0.3625,1286,0.193,0.3663,10000,932.8830989266,0.087,0.9966,1089,0.04,537.80,0.1000000015,0.9846,20-06-10_05-24,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,1424,200,sigmoid,0.028,0.033,950,0,0,1.0011,795,0,1.0045,20000,811.914586319,0.033,1.0045,956,0.03,130.54,0.0199999996,1.0011,20-06-10_08-04,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,1424,200,sigmoid,0,0.047,1134,0.94,0.1172,1.0011,1017,0.126,1.0045,55000,997.6970526287,0.121,1.0045,1138,0.05,621.35,0.1199999973,1.0011,20-06-10_09-23,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,1424,200,sigmoid,0,0.07,1381,1,0.1861,0.9981,1247,0.183,1.0008,10000,903.7927111403,0.085,1.0022,1079,0.04,516.92,0.1000000015,0.997,20-06-10_11-31,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,1368,200,sigmoid,0.027,0.034,963,0.5,0.0125,1.0022,810,0.001,1.0015,50000,829.3817217821,0.035,1.0015,979,0.04,208.86,0.0399999991,1.0022,20-06-12_11-09,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,1368,200,sigmoid,0.001,0.074,1423,1,0.2077,0.9654,1323,0.201,0.9712,10000,894.0185302458,0.074,1.0015,1061,0.04,449.04,0.0900000036,1.0022,20-06-12_12-10,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,1368,200,sigmoid,0.004,0.08,1466,1,0.2156,0.939,1378,0.21,0.9465,10000,900.5911857298,0.074,1.0015,1030,0.04,381.16,0.0700000003,1.0022,20-06-12_14-10,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,1368,200,sigmoid,0.028,0.034,960,0,0.0002,1.0022,812,0,1.0015,5000,830.5443747882,0.034,1.0015,973,0.03,161.86,0.0299999993,1.0022,20-06-12_18-15,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,1368,200,sigmoid,0,0.052,1189,0.98,0.1326,1.0022,1039,0.133,1.0015,99999,1038.6288236629,0.133,1.0015,1189,0.05,694.45,0.1299999952,1.0022,20-06-12_19-55,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,1368,200,sigmoid,0,0.066,1341,1,0.1837,1.0016,1236,0.174,1.0015,5000,835.8038677304,0.036,1.0015,982,0.04,219.30,0.0399999991,1.0022,20-06-12_22-39,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,1424,200,sigmoid,0.027,0.034,960.0,0.83,0.0389,1.0011,826.0,0.041,1.0045,99999,826.4809812466356,0.041,1.0045,,,,,,20-06-15_23-48,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,1424,200,sigmoid,0.001,0.079,1468.0,1.0,0.2134,0.981,1381.0,0.214,0.9849,5000,897.9134907620764,0.075,1.0045,,,,,,20-06-16_00-31,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,1424,200,sigmoid,0.008,0.091,1573.0,1.0,0.2427,0.4333,1377.0,0.216,0.4505,10000,1006.2671772680484,0.12,0.8802,,,,,,20-06-16_01-49,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,1424,200,sigmoid,0.029,0.033,947.0,0.1,0.0046,1.0011,793.0,0.011,1.0045,55000,808.5625171379744,0.032,1.0045,,,,,,20-06-16_04-31,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,1424,200,sigmoid,0.0,0.05,1170.0,0.93,0.1304,1.0011,1038.0,0.127,1.0045,85000,1037.4803778118312,0.125,1.0045,,,,,,20-06-16_05-51,,./Data/MixedPeriods/Fire.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,1424,200,sigmoid,0.0,0.061,1288.0,0.99,0.1697,0.9994,1203.0,0.175,1.0037,10000,957.8415948216135,0.103,0.996,,,,,,20-06-16_07-59,,./Data/MixedPeriods/Fire.csv
