modelType,epochs,inputDim,outputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,AD,357,100,sigmoid,8,Dist,0.006,0.016,316.0,0.13,0.0149,2.1884,237.0,0.059000000000000004,2.1021,55000,204.98994311153598,0.024,2.08,340.0,0.02,0.0,0.0,0.0,0.0,2.1606,1.1285,20-08-03_18-32,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,AD,357,100,sigmoid,8,Dist,0.0,0.019,345.0,0.43,0.0564,1.0884,264.0,0.073,1.2762,5000,262.46554713470647,0.067,1.9061,341.0,0.02,29.81999969482422,0.009999999776482582,0.0069,0.0104,2.1502,1.1259,20-08-03_18-56,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,AD,357,100,sigmoid,8,Dist,0.0,0.038,483.0,0.98,0.1482,1.1377,478.0,0.172,1.1979,5000,256.2000895575946,0.062,1.5417,548.0,0.05,484.5749816894531,0.20000000298023224,0.0312,0.0312,2.1398,1.1165,20-08-03_19-46,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,RB,357,100,sigmoid,8,Dist,0.006,0.017,321.0,0.73,0.032,2.263,202.0,0.01,2.2318,25000,206.95086857075802,0.027999999999999997,2.2345,340.0,0.02,0.0,0.0,0.0,0.0,2.1606,1.1285,20-08-03_21-19,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,RB,357,100,sigmoid,8,Dist,0.0,0.019,345.0,0.45,0.0544,0.9936,249.0,0.054000000000000006,1.1597,40000,242.9681094560437,0.053,1.266,340.0,0.02,9.940000534057617,0.0,0.0035,0.0,2.1554,1.1264,20-08-03_21-56,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,RB,357,100,sigmoid,8,Dist,0.0,0.019,341.0,0.64,0.0639,1.1674,293.0,0.09300000000000001,1.2639,10000,277.57592003487446,0.083,1.141,427.0,0.03,275.8349914550781,0.10999999940395355,0.0351,0.0312,2.1285,1.1123,20-08-03_22-59,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,AD,413,100,sigmoid,8,Dist,0.006,0.016,313.0,0.62,0.0518,1.7643,290.0,0.076,1.7423,75000,230.76294510154273,0.031,1.6305,916.0,0.18,998.9700317382812,0.4000000059604645,0.0625,0.0132,1.7884,1.1272,20-08-04_15-05,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,AD,413,100,sigmoid,8,Dist,0.0,0.021,364.0,0.91,0.0851,1.0033,352.0,0.10300000000000001,1.0219,45000,334.65535097415915,0.091,1.0164,423.0,0.03,300.68499755859375,0.11999999731779099,0.0197,0.0066,1.8268,1.1458,20-08-04_15-23,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,AD,413,100,sigmoid,8,Dist,0.0,0.039,488.0,0.94,0.1515,0.8816,449.0,0.159,0.7862,5000,313.2041372317581,0.08199999999999999,1.3465,384.0,0.02,221.16500854492188,0.09000000357627869,0.0033,0.0,1.8421,1.1557,20-08-04_16-09,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,RB,413,100,sigmoid,8,Dist,0.006,0.015,301.0,0.12,0.0178,1.8092,228.0,0.017,1.8026,70000,234.33258592034318,0.026000000000000002,1.7456,326.0,0.02,0.0,0.0,0.0,0.0,1.8487,1.1579,20-08-04_17-09,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,RB,413,100,sigmoid,8,Dist,0.0,0.019,342.0,0.58,0.0642,1.0526,284.0,0.064,0.9572,30000,274.4891181428449,0.057999999999999996,1.0033,470.0,0.04,397.6000061035156,0.1599999964237213,0.0033,0.0,1.8421,1.1557,20-08-04_17-43,,./Data/MixedPeriods/Law.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,RB,413,100,sigmoid,8,Dist,0.0,0.027999999999999997,417.0,0.94,0.11199999999999999,0.9068,329.0,0.09699999999999999,0.9594,99999,328.9333884281197,0.09699999999999999,0.9594,562.0,0.06,524.3349609375,0.20999999344348907,0.0186,0.0,1.8191,1.1425,20-08-04_18-42,,./Data/MixedPeriods/Law.csv
