modelType,epochs,inputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal,folder,Comments,preproFile
lstm_unguided,100000,1,10,3,0.01,10,AD,413,100,sigmoid,0.005,0.027,409,1,0.1073,1.0035,264,0.069,1,40000,217.0572429384,0.028,1,336,0.02,157,0.0599999987,0.9878,20-06-10_15-05,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,413,100,sigmoid,0,0.028,419,0.84,0.1125,1.0071,352,0.127,1,10000,248.1955901739,0.056,1,344,0.02,169,0.0700000003,1.0071,20-06-10_15-22,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,413,100,sigmoid,0.005,0.036,452,1,0.1416,0.4227,297,0.086,0.3965,25000,236.0897296756,0.034,0.187,340,0.02,132,0.0500000007,0.2275,20-06-10_15-53,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,413,100,sigmoid,0.006,0.015,309,0.56,0.0281,1.0071,206,0.004,1,25000,217.8262161541,0.027,1,302,0.01,22,0.0099999998,1.0071,20-06-10_16-42,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,413,100,sigmoid,0,0.021,362,0.75,0.0762,1.0071,233,0.05,1,99999,232.6879211783,0.05,1,362,0.02,189,0.0799999982,1.0071,20-06-10_17-16,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,413,100,sigmoid,0,0.035,465,0.93,0.1344,1.0071,246,0.067,1,15000,216.4741808508,0.025,1,305,0.02,50,0.0199999996,1.0071,20-06-10_18-07,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,357,100,sigmoid,0.008,0.016,310,0.16,0.0129,1.0045,234,0.012,1,65000,245.2827697795,0.03,1,316,0.02,75,0.0299999993,1.0045,20-06-13_03-21,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,357,100,sigmoid,0,0.023,375,0.6,0.0808,1.0045,304,0.078,1,45000,268.5322986634,0.06,1,365,0.02,191,0.0799999982,1.0045,20-06-13_03-44,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,357,100,sigmoid,0,0.038,483,0.99,0.1459,1.0045,368,0.111,1,10000,250.9960390738,0.036,1,364,0.02,181,0.0700000003,1.0045,20-06-13_04-27,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,357,100,sigmoid,0.009,0.016,310,0.31,0.0141,1.0045,232,0.003,1,60000,246.2331918407,0.03,1,315,0.02,50,0.0199999996,1.0045,20-06-13_05-35,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,357,100,sigmoid,0.001,0.018,333,0.63,0.0468,1.0045,305,0.075,1,50000,295.7157383959,0.071,1,351,0.02,149,0.0599999987,1.0045,20-06-13_06-12,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,357,100,sigmoid,0,0.022,367,0.52,0.0764,1.0045,305,0.073,1,99999,305.4002342244,0.073,1,367,0.02,189,0.0799999982,1.0045,20-06-13_07-08,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,413,100,sigmoid,0.007,0.016,315.0,0.82,0.0392,1.0071,210.0,0.017,1.0,20000,217.2727785029658,0.027,1.0,,,,,,20-06-16_11-34,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,413,100,sigmoid,0.0,0.027,402.0,0.98,0.1061,1.0071,254.0,0.074,1.0,5000,223.8393170639199,0.037,1.0,,,,,,20-06-16_11-51,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,413,100,sigmoid,0.007,0.029,405.0,0.94,0.1104,0.164,260.0,0.061,0.1579,95000,256.252860999539,0.052,0.1622,,,,,,20-06-16_12-23,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,413,100,sigmoid,0.008,0.015,300.0,0.01,0.0024,1.0071,205.0,0.002,1.0,20000,213.94262238175872,0.025,1.0,,,,,,20-06-16_13-12,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,413,100,sigmoid,0.0,0.017,323.0,0.4,0.0474,1.0071,242.0,0.057,1.0,70000,224.2974463448959,0.041,1.0,,,,,,20-06-16_13-46,,./Data/MixedPeriods/Law.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,413,100,sigmoid,0.0,0.03,429.0,0.82,0.1146,1.0071,311.0,0.097,1.0,25000,233.3934556978057,0.046,1.0,,,,,,20-06-16_14-37,,./Data/MixedPeriods/Law.csv
