modelType,epochs,inputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided,100000,1,10,3,0.01,10,AD,648,120,sigmoid,8,Random,0.002,0.483,26217,1.0,0.0685,1.7677,1622,0.001,1.7825,35000,1699.211283786,0.012,1.7069,1418.0,0.04,84.31704711914062,0.009999999776482582,0.0756,0.0,1.702,1.1803,20-06-30_23-30,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,648,120,sigmoid,8,Random,0.002,0.479,26101,0.62,0.022000000000000002,1.7689,1622,0.003,1.7788,25000,1646.2388500686,0.006999999999999999,1.7825,1458.0,0.04,484.9007568359375,0.05999999865889549,0.0768,0.0186,1.6939,1.1636,20-06-30_23-52,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,648,120,sigmoid,8,Random,0.0,0.484,26241,0.77,0.063,0.9672,2689,0.055999999999999994,1.0223,15000,2118.5540367210997,0.039,1.6846,1833.0,0.06,1382.5050048828125,0.1899999976158142,0.2869,0.0465,1.5099,1.1035,20-07-01_13-43,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,648,120,sigmoid,8,Random,0.001,0.489,26390,1.0,0.1014,1.127,2910,0.066,1.3209,30000,1641.5522585714002,0.008,1.7447,1731.0,0.05,1159.95849609375,0.1599999964237213,0.4486,0.0595,1.3228,1.0886,20-07-01_14-25,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,648,120,sigmoid,8,Random,0.0,0.48100000000000004,26170,0.57,0.0509,1.0359,2251,0.042,1.0756,10000,1719.69370347,0.017,1.7751,1458.0,0.04,662.93798828125,0.09000000357627869,0.3017,0.0353,1.4814,1.1425,20-07-01_15-34,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,648,120,sigmoid,8,Random,0.0,0.486,26313,0.99,0.0818,1.0068,2604,0.054000000000000006,0.9603,15000,1667.1061381309,0.01,1.7416,1497.0,0.04,833.5570068359375,0.10999999940395355,0.3835,0.0576,1.3786,1.114,20-07-01_16-34,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,648,120,sigmoid,8,Dist,0.031,0.031,1307,0.98,0.0509,1.5762,1163,0.040999999999999995,1.6815,99999,1163.2221196564,0.040999999999999995,1.6815,1307.0,0.03,383.3613586425781,0.05000000074505806,1.5762,0.0037,0.1357,1.1648,20-07-02_17-38,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,648,120,sigmoid,8,Dist,0.03,0.035,1384,1.0,0.0895,1.4157,1262,0.075,1.5105,75000,1182.3647609523,0.032,1.6382,1304.0,0.03,450.533935546875,0.05999999865889549,1.5266,0.0037,0.1648,1.1623,20-07-02_18-00,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,648,120,sigmoid,8,Dist,0.0,0.07,1980,1.0,0.204,0.8637,1928,0.204,0.9058,5000,1498.7270569435,0.139,1.6853,1641.0,0.05,1032.6964111328125,0.14000000059604645,1.5774,0.0576,0.1276,1.1078,20-07-03_07-54,,./Data/MixedPeriods/Structural.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,648,120,sigmoid,8,Dist,0.009000000000000001,0.09699999999999999,2317,1.0,0.2689,0.4517,2189,0.253,0.5471,5000,1293.9171487228,0.07400000000000001,1.5818,1400.0,0.04,726.68798828125,0.10000000149011612,1.417,0.0483,0.2565,1.1177,20-07-03_08-36,,./Data/MixedPeriods/Structural.csv
