modelType,epochs,inputDim,outputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,AD,592,200,sigmoid,8,Dist,0.033,0.028999999999999998,1273.0,0.1,0.0189,2.2179,1143.0,0.043,2.1452,25000,1105.3653246451736,0.037000000000000005,2.1937,3490.0,0.37,4137.5634765625,0.550000011920929,0.5322,0.4124,1.8164,0.8814,20-08-02_23-46,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,AD,592,200,sigmoid,8,Dist,0.0,0.055,1739.0,0.98,0.1667,1.1786,1716.0,0.17,1.228,5000,1376.7766418440006,0.115,2.1003,2366.0,0.11,2099.994140625,0.2800000011920929,0.0403,0.0211,2.3263,1.1265,20-08-03_00-19,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,AD,592,200,sigmoid,8,Dist,0.008,0.075,2034.0,1.0,0.2117,0.9439,1683.0,0.17800000000000002,1.0448,5000,1638.4516962100274,0.16699999999999998,2.2273,2701.0,0.14,2420.929931640625,0.3199999928474426,0.0565,0.0352,2.2926,1.1146,20-08-03_01-21,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,15,5,0.01,10,RB,592,200,sigmoid,8,Dist,0.027000000000000003,0.03,1282.0,0.84,0.0295,2.2739,1107.0,0.017,2.1955,45000,1130.9122848402624,0.033,2.1995,1466.0,0.04,2.7166666984558105,0.0,0.0,0.0,2.376,1.1432,20-08-03_03-04,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,15,5,0.001,50,RB,592,200,sigmoid,8,Dist,0.0,0.049,1649.0,1.0,0.1424,1.3315,1575.0,0.157,1.1785,65000,1543.5833424405378,0.15,1.2178,2211.0,0.09,1831.3040771484375,0.23999999463558197,0.0727,0.0469,2.3079,1.1153,20-08-03_03-39,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,15,5,0.0001,100,RB,592,200,sigmoid,8,Dist,0.0,0.061,1842.0,0.99,0.1737,1.2749,1744.0,0.177,1.1736,10000,1536.5093550525671,0.147,1.989,3094.0,0.18,2853.820068359375,0.3799999952316284,0.0993,0.0634,2.2475,1.0972,20-08-03_04-35,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,AD,648,200,sigmoid,8,Dist,0.028999999999999998,0.037000000000000005,1421.0,1.0,0.094,1.5849,1388.0,0.105,1.6753,35000,1237.1558718408944,0.057,1.7546,1743.0,0.06,1084.9417724609375,0.14000000059604645,0.0037,0.0,1.7497,1.1654,20-08-03_14-29,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,AD,648,200,sigmoid,8,Dist,0.0,0.057999999999999996,1783.0,0.99,0.1751,0.8879,1954.0,0.207,1.0043,5000,1894.0980408826424,0.18899999999999997,1.6481,2345.0,0.11,2114.92138671875,0.2800000011920929,0.0316,0.0074,1.7299,1.1506,20-08-03_14-54,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,AD,648,200,sigmoid,8,Dist,0.0,0.086,2178.0,1.0,0.2372,0.8457,2223.0,0.253,0.9703,5000,1928.2762767675995,0.204,1.3463,3096.0,0.19,3003.092529296875,0.4000000059604645,0.07,0.0335,1.6822,1.1171,20-08-03_15-41,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.01,10,RB,648,200,sigmoid,8,Dist,0.031,0.027999999999999997,1248.0,0.69,0.0289,1.6338,1200.0,0.04,1.7565,85000,1138.833622625006,0.037000000000000005,1.7522,1431.0,0.04,2.7166666984558105,0.0,0.0,0.0,1.7584,1.1691,20-08-03_17-02,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.001,50,RB,648,200,sigmoid,8,Dist,0.0,0.040999999999999995,1512.0,0.99,0.1185,0.9467,1628.0,0.154,1.0217,55000,1594.118179209387,0.14800000000000002,0.9839,1836.0,0.06,1353.6322021484375,0.18000000715255737,0.0297,0.0037,1.7292,1.1561,20-08-03_18-04,,./Data/MixedPeriods/Structural.csv
lstm_unguided_feaures,100000,2,1,10,3,0.0001,100,RB,648,200,sigmoid,8,Dist,0.0,0.051,1675.0,0.98,0.1579,0.9622,1758.0,0.183,1.0155,99999,1757.7194304032926,0.183,1.0155,2858.0,0.15,2592.59326171875,0.3499999940395355,0.0756,0.0297,1.6753,1.1233,20-08-03_19-25,,./Data/MixedPeriods/Structural.csv
