modelType,epochs,inputDim,xLength,yLength,learningRate,unitsHiddenLayer,typeTraining,trainingSize,miniBatchSize,typeAF,periods,samplingMethod,lossTraint,lossTest,RMSE,DiffMaxMin,stdDev,numPeaksTest,RMSEValFinal,stdValFinal,numPeaksValFinal,BestPrevIteration,bestRMSEVal,BestStd,ratioPeaks,testRMSEPrevVal,testLossPrevVal,testStdVal,testStdPrevVal,testPeaksPrevVal50,testPeaksPrevVal90,testNoPeak50,testNoPeak90,folder,Comments,preproFile
lstm_unguided,100000,1,10,3,0.01,10,AD,837,160,sigmoid,8,Random,0.013,0.025,909,0.97,0.0925,1.5945,722,0.06,1.5438,99999,722.3751991631,0.06,1.5438,807,0.07,417.8179931641,0.1400000006,0.9183,0.0205,0.9475,1.1215,20-07-01_00-32,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,837,160,sigmoid,8,Random,0.015,0.016,743,0.35,0.0181,1.7233,656,0.015,1.6411,20000,742.483907776,0.062,1.5187,774,0.07,345.1539916992,0.1099999994,0.6283,0.0082,1.1822,1.1324,20-07-01_00-58,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,837,160,sigmoid,8,Random,0,0.046,1245,1,0.1785,0.8242,1214,0.174,0.7982,5000,753.9567320892,0.065,1.3397,799,0.07,408.7350158691,0.1400000006,0.5854,0.0192,1.2105,1.1196,20-07-01_18-08,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,837,160,sigmoid,8,Random,0.002,0.08,1639,1,0.2525,0.8822,1593,0.248,0.758,10000,932.3009118805,0.124,1.147,864,0.08,560.118347168,0.1800000072,0.5667,0.0247,1.2055,1.0945,20-07-01_18-55,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,837,160,sigmoid,8,Random,0,0.023,886,0.7,0.0927,0.9068,849,0.095,0.8699,35000,847.850833893,0.097,0.8553,787,0.07,326.9880065918,0.1099999994,0.6155,0.0055,1.1872,1.1402,20-07-01_20-23,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,837,160,sigmoid,8,Random,0,0.037,1119,0.99,0.1541,0.8589,1077,0.146,0.8228,15000,953.7802588077,0.122,1.0744,800,0.07,351.2093200684,0.1199999973,0.4845,0.0137,1.3068,1.1333,20-07-01_21-29,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,837,160,sigmoid,8,Dist,0.019,0.087,895,1,0.2049,1.3936,931,0.213,1.3187,5000,832.770962661,0.177,1.3288,815,0.07,506.0684509277,0.1700000018,1.4466,0.0288,0.3347,1.0685,20-07-02_18-43,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,837,160,sigmoid,8,Dist,0.053,0.045,647,0.78,0.0247,1.7858,639,0.044,1.6644,15000,727.0863411924,0.114,1.5968,764,0.06,396.9758300781,0.1299999952,1.6973,0.011,0.0744,1.0968,20-07-02_19-09,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,837,160,sigmoid,8,Dist,0,0.1,961,1,0.2457,0.9251,1005,0.247,0.8511,5000,930.7970630614,0.219,1.0804,878,0.08,657.5859375,0.2199999988,1.2301,0.074,0.5315,1.0256,20-07-03_12-19,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,837,160,sigmoid,8,Dist,0.003,0.143,1141,1,0.3181,0.7562,1135,0.307,0.6799,10000,936.4667696638,0.223,0.7616,918,0.09,687.889465332,0.2300000042,0.932,0.0521,0.7986,1.0429,20-07-03_13-07,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,837,160,sigmoid,8,Dist,0,0.077,839,0.99,0.1878,1.0087,816,0.178,0.9411,99999,816.4006773284,0.178,0.9411,841,0.08,569.7058105469,0.1899999976,1.0237,0.0384,0.7169,1.0703,20-07-03_14-35,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,837,160,sigmoid,8,Dist,0,0.108,997,1,0.2665,0.9027,1035,0.259,0.8484,10000,1012.5025648069,0.253,0.7886,1025,0.12,796.9820556641,0.2599999905,0.8904,0.1096,0.9009,0.9717,20-07-03_15-40,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,781,160,sigmoid,8,Dist,0.053,0.051,686,0.77,0.0664,2.1687,661,0.067,1.9611,55000,732.8349992154,0.116,2.0667,737,0.06,339.3992004395,0.1099999994,2.2804,0.048,0.0859,1.0953,20-07-04_14-03,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,781,160,sigmoid,8,Dist,0.053,0.048,663,0.12,0.0195,2.3927,637,0.02,2.1462,25000,721.8165903681,0.113,2.1044,746,0.06,339.3992004395,0.1099999994,2.3353,0.055,0.043,1.0851,20-07-04_14-43,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,781,160,sigmoid,8,Dist,0,0.113,1020,1,0.2531,1.2166,979,0.245,1.1083,5000,833.8501709765,0.185,1.6085,880,0.08,554.5540161133,0.1800000072,1.8449,0.1079,0.5588,1.048,20-07-05_15-20,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,781,160,sigmoid,8,Dist,0.008,0.145,1150,1,0.3036,1.2785,1076,0.279,1.1512,5000,715.5484456856,0.112,1.8441,743,0.06,333.3385009766,0.1099999994,2.1497,0.0437,0.3142,1.0997,20-07-05_16-29,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,781,160,sigmoid,8,Dist,0,0.081,861,0.98,0.2028,1.3238,839,0.182,1.0917,99999,838.5105702652,0.182,1.0917,858,0.08,612.1307373047,0.200000003,1.3156,0.1451,1.0297,1.0261,20-07-05_18-41,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,781,160,sigmoid,8,Dist,0,0.117,1036,1,0.261,1.3193,995,0.249,1.0935,10000,839.3689074124,0.173,1.2908,858,0.08,530.3112182617,0.1800000072,1.4835,0.1052,0.9356,1.0597,20-07-05_20-20,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.01,10,AD,781,160,sigmoid,8,Dist,0.052,0.047,660,0.2,0.0116,2.3873,635,0.007,2.1435,25000,720.9491923237,0.115,1.845,755,0.06,348.4902648926,0.1199999973,2.1279,0.0356,0.2405,1.0958,20-07-07_21-23,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.01,10,RB,781,160,sigmoid,8,Dist,0.049,0.048,661,0.02,0.0065,2.3927,635,0.007,2.1462,0,inf,0,0,791,0.07,24.2428016663,0.0099999998,2.3927,0,0,1.1249,20-07-07_22-02,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.001,50,AD,781,160,sigmoid,8,Dist,0,0.109,1001,1,0.2501,1.2139,968,0.241,1.0429,5000,834.7748666122,0.18,1.536,896,0.09,606.0700073242,0.200000003,1.8272,0.1343,0.6505,1.0323,20-07-08_12-23,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.0001,100,AD,781,160,sigmoid,8,Dist,0.005,0.145,1151,1,0.2996,1.0856,1089,0.298,1.0321,5000,775.4172557412,0.163,1.3587,855,0.08,536.3719482422,0.1800000072,1.5888,0.1133,0.7902,1.0563,20-07-08_13-32,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.001,50,RB,781,160,sigmoid,8,Dist,0,0.083,874,0.99,0.1903,1.2423,839,0.175,1.0749,90000,838.2500234612,0.175,1.1115,871,0.08,575.7664794922,0.1899999976,1.2708,0.1311,1.0256,1.0427,20-07-08_15-45,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,15,5,0.0001,100,RB,781,160,sigmoid,8,Dist,0,0.123,1064,1,0.2746,1.2576,996,0.255,1.0687,10000,836.3933572561,0.178,1.344,851,0.08,545.4630126953,0.1800000072,1.5643,0.1192,0.8068,1.0528,20-07-08_17-23,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,837,160,sigmoid,8,Dist,0.023,0.072,812,0.98,0.1656,1.4795,800,0.169,1.2648,95000,799.1600614017,0.166,1.4096,780,0.07,469.7042541504,0.1599999964,1.5434,0.0521,0.2379,1.0699,20-07-08_22-00,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,837,160,sigmoid,8,Dist,0.049,0.046,651,0.44,0.0269,1.7877,639,0.028,1.6726,25000,721.0984070601,0.112,1.6105,718,0.06,318.1867370605,0.1000000015,1.7237,0.0137,0.0712,1.11,20-07-08_22-28,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,837,160,sigmoid,8,Dist,0,0.103,970,1,0.2435,0.8753,945,0.226,0.8068,95000,944.1337909731,0.226,0.8068,968,0.1,736.3750610352,0.2399999946,0.8776,0.0685,0.8658,1.011,20-07-09_08-57,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,AD,837,160,sigmoid,8,Dist,0.002,0.131,1093,1,0.3084,0.7406,1164,0.313,0.6361,5000,731.5490634478,0.119,1.2621,731,0.06,381.8240966797,0.1299999952,1.3557,0.0082,0.4215,1.1164,20-07-09_09-48,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,RB,837,160,sigmoid,8,Dist,0,0.084,878,0.99,0.2005,1.0032,857,0.189,0.8731,90000,852.7062305125,0.188,0.8808,876,0.08,606.0700073242,0.200000003,0.9909,0.063,0.7822,1.0502,20-07-09_11-22,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.0001,100,RB,837,160,sigmoid,8,Dist,0,0.108,998,1,0.2454,0.9306,925,0.226,0.8269,10000,892.3870171061,0.212,0.7913,926,0.09,687.889465332,0.2300000042,0.8594,0.0767,0.8767,1.0132,20-07-09_12-44,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,AD,837,160,sigmoid,8,Random,0.047,0.047,658,0.2,0.0231,1.7986,621,0.02,1.6534,70000,712.1901325214,0.126,1.4315,,,,,,,,,20-07-02_20-43,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.01,10,RB,837,160,sigmoid,8,Random,0.048,0.047,660,0.19,0.022,1.8397,622,0.022,1.6877,15000,756.0820275053,0.147,1.3781,,,,,,,,,20-07-02_21-18,,./Data/MixedPeriods/Utility.csv
lstm_unguided,100000,1,10,3,0.001,50,AD,837,160,sigmoid,8,Random,0,0.122,1058,1,0.2649,0.9922,1004,0.252,0.8644,5000,799.8775703333,0.178,1.1457,,,,,,,,,20-07-04_05-02,,./Data/MixedPeriods/Utility.csv
