iteration,trainRMSE
0,"[793.33661082804, 793.3424882542787, 793.393245228222, 793.4029907581579, 794.3257188792927]"
2500,"[654.9781258179778, 652.8879824362864, 654.4185797985095, 655.5654248021198, 651.2867599005131]"
5000,"[621.9832159311059, 594.2546783943236, 588.5218837840835, 578.5166820635474, 565.2796051226157]"
7500,"[587.165045436973, 529.3215614581117, 519.5541992707415, 510.6815639301669, 464.7891863945572]"
10000,"[566.0840926140248, 476.36051886075506, 436.55280289762, 423.22836363113805, 412.20722309409786]"
12500,"[538.8894515702782, 446.1084205441873, 422.7811285207904, 396.7681476117003, 380.8643608612662]"
15000,"[529.0552668702246, 459.482745256194, 425.4276888616065, 411.04953821584064, 411.7141912192263]"
17500,"[590.4786977196364, 548.6427246349563, 524.9175274254005, 512.5608575704798, 526.5809580437186]"
20000,"[462.3347039148029, 369.51966866877706, 349.1588448177281, 323.26693931535374, 320.01510498580876]"
22500,"[494.57023588399943, 443.6293272463318, 406.673969973842, 425.1294856896016, 401.4625461378176]"
25000,"[465.92116202428525, 409.7817420561303, 359.4936947833959, 361.9149503849102, 362.09996607533606]"
27500,"[504.9521081158573, 473.1767017428223, 458.3331261350688, 439.6315066594311, 428.14536988367706]"
30000,"[472.31432088185676, 428.0604481574357, 422.9302602391009, 394.2269166034624, 427.5467891949398]"
32500,"[418.18405477897613, 384.8432317284239, 376.23385212564574, 390.6853991881051, 367.0393888395386]"
35000,"[384.7412392606332, 338.3864286990896, 293.51469513029457, 299.9373913721916, 302.7545214602281]"
37500,"[444.4552575383773, 413.6076698152298, 428.66538310763866, 427.1859251499123, 382.11315022798124]"
