iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,629635.44,625942.1,793.5,791.1651
2500,420165.8,468666.6,648.19,684.5789
5000,373421.28,488176.34,610.97,698.6906
7500,323778.34,519863.38,568.2,720.9634
10000,282006.0,542358.06,528.45,736.4117
12500,262795.06,547579.44,510.26,739.9576
15000,288441.25,561590.4,536.52,749.3722
17500,200837.31,583324.1,444.69,763.7042
20000,210333.66,582575.1,455.66,763.2428
22500,181274.16,580172.4,423.1,761.6719
25000,161528.39,606085.06,398.07,778.4715
27500,213574.64,603616.25,461.24,776.5642
30000,194204.17,603954.1,439.42,776.9807
32500,208167.38,592726.3,455.2,769.4152
35000,184784.72,608777.7,428.8,780.0477
37500,183269.08,599058.5,427.4,773.3741
40000,162383.4,626976.25,401.59,791.4752
42500,179690.62,632131.94,423.14,794.884
45000,141970.53,643246.7,375.29,801.5438
47500,141050.83,627456.06,373.98,791.7535
