,,,,,,,,,,,Loss tr,Loss te,RMSE,Min-max,std,,,,
lstm_guided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.026,0.348,2190.6,0.99,0.26,20-05-02_08-53,,./Data/With_Features/fire.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.074,1073.07,0.82,0.12,20-05-02_09-56,,./Data/With_Features/fire.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.414,2514.99,0.95,0.2,20-05-02_11-55,,./Data/With_Features/fire.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.102,0.755,4283.53,0,0,20-05-02_15-28,,./Data/DropCloseDate_Quant/fire.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,1018,200,sigmoid,0,0.189,2084.76,1,0.23,20-05-02_16-49,,./Data/DropCloseDate_Quant/fire.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,1018,200,sigmoid,0.006,0.501,3450,1,0.24,20-05-02_20-32,,./Data/DropCloseDate_Quant/fire.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.075,0.364,2498,1,0.46,20-05-03_01-00,,./Data/Median_Quant/fire.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,1508,300,sigmoid,0.001,0.643,3933,0.97,0.18,20-05-03_02-41,,./Data/Median_Quant/fire.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,1508,300,sigmoid,0.007,0.329,2797,1,0.24,20-05-03_06-05,,./Data/Median_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.026,0.026,643,0.51,0.01,20-05-03_12-36,17501,./Data/With_Features/fire.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,856,0.99,0.15,20-05-03_13-44,,./Data/With_Features/fire.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.067,1025,1,0.2,20-05-03_15-37,,./Data/With_Features/fire.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.095,0.096,1532,0.28,0.01,20-05-03_18-56,2501,./Data/DropCloseDate_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,1018,200,sigmoid,0,0.178,2082,1,0.29,20-05-03_19-55,,./Data/DropCloseDate_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,1018,200,sigmoid,0.003,0.184,2116,1,0.32,20-05-03_21-17,,./Data/DropCloseDate_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.084,0.055,1153,0.16,0.01,20-05-03_23-27,,./Data/Median_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,1508,300,sigmoid,0.002,0.095,1518,1,0.21,20-05-04_00-27,,./Data/Median_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,1508,300,sigmoid,0.006,0.123,1728,1,0.26,20-05-04_02-13,,./Data/Median_Quant/fire.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.028,667,0.74,0.04,20-05-06_17-10,20-05-03_12-36,./Data/With_Features/fire.csv,17501
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.03,687,0.97,0.0588,20-05-07_14-42,20-05-03_12-36,./Data/With_Features/fire.csv,10001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,873.0,0.97,0.1507,20-05-07_14-47,20-05-03_13-44,./Data/With_Features/fire.csv,20001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,864.0,1.0,0.1485,20-05-07_14-48,20-05-03_13-44,./Data/With_Features/fire.csv,35001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,866.0,1.0,0.1482,20-05-07_14-49,20-05-03_13-44,./Data/With_Features/fire.csv,37501
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.035,738.0,0.96,0.0837,20-05-08_16-27,20-05-03_12-36,./Data/With_Features/fire.csv,5001
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.029,674.0,0.75,0.045,20-05-08_16-28,20-05-03_12-36,./Data/With_Features/fire.csv,7501
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.03,687.0,0.97,0.0588,20-05-08_16-29,20-05-03_12-36,./Data/With_Features/fire.csv,10001
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.027,647.0,0.64,0.0196,20-05-08_16-30,20-05-03_12-36,./Data/With_Features/fire.csv,12501
