iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,81412.02,167594.52,285.33,409.3831
2500,43301.758,154290.03,208.08,392.7868
5000,8738.989,179394.97,93.12,423.1827
7500,3299.9307,209136.69,56.6,454.9959
10000,3110.3325,199957.89,54.75,446.3084
12500,2435.1096,180530.66,48.37,424.7082
15000,2544.2764,188620.45,50.08,434.2151
17500,1858.7673,179099.64,42.43,423.0626
20000,4855.5938,177716.52,69.21,421.1197
22500,1195.6337,184777.03,34.13,429.029
25000,1290.6881,171346.69,35.57,413.7324
27500,2811.6035,165235.48,52.3,406.2454
30000,1536.1207,179615.23,38.54,423.5363
32500,942.78754,174150.4,29.85,417.014
35000,4038.755,169819.53,63.2,411.4386
37500,2403.452,182188.8,48.73,425.1197
40000,3216.1438,183638.61,56.17,426.8129
42500,745.9492,180357.23,26.2,422.5265
45000,672.1332,174868.86,24.74,417.6468
47500,723.7058,182997.9,26.01,427.0513
