iteration,trainRMSE
0,"[285.53189908996836, 285.52734554137385, 285.52607307968304, 285.5401304369762, 285.5464287568285]"
2500,"[230.36602634387586, 234.98694956075602, 236.46102383847642, 239.57541429803405, 232.9408051543346]"
5000,"[161.17951475738144, 162.45325070622772, 161.5643377032358, 165.74624974501316, 152.91664110948815]"
7500,"[122.444395993741, 128.92170643104933, 178.78173346243432, 222.61059230170082, 200.2917590468492]"
10000,"[84.60994236753658, 80.99331227937873, 77.82384792444485, 118.68155450301191, 69.76327220178382]"
12500,"[64.46739185051835, 57.55898958393, 54.48470937541007, 67.31120290009419, 50.15159273526041]"
15000,"[53.12523448569509, 54.74488789647104, 44.2249881887146, 43.17458012968548, 45.22893683450495]"
17500,"[51.76338198066142, 54.045001050254605, 44.01402724061099, 47.073729426174665, 47.022970361298945]"
20000,"[51.75803499315309, 52.468159673736174, 43.12858270414869, 41.43526231265186, 50.18996650797328]"
22500,"[50.19159219917707, 43.46820314378918, 35.30927194452113, 34.04450406259655, 37.48707017505583]"
25000,"[52.57385790733935, 44.390035401586324, 45.21853151097796, 40.89204568844937, 41.02398706935557]"
27500,"[51.350796766693925, 34.916422270314776, 38.46377307004804, 36.92545033739688, 37.144747746408235]"
30000,"[51.3007780320875, 34.30731221628894, 33.63052809425104, 34.153714202439836, 36.81554051562234]"
32500,"[69.23523100651735, 57.178111500558614, 57.94838614135972, 73.9066691708018, 59.4516757067298]"
35000,"[55.88300752217142, 45.97279117511635, 44.09901344404326, 47.76150367083521, 44.94177400607938]"
37500,"[55.56023394190395, 50.02287694331505, 50.961059234808985, 55.52109786842244, 76.93406375487358]"
40000,"[50.69309196354872, 31.869191777077656, 28.246359736458825, 33.056923233689375, 35.09439343945326]"
42500,"[53.19773276138574, 41.02326093376807, 45.26550739273153, 50.10112768133572, 49.59767575871646]"
45000,"[50.28247856219708, 32.6233099296841, 31.25093896339076, 34.28026881060733, 35.70253003168719]"
47500,"[48.78823821292713, 30.41467842014599, 29.402993740952212, 34.78956305804936, 32.11675409732396]"
50000,"[45.3212535210078, 31.945764782150842, 29.799968758256735, 38.42502645060773, 29.768008621094367]"
52500,"[45.922220636940466, 34.46565903955453, 47.389804209703485, 36.827007458920136, 35.10215394003462]"
55000,"[45.190793368239376, 29.94954847130011, 26.846262398647905, 32.11511876482228, 24.207634814248596]"
57500,"[53.3700013704681, 41.16701420118133, 56.04063265752664, 72.05519064154727, 59.78091832634783]"
60000,"[66.33662516941634, 50.82858668180145, 83.79379114426982, 62.20222273879853, 60.37388902548743]"
62500,"[73.91603450058001, 65.29593031453533, 78.23726293303929, 83.83013629959554, 72.22574640073698]"
65000,"[66.70040877190692, 60.795715087525174, 65.14300656926028, 52.80526080227971, 70.78188830942148]"
67500,"[60.54149152007816, 53.24589541894077, 43.46050613942694, 37.0113919183052, 49.087519620670065]"
70000,"[73.54095101992708, 71.35067548183365, 64.94915968722476, 87.7801421264636, 78.67135755710343]"
72500,"[54.800140297172, 48.82035995933256, 56.38684014361548, 45.62408247722579, 59.91968739289088]"
75000,"[62.189119996394034, 51.31974760366584, 66.65381897713121, 61.073117769595854, 70.84498335186363]"
77500,"[48.23916664532157, 37.144224615576285, 40.1606376053645, 34.73902229421909, 37.91783205859934]"
80000,"[79.26282534160451, 76.41355457250884, 99.50981072951801, 149.62288006579325, 142.23014330225058]"
82500,"[52.150673890181785, 45.68738090836502, 41.454972784258466, 54.16337752131553, 67.14571975146129]"
85000,"[51.09795670149214, 43.984959766808416, 54.050234195985404, 59.07842238782617, 72.21178728551249]"
87500,"[52.85526749103405, 75.43428037485003, 57.89276225830342, 61.39743625526561, 61.40558784931757]"
90000,"[52.1197537119803, 40.17217525861822, 43.15327451453556, 56.28812801009246, 54.76396532557221]"
92500,"[59.80808909540644, 54.05327282029668, 54.942920094494326, 64.52483891228094, 52.41306104154415]"
95000,"[54.1396747064907, 45.171282377606964, 43.313411928190874, 43.74402429287013, 36.559488162578056]"
97500,"[84.629762756119, 89.24212894171033, 109.61247036990893, 97.27142361225879, 84.42371354564915]"
