modelType, epochs,inputDim, xLenght, yLenght, learningRate, unitsHiddenLayer, typeTraining, trainingSize,miniBatchSize, typeAF, lossTraint, lossTest,RMSE,DiffMaxMin,stdDev,BestPrevIteration,BestLoss,BestStd,ratioPeaks, folder,Comments,preproFile,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-14+AC0-05,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-14+AC0-20,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-14+AC0-33,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-14+AC0-48,filtered and no diff max min. Same seed. Both From 1 stuck,,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-15+AC0-09,filtered and no diff max min. Same seed. Both From 1 stuck,,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-15+AC0-31,filtered and no diff max min. Same seed. Both From 1 stuck,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-15+AC0-52,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-17+AC0-08,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-18+AC0-20,filtered and no diff max min. Same seed. Stuck 10000 and best training at 5000 and best val at 2500,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,100,relu,0.002,0.028,,1.3,,,,,,20+AC0-04+AC0-16+AF8-19+AC0-36,filtered and no diff max min. Same seed. Seems to continue descending tra and val,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,100,relu,0.006,0.027,,1.4,,,,,,20+AC0-04+AC0-16+AF8-20+AC0-14,filtered and no diff max min. Same seed. Getting worse,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,100,relu,0.005,0.023,,0.9,,,,,,20+AC0-04+AC0-16+AF8-21+AC0-08,filtered and no diff max min. Same seed. Seems to get stucked,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,100,relu,0.009,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-21+AC0-58,filtered and no diff max min. Same seed. Training oscilating and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,100,relu,0.011,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-22+AC0-25,filtered and no diff max min. Same seed. Training oscilating and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,100,relu,0.007,0.018,,0,,,,,,20+AC0-04+AC0-16+AF8-22+AC0-53,filtered and no diff max min. Same seed. Training oscilating seems like descending and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,100,relu,0,0.016,,0.55,,,,,,20+AC0-04+AC0-16+AF8-23+AC0-20,filtered and no diff max min. Same seed. Seems descending training and val best first one then a peak and now seems descending,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,100,relu,0,0.016,,0.6,,,,,,20+AC0-04+AC0-17+AF8-00+AC0-29,filtered and no diff max min. Same seed. Training and val desceding very slow and seem stuck,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,100,relu,0.012,0.018,,0,,,,,,20+AC0-04+AC0-17+AF8-01+AC0-38,filtered and no diff max min. Same seed. Training oscilating and val stucked at 7500,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,200,relu,0.004,0.03,,1,,,,,,20+AC0-04+AC0-17+AF8-02+AC0-56,filtered and no diff max min. Same seed. Training seems desceding and val seems stuck,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,200,relu,0.003,0.022,,1.5,,,,,,20+AC0-04+AC0-17+AF8-03+AC0-06,filtered and no diff max min. Same seed. Both seem to be stuck at 20000 and val best 1st,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,200,relu,0.002,0.028,,1.8,,,,,,20+AC0-04+AC0-17+AF8-03+AC0-15,filtered and no diff max min. Same seed. Training seems desceding and val seems stuck or even ascending,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,200,relu,0.011,0.018,,0,,,,,,20+AC0-04+AC0-17+AF8-03+AC0-25,filtered and no diff max min. Same seed. Training oscilating and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,200,relu,0.01,0.018,,0,,,,,,20+AC0-04+AC0-17+AF8-03+AC0-38,filtered and no diff max min. Same seed. Training oscilating and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,200,relu,0.011,0.018,,0,,,,,,20+AC0-04+AC0-17+AF8-03+AC0-52,filtered and no diff max min. Same seed. Training oscilating and val stucked from 1,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,200,relu,0,0.019,,0.7,,,,,,20+AC0-04+AC0-17+AF8-04+AC0-05,filtered and no diff max min. Same seed. Training seems desceding and val seems stuck but best at 25000,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,200,relu,0,0.017,,0.5,,,,,,20+AC0-04+AC0-17+AF8-04+AC0-45,filtered and no diff max min. Same seed. Training seems desceding and val seems stuck but best at 25000,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,200,relu,0,0.018,,0.8,,,,,,20+AC0-04+AC0-17+AF8-05+AC0-24,filtered and no diff max min. Same seed. Training seems desceding and val seems stuck but best at 27500,,
lstm+AF8-guided,30000,1,15,5,0.001,5,AD,375,200,sigmoid,0.008,0.015,,0.09,0.02,,,,,20+AC0-04+AC0-18+AF8-19+AC0-44,,,
lstm+AF8-guided,30000,1,15,5,0.001,20,AD,375,200,sigmoid,0.009,0.015,,0.04,0,,,,,20+AC0-04+AC0-18+AF8-19+AC0-53,,,
lstm+AF8-guided,50000,1,15,5,0.001,50,AD,375,200,sigmoid,0.002,0.018,,0.9,0.05,,,,,20+AC0-04+AC0-18+AF8-20+AC0-08,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,375,200,sigmoid,0.001,0.027,,1,0.13,,,,,20+AC0-04+AC0-18+AF8-21+AC0-15,,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,100,sigmoid,0.007,0.02,,0.74,0.07,,,,,20+AC0-04+AC0-18+AF8-22+AC0-38,,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,100,sigmoid,0.006,0.016,,0.55,0.03,,,,,20+AC0-04+AC0-19+AF8-02+AC0-23,,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,100,sigmoid,0.004,0.024,,0.95,0.09,,,,,20+AC0-04+AC0-19+AF8-02+AC0-47,,,
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0,0.016,,0.44,0.05,,,,,20+AC0-04+AC0-19+AF8-03+AC0-15,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,100,sigmoid,0,0.019,,0.9,0.07,,,,,20+AC0-04+AC0-19+AF8-03+AC0-55,,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,375,200,sigmoid,0.009,0.016,,0.82,0.04,,,,,20+AC0-04+AC0-19+AF8-05+AC0-03,,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,375,200,sigmoid,0.011,0.016,,0.61,0.04,,,,,20+AC0-04+AC0-19+AF8-05+AC0-13,,,
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,375,200,sigmoid,0,0.02,,0.91,0.07,,,,,20+AC0-04+AC0-19+AF8-05+AC0-26,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,375,200,sigmoid,0,0.017,,0.67,0.05,,,,,20+AC0-04+AC0-19+AF8-05+AC0-48,,,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-14+AC0-25,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-14+AC0-42,,,
