iteration,trainRMSE
0,"[1983.3832292879085, 1983.598265560565, 1985.5074185692984, 1985.562831967947, 1985.5598647022234, 1964.677277675866, 1964.662857871216, 1964.7972348257317, 1965.0401045988654, 1965.1223608436303]"
10,"[1982.648130643959, 1979.4984089150287, 1979.5142499325257, 1979.142532077282, 1979.0751477173033, 1958.1982749205345, 1958.202144486078, 1958.351149185004, 1958.6043496837565, 1958.696221975926]"
20,"[1982.1031922608934, 1975.314944295794, 1975.67521822118, 1975.463211154889, 1975.4351901483294, 1954.5601763168631, 1954.5553100723712, 1954.6959366574238, 1954.9387609963144, 1955.0149729408736]"
30,"[1980.7425152075105, 1971.1006245388578, 1972.15139504952, 1972.0084940354318, 1971.978839181829, 1951.1057695208044, 1951.102414789448, 1951.2404650155597, 1951.4804803818156, 1951.5553778206688]"
40,"[1978.9620461533934, 1966.9147583698534, 1967.8104210644046, 1967.728242471116, 1967.707760125735, 1946.8522755748165, 1946.8595321224886, 1946.9963547315785, 1947.2331129903241, 1947.305698382928]"
50,"[1976.988940709167, 1962.2769418524008, 1962.910630611199, 1962.719594856078, 1962.6886586284961, 1941.8241816725615, 1941.822907530316, 1941.954640303271, 1942.186719073554, 1942.2562357883053]"
60,"[1974.7439999131802, 1956.832580341181, 1957.6865130840365, 1957.6451584394463, 1957.6184656749876, 1936.758578929995, 1936.7604750445323, 1936.8824968519166, 1937.110221316616, 1937.1755742058315]"
70,"[1970.341816670037, 1950.9621411490282, 1951.6374914630196, 1951.4727368926895, 1951.4466618204522, 1930.5892120202288, 1930.5857498954233, 1930.7069370098557, 1930.9265911883201, 1930.990672281448]"
80,"[1965.6376733802601, 1944.7047171464867, 1945.4800225868528, 1945.33998360042, 1945.3159756559635, 1924.4667956070414, 1924.4656804506235, 1924.5817299178223, 1924.7969838063304, 1924.8595358913888]"
90,"[1956.4001265938186, 1938.327765114544, 1939.0136781503431, 1938.856182012351, 1938.8309756480119, 1917.9907779254306, 1917.990145033851, 1918.1008591813998, 1918.3091398051051, 1918.3676105437814]"
