iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,829894.25,651453.0,910.99,807.0868
2500,450596.34,494794.16,671.22,703.152
5000,368235.06,560180.1,606.2,748.0708
7500,297845.9,667934.44,544.79,816.3469
10000,298659.1,652957.1,545.9,807.6036
12500,230701.22,736720.94,479.07,857.5269
15000,241138.42,794631.3,489.93,890.9656
17500,250580.84,787095.94,499.71,885.8143
20000,184618.58,855016.44,428.51,924.358
22500,272958.56,684134.06,521.46,825.129
25000,190163.5,718298.8,435.02,847.2965
27500,212941.19,806257.0,460.43,897.301
30000,174702.14,811578.4,417.05,900.3262
32500,161278.75,797733.75,400.07,891.5874
35000,204673.31,823712.7,452.08,907.0427
37500,157881.89,897767.25,396.51,944.7717
40000,172438.19,776466.3,414.69,879.2457
42500,157482.12,818510.1,396.29,904.014
45000,153435.77,785681.1,391.27,884.2479
47500,144204.42,814338.3,378.43,901.6983
