,,,,,,,,,,,Loss tr,Loss te,RMSE,Min-max,std,,,,,
lstm_guided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.005,0.039,787.87,0.54,0.07,20-05-02_08-45,,./Data/With_Features/structural.csv,,
lstm_guided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.108,1300.72,0.7,0.11,20-05-02_09-24,,./Data/With_Features/structural.csv,,
lstm_guided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.382,2405.52,0.77,0.16,20-05-02_10-36,,./Data/With_Features/structural.csv,,
lstm_guided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.128,0.116,2104.49,0.91,0.18,20-05-02_12-29,,./Data/DropCloseDate_Quant/structural.csv,,
lstm_guided,50000,1,15,5,0.001,50,RB,559,90,sigmoid,0,0.143,2338.18,0.95,0.14,20-05-02_13-31,,./Data/DropCloseDate_Quant/structural.csv,,
lstm_guided,50000,1,15,5,0.0001,100,RB,559,90,sigmoid,0,0.302,3409.15,1,0.21,20-05-02_15-18,,./Data/DropCloseDate_Quant/structural.csv,,
lstm_guided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.138,0.732,5275.21,1,0.3,20-05-02_18-04,,./Data/Median_Quant/structural.csv,,
lstm_guided,50000,1,15,5,0.001,50,RB,733,90,sigmoid,0,0.15,2402,0.98,0.17,20-05-02_20-32,,./Data/Median_Quant/structural.csv,,
lstm_guided,50000,1,15,5,0.0001,100,RB,733,90,sigmoid,0.001,0.421,4033,0.99,0.19,20-05-02_22-58,,./Data/Median_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.036,0.026,642,0.07,0,20-05-03_02-46,37501,./Data/With_Features/structural.csv,,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.045,838,0.91,0.14,20-05-03_03-29,,./Data/With_Features/structural.csv,,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.079,1115,1,0.23,20-05-03_04-38,,./Data/With_Features/structural.csv,,
lstm_unguided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.099,0.089,1861,0.42,0.02,20-05-03_06-25,12501,./Data/DropCloseDate_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.001,50,RB,559,90,sigmoid,0,0.179,2638,1,0.29,20-05-03_07-34,,./Data/DropCloseDate_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.0001,100,RB,559,90,sigmoid,0,0.198,2766,1,0.32,20-05-03_09-20,,./Data/DropCloseDate_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.106,0.059,1517,0.12,0.02,20-05-03_12-03,7501,./Data/Median_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.001,50,RB,733,90,sigmoid,0,0.122,2168,1,0.27,20-05-03_13-30,,./Data/Median_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.0001,100,RB,733,90,sigmoid,0.001,0.159,2481,1,0.31,20-05-03_15-47,,./Data/Median_Quant/structural.csv,,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.03,684,0.92,0.05,20-05-06_17-21,,./Data/With_Features/structural.csv,37501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.045,840,0.87,0.1288,20-05-08_16-32,20-05-03_02-46,./Data/With_Features/structural.csv,5001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.033,717,0.78,0.079,20-05-08_16-33,20-05-03_02-46,./Data/With_Features/structural.csv,7501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,654,0.41,0.0291,20-05-08_16-34,20-05-03_02-46,./Data/With_Features/structural.csv,10001,better
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.037,759,0.84,0.0965,20-05-08_16-35,20-05-03_02-46,./Data/With_Features/structural.csv,12501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.035,744,0.86,0.0912,20-05-08_16-36,20-05-03_02-46,./Data/With_Features/structural.csv,15001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.036,756,0.9,0.1019,20-05-08_16-37,20-05-03_02-46,./Data/With_Features/structural.csv,17501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.037,763,0.94,0.1039,20-05-08_16-38,20-05-03_02-46,./Data/With_Features/structural.csv,20001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.044,828,0.83,0.1275,20-05-08_16-39,20-05-03_02-46,./Data/With_Features/structural.csv,22501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,654,0.55,0.0326,20-05-08_16-40,20-05-03_02-46,./Data/With_Features/structural.csv,25001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.026,645,0.5,0.0149,20-05-08_16-41,20-05-03_02-46,./Data/With_Features/structural.csv,27501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,648,0.54,0.0191,20-05-08_16-42,20-05-03_02-46,./Data/With_Features/structural.csv,30001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,655,0.9,0.0362,20-05-08_16-43,20-05-03_02-46,./Data/With_Features/structural.csv,32501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.03,688,0.92,0.0484,20-05-08_16-45,20-05-03_02-46,./Data/With_Features/structural.csv,35001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.03,684,0.92,0.0521,20-05-08_16-46,20-05-03_02-46,./Data/With_Features/structural.csv,37501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.031,700,0.97,0.0585,20-05-08_16-47,20-05-03_02-46,./Data/With_Features/structural.csv,40001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,651,0.99,0.0296,20-05-08_16-48,20-05-03_02-46,./Data/With_Features/structural.csv,42501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,647,0.08,0.0088,20-05-08_16-49,20-05-03_02-46,./Data/With_Features/structural.csv,45001,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0,0.027,647,0.59,0.0191,20-05-08_16-50,20-05-03_02-46,./Data/With_Features/structural.csv,47501,
