iteration,trainRMSE
0,"[1026.2377041532354, 1026.2520302092728, 1026.261198028286, 1026.367085020088, 1026.4274818170643, 1025.5157473619392, 1025.5319002636504, 1030.5614644159082, 1030.6315755006353, 1031.0899120534602]"
2000,"[917.6798691961855, 917.6561470129501, 917.6617933444782, 917.6756645720038, 917.6769290780086, 916.7600969792319, 916.7522508487359, 921.6874970735387, 921.6894241961307, 922.0443415461411]"
4000,"[789.8117288303442, 789.8997563985575, 789.8700832873086, 789.8261392585985, 789.8313174088067, 789.1233142708952, 789.1853534259536, 793.5709389329114, 793.5071247146589, 793.654742845232]"
6000,"[763.1904522857001, 762.1486865028777, 760.4646479998288, 760.9410703824664, 758.4667354551303, 756.8531232109067, 754.6194858713624, 761.7340558677346, 760.4629642007757, 763.0184710703934]"
8000,"[759.6638877998316, 758.9461588041274, 756.6414248355572, 758.5522007154339, 755.7686131807862, 754.5946313154417, 752.0613699707787, 758.7101244517479, 758.215827452818, 762.0826582314818]"
10000,"[757.5428630678223, 756.3859897798794, 753.9891034859348, 756.680195200794, 756.0684676681176, 752.8185222272344, 751.6891391895474, 758.257196424694, 756.5004553477861, 762.842728739297]"
12000,"[754.1995757556444, 752.7785649249779, 749.437453687739, 754.5671650107116, 752.7631446867891, 750.4824137040088, 751.5160346755024, 755.4167124437915, 755.0950838834281, 760.0226095212437]"
14000,"[751.8174510068856, 749.0016936493116, 745.4465138889524, 749.9060121834553, 749.4069590280069, 747.2189071541577, 750.8156718234067, 754.9889923861908, 755.3264038405684, 760.6437924739231]"
16000,"[748.9660467786762, 746.5107231228573, 743.3338395183304, 748.2256457266196, 749.0040570517741, 746.9787623151656, 747.6342849199256, 755.0132978175288, 754.4614610476639, 760.5982702204399]"
18000,"[745.1220285505378, 740.8985971715138, 736.4272740533055, 743.82407867467, 745.1282021337362, 743.8030468942533, 744.8951949123057, 750.6874858762466, 751.3575602015906, 757.7622142772709]"
