iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,1055430.8,1235049.5,1027.34,1111.3213
2500,576178.06,737336.9,759.04,858.6603
5000,572496.25,741622.1,756.61,861.1293
7500,561829.0,746147.06,749.51,863.7745
10000,551184.56,746224.0,742.35,863.8241
12500,545637.9,759300.5,738.6,871.3309
15000,520815.8,790147.44,721.46,888.7518
17500,516722.62,800723.2,718.66,894.6736
20000,509162.0,814407.94,713.33,902.3254
22500,505728.9,815340.4,710.9,902.9026
25000,541844.25,760571.9,735.98,871.9781
27500,542362.1,760041.4,736.38,871.6246
30000,532557.8,792539.4,729.57,890.136
32500,535760.94,792160.2,731.84,889.6807
35000,553509.06,767393.9,743.89,875.9882
37500,548873.7,771133.06,740.74,877.9349
40000,541584.94,778265.1,735.63,882.1085
42500,534539.75,774928.6,730.89,880.2632
45000,541660.1,776072.8,735.66,880.728
47500,551051.8,757030.2,742.24,869.9354
50000,545415.44,797414.6,738.44,892.6303
52500,556585.25,780590.3,745.89,883.3654
55000,677473.0,838301.3,816.93,909.6681
57500,657212.75,859272.94,803.92,921.9089
60000,688565.75,859615.0,824.93,922.0199
62500,670830.3,847661.4,813.67,915.4531
65000,591711.3,737635.44,769.21,858.816
67500,566670.1,753955.7,752.71,868.1357
70000,586731.1,766613.9,765.96,875.3035
72500,598462.1,766747.44,773.59,875.4963
75000,586269.8,748134.3,765.64,864.8732
77500,695346.6,854044.94,828.24,918.7322
