modelType, epochs,inputDim, xLenght, yLenght, learningRate, unitsHiddenLayer, typeTraining, trainingSize,miniBatchSize, typeAF, lossTrain, lossTest,RMSE,DiffMaxMin,stdDev, folder,Comments,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,579,200,relu,0.026,0.059,,1.4,,20+AC0-04+AC0-16+AF8-15+AC0-11,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,579,200,relu,0.026,0.059,,1.4,,20+AC0-04+AC0-16+AF8-15+AC0-21,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,579,200,relu,0.026,0.059,,1.4,,20+AC0-04+AC0-16+AF8-15+AC0-32,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,579,200,relu,0.068,0.081,,0,,20+AC0-04+AC0-16+AF8-15+AC0-42,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,579,200,relu,0.068,0.081,,0,,20+AC0-04+AC0-16+AF8-15+AC0-57,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,579,200,relu,0.068,0.081,,0,,20+AC0-04+AC0-16+AF8-16+AC0-12,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,579,200,relu,0,0.085,,1,,20+AC0-04+AC0-16+AF8-16+AC0-28,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,579,200,relu,0,0.085,,1,,20+AC0-04+AC0-16+AF8-17+AC0-14,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,579,200,relu,0,0.085,,1,,20+AC0-04+AC0-16+AF8-18+AC0-01,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,100,relu,0.022,0.068,,1.2,,20+AC0-04+AC0-16+AF8-18+AC0-47,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,100,relu,0.02,0.064,,1,,20+AC0-04+AC0-16+AF8-19+AC0-06,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,100,relu,0.026,0.064,,0.8,,20+AC0-04+AC0-16+AF8-19+AC0-26,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,100,relu,0.063,0.081,,0,,20+AC0-04+AC0-16+AF8-19+AC0-45,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,100,relu,0.069,0.081,,0,,20+AC0-04+AC0-16+AF8-20+AC0-10,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,100,relu,0.068,0.081,,0,,20+AC0-04+AC0-16+AF8-20+AC0-36,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,100,relu,0,0.059,,0.6,,20+AC0-04+AC0-16+AF8-21+AC0-02,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,100,relu,0,0.06,,0.6,,20+AC0-04+AC0-16+AF8-21+AC0-59,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,100,relu,0,0.061,,0.75,,20+AC0-04+AC0-16+AF8-22+AC0-56,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,200,relu,0.023,0.068,,0.8,,20+AC0-04+AC0-16+AF8-23+AC0-53,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,200,relu,0.024,0.066,,0.95,,20+AC0-04+AC0-17+AF8-00+AC0-04,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,200,relu,0.024,0.063,,0.8,,20+AC0-04+AC0-17+AF8-00+AC0-14,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,200,relu,0.068,0.081,,0,,20+AC0-04+AC0-17+AF8-00+AC0-25,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,200,relu,0.062,0.081,,0,,20+AC0-04+AC0-17+AF8-00+AC0-39,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,200,relu,0.069,0.081,,0,,20+AC0-04+AC0-17+AF8-00+AC0-53,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,200,relu,0,0.067,,0.7,,20+AC0-04+AC0-17+AF8-01+AC0-07,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,200,relu,0,0.065,,0.7,,20+AC0-04+AC0-17+AF8-01+AC0-48,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,200,relu,0,0.066,,0.7,,20+AC0-04+AC0-17+AF8-02+AC0-28,filtered and no diff max min. Same seed,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,579,200,sigmoid,0.031,0.056,,0.7,0.09,20+AC0-04+AC0-19+AF8-05+AC0-18,filtered and different seed. Best val at 2500 then ascending slowly while training descending,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,579,200,sigmoid,0.006,0.1,,0.99,0.23,20+AC0-04+AC0-19+AF8-05+AC0-28,,
lstm+AF8-guided,50000,1,15,5,0.001,50,AD,579,200,sigmoid,0,0.099,,0.98,0.22,20+AC0-04+AC0-19+AF8-05+AC0-43,,
lstm+AF8-guided,50000,1,15,5,0.001,100,AD,579,200,sigmoid,0,0.084,,0.94,0.18,20+AC0-04+AC0-19+AF8-06+AC0-09,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,100,sigmoid,0.028,0.057,,0.91,0.1,20+AC0-04+AC0-19+AF8-06+AC0-55,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,100,sigmoid,0.001,0.097,,0.99,0.23,20+AC0-04+AC0-19+AF8-07+AC0-15,,
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,579,100,sigmoid,0,0.073,,0.95,0.15,20+AC0-04+AC0-19+AF8-07+AC0-39,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,100,sigmoid,0,0.066,,0.86,0.12,20+AC0-04+AC0-19+AF8-08+AC0-14,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,579,200,sigmoid,0.026,0.068,,0.96,0.14,20+AC0-04+AC0-19+AF8-09+AC0-11,,
lstm+AF8-guided,50000,1,15,5,0.001,20,RB,579,200,sigmoid,0.001,0.105,,1,0.24,20+AC0-04+AC0-19+AF8-09+AC0-22,,
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,579,200,sigmoid,0,0.077,,0.99,0.17,20+AC0-04+AC0-19+AF8-09+AC0-35,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,579,200,sigmoid,0,0.064,,0.86,0.12,20+AC0-04+AC0-19+AF8-09+AC0-58,,
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,579,150,sigmoid,0.008,0.704,3276,0.17,0.01,20+AC0-05+AC0-01+AF8-19+AC0-56,,./Data/With+AF8-Features/utility.csv
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,579,150,sigmoid,0,0.128,1363,0.82,0.15,20+AC0-05+AC0-01+AF8-20+AC0-18,,./Data/With+AF8-Features/utility.csv
lstm+AF8-guided,50000,1,15,5,0.0001,100,RB,579,150,sigmoid,0,0.193,1686,0.95,0.18,20+AC0-05+AC0-01+AF8-20+AC0-56,,./Data/With+AF8-Features/utility.csv
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,704,150,sigmoid,0.021,0.19,1285,0.99,0.07,20+AC0-05+AC0-01+AF8-21+AC0-59,,./Data/DropCloseDate+AF8-Quant/utility.csv
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,704,150,sigmoid,0,0.327,1686,0.98,0.16,20+AC0-05+AC0-01+AF8-22+AC0-27,,./Data/DropCloseDate+AF8-Quant/utility.csv
lstm+AF8-guided,50000,1,15,5,0.0001,100,RB,704,150,sigmoid,0.002,0.347,1735,0.98,0.19,20+AC0-05+AC0-01+AF8-23+AC0-17,,./Data/DropCloseDate+AF8-Quant/utility.csv
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,922,150,sigmoid,0.101,0.646,2370,1,0.14,20+AC0-05+AC0-02+AF8-00+AC0-42,,./Data/Median+AF8-Quant/utility.csv
lstm+AF8-guided,50000,1,15,5,0.001,50,RB,922,150,sigmoid,0,0.287,1578,0.98,0.18,20+AC0-05+AC0-02+AF8-01+AC0-24,,./Data/Median+AF8-Quant/utility.csv
lstm+AF8-guided,50000,1,15,5,0.0001,100,RB,922,150,sigmoid,0,0.199,1248,0.98,0.27,20+AC0-05+AC0-02+AF8-02+AC0-39,,./Data/Median+AF8-Quant/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,579,150,sigmoid,0.037,0.048,,0.2,0.02,20+AC0-05+AC0-02+AF8-04+AC0-45,,./Data/With+AF8-Features/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.001,50,RB,579,150,sigmoid,0,0.078,,0.95,0.17,20+AC0-05+AC0-02+AF8-05+AC0-07,,./Data/With+AF8-Features/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.0001,100,RB,579,150,sigmoid,0.001,0.12,,1,0.26,20+AC0-05+AC0-02+AF8-05+AC0-42,,./Data/With+AF8-Features/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,704,150,sigmoid,0.091,0.106,,0.19,0.01,20+AC0-05+AC0-02+AF8-06+AC0-38,,./Data/DropCloseDate+AF8-Quant/utility.csv
