Incident Type,Creation Date,Response Time
Utility-Power Outage,2014-01-02,1361
Fire-3rd Alarm,2014-01-03,2596
Utility-Power Outage,2014-01-03,278
Fire-1st Alarm,2014-01-03,2879
Fire-5th Alarm,2014-01-04,4576
Fire-1st Alarm,2014-01-04,99
Fire-3rd Alarm,2014-01-05,1582
Fire-Manhole,2014-01-06,3412
Fire-1st Alarm,2014-01-06,111
Utility-Power Outage,2014-01-06,431
Utility-Manhole,2014-01-07,169
Utility-Water Service Line,2014-01-07,120
Utility-Power Outage,2014-01-08,537
Utility-Power Outage,2014-01-09,149
Fire-3rd Alarm,2014-01-09,2654
Utility-Water Service Line,2014-01-10,189
Utility-Water Service Line,2014-01-14,144
Fire-1st Alarm,2014-01-14,61
Fire-3rd Alarm,2014-01-17,1810
Utility-Manhole,2014-01-22,469
Utility-Manhole,2014-01-22,1343
Utility-Manhole,2014-01-23,1787
Utility-Water Service Line,2014-01-23,96
Utility-Water Service Line,2014-01-25,422
Utility-Water Service Line,2014-01-27,1603
Fire-Sensitive Location,2014-01-29,323
Fire-Sensitive Location,2014-01-30,140
Fire-1st Alarm,2014-02-01,121
Fire-Manhole,2014-02-01,353
Fire-1st Alarm,2014-02-06,120
Fire-1st Alarm,2014-02-10,69
Utility-Water Service Line,2014-02-13,1590
Fire-4th Alarm,2014-02-13,1794
Fire-Manhole,2014-02-14,92
Utility-Gas Service Line,2014-02-16,80
Fire-3rd Alarm,2014-02-17,1339
Fire-Manhole,2014-02-19,377
Utility-Water Service Line,2014-02-23,501
Fire-3rd Alarm,2014-02-23,328
Fire-Manhole,2014-02-24,150
Fire-1st Alarm,2014-02-24,79
Utility-Power Outage,2014-02-25,192
Utility-Gas High Pressure,2014-02-27,80
Fire-3rd Alarm,2014-02-27,239
Fire-3rd Alarm,2014-03-01,735
Fire-Manhole,2014-03-06,365
Utility-Gas High Pressure,2014-03-06,545
Fire-3rd Alarm,2014-03-06,1780
Fire-4th Alarm,2014-03-18,9495
Fire-3rd Alarm,2014-03-19,455
Utility-Power Outage,2014-03-20,88
Utility-Manhole,2014-03-20,578
Fire-4th Alarm,2014-03-20,303
Fire-Sensitive Location,2014-03-21,3231
Fire-3rd Alarm,2014-03-23,1566
Fire-3rd Alarm,2014-03-23,378
Fire-3rd Alarm,2014-03-28,201
Fire-1st Alarm,2014-03-28,263
Utility-Power Outage,2014-04-06,103
Fire-4th Alarm,2014-04-06,317
Fire-3rd Alarm,2014-04-11,1790
Fire-1st Alarm,2014-04-11,64
Fire-1st Alarm,2014-04-12,71
Fire-1st Alarm,2014-04-12,83
Fire-Sensitive Location,2014-04-13,234
Fire-3rd Alarm,2014-04-13,250
Fire-Collapse,2014-04-14,246
Utility-Gas Main Rupture,2014-04-16,797
Fire-1st Alarm,2014-04-17,115
Fire-School,2014-04-21,77
Fire-5th Alarm,2014-04-21,4175
Utility-Water Service Line,2014-04-23,77
Utility-Gas Service Line,2014-04-28,97
Fire-3rd Alarm,2014-04-29,164
Fire-School,2014-04-30,80
Fire-Haz Mat,2014-04-30,338
Fire-Manhole,2014-05-01,346
Utility-Power Outage,2014-05-01,560
Fire-1st Alarm,2014-05-01,95
Fire-Explosion,2014-05-01,218
Utility-Gas Service Line,2014-05-07,212
Fire-Haz Mat,2014-05-08,8272
Utility-Gas Main Rupture,2014-05-12,189
Utility-Manhole,2014-05-12,1104
Utility-Gas High Pressure,2014-05-13,89
Fire-1st Alarm,2014-05-14,72
Utility-Gas Service Line,2014-05-15,2033
Fire-10-77 (Residential High Rise Fire),2014-05-20,121
Fire-Sensitive Location,2014-05-23,345
Fire-1st Alarm,2014-05-27,104
Fire-Manhole,2014-05-27,629
Fire-Manhole,2014-05-28,651
Fire-School,2014-05-31,211
Utility-Gas High Pressure,2014-06-03,67
Fire-1st Alarm,2014-06-04,131
Fire-5th Alarm,2014-06-05,3486
Fire-3rd Alarm,2014-06-06,425
Fire-3rd Alarm,2014-06-06,166
Fire-1st Alarm,2014-06-08,75
Fire-1st Alarm,2014-06-09,265
Fire-3rd Alarm,2014-06-13,6871
Fire-3rd Alarm,2014-06-16,200
Utility-Gas Main Rupture,2014-06-16,3633
Fire-10-76 (Commercial High Rise Fire),2014-06-16,90
Utility-Power Outage,2014-06-19,134
Fire-Haz Mat,2014-06-23,195
Utility-Other,2014-06-24,74
Fire-Haz Mat,2014-06-25,262
Fire-Collapse,2014-07-05,146
Fire-Haz Mat,2014-07-06,112
Fire-10-77 (Residential High Rise Fire),2014-07-07,181
Fire-1st Alarm,2014-07-07,61
Fire-1st Alarm,2014-07-09,547
Fire-Explosion,2014-07-11,62
Fire-Other,2014-07-15,761
Fire-Haz Mat,2014-07-18,85
Utility-Power Outage,2014-07-23,126
Fire-5th Alarm,2014-07-25,1968
Fire-10-77 (Residential High Rise Fire),2014-07-25,61
Fire-3rd Alarm,2014-07-26,5757
Utility-Gas High Pressure,2014-07-29,386
Fire-10-77 (Residential High Rise Fire),2014-07-29,90
Utility-Power Outage,2014-07-29,242
Utility-Other,2014-07-29,113
Fire-Other,2014-07-30,137
Fire-10-77 (Residential High Rise Fire),2014-07-31,3942
Fire-10-77 (Residential High Rise Fire),2014-08-04,104
Fire-10-77 (Residential High Rise Fire),2014-08-05,583
Fire-1st Alarm,2014-08-05,593
Fire-1st Alarm,2014-08-07,60
Fire-Haz Mat,2014-08-07,276
Fire-Haz Mat,2014-08-12,157
Utility-Gas Main Rupture,2014-08-13,145
Fire-Other,2014-08-20,120
Fire-10-76 (Commercial High Rise Fire),2014-08-21,94
Fire-1st Alarm,2014-08-27,379
Fire-1st Alarm,2014-08-28,137
Fire-Haz Mat,2014-08-31,83
Fire-1st Alarm,2014-09-09,220
Fire-3rd Alarm,2014-09-10,719
Fire-Haz Mat,2014-09-15,635
Fire-Haz Mat,2014-09-16,79
Fire-3rd Alarm,2014-09-17,623
Utility-Gas Service Line,2014-09-24,112
Fire-3rd Alarm,2014-09-26,5500
Fire-Manhole,2014-09-30,3100
Fire-Haz Mat,2014-10-08,186
Fire-Other,2014-10-08,329
Utility-Other,2014-10-08,541
Utility-Gas Main Rupture,2014-10-09,317
Fire-10-76 (Commercial High Rise Fire),2014-10-10,82
Utility-Power Outage,2014-10-10,310
Fire-1st Alarm,2014-10-13,157
Utility-Other,2014-10-18,650
Fire-1st Alarm,2014-10-21,204
Fire-Collapse,2014-10-23,157
Utility-Gas Service Line,2014-10-28,192
Utility-Power Outage,2014-10-29,207
Utility-Power Outage,2014-10-31,144
Fire-10-76 (Commercial High Rise Fire),2014-11-02,67
Fire-Other,2014-11-02,234
Utility-Power Outage,2014-11-02,143
Utility-Water Service Line,2014-11-05,1831
Fire-Sensitive Location,2014-11-05,373
Fire-1st Alarm,2014-11-05,167
Fire-1st Alarm,2014-11-07,97
Fire-1st Alarm,2014-11-09,4538
Utility-Gas High Pressure,2014-11-10,81
Utility-Gas Service Line,2014-11-10,73
Fire-Explosion,2014-11-13,1799
Fire-Manhole,2014-11-17,246
Utility-Water Service Line,2014-11-18,461
Fire-Manhole,2014-11-19,1228
Utility-Water Service Line,2014-11-21,129
Utility-Other,2014-11-22,1180
Fire-3rd Alarm,2014-11-22,3854
Fire-4th Alarm,2014-11-22,5480
Fire-3rd Alarm,2014-11-25,1613
Fire-1st Alarm,2014-11-25,354
Fire-Explosion,2014-11-27,181
Fire-Sensitive Location,2014-11-28,115
Fire-10-76 (Commercial High Rise Fire),2014-11-29,102
Fire-3rd Alarm,2014-12-02,9706
Utility-Other,2014-12-08,209
Utility-Power Outage,2014-12-10,276
Fire-School,2014-12-11,80
Fire-10-77 (Residential High Rise Fire),2014-12-12,1444
Fire-Sensitive Location,2014-12-12,142
Fire-3rd Alarm,2014-12-15,1983
Utility-Gas Service Line,2014-12-15,99
Utility-Gas Service Line,2014-12-15,2136
Fire-1st Alarm,2014-12-16,68
Fire-1st Alarm,2014-12-17,70
Fire-3rd Alarm,2014-12-24,240
Fire-1st Alarm,2014-12-30,98
Utility-Manhole,2014-12-30,934
Utility-Water Service Line,2014-12-30,2263
Utility-Power Outage,2015-01-05,135
Utility-Water Service Line,2015-01-07,635
Utility-Water Service Line,2015-01-07,64
Fire-Sensitive Location,2015-01-07,115
Fire-1st Alarm,2015-01-08,122
Utility-Other,2015-01-08,1007
Utility-Other,2015-01-09,2463
Fire-10-77 (Residential High Rise Fire),2015-01-10,74
Fire-1st Alarm,2015-01-12,61
Fire-3rd Alarm,2015-01-13,849
Fire-1st Alarm,2015-01-13,596
Utility-Water Service Line,2015-01-15,1564
Utility-Water Service Line,2015-01-15,799
Fire-Explosion,2015-01-15,166
Utility-Other,2015-01-16,645
Fire-3rd Alarm,2015-01-17,7085
Utility-Other,2015-01-19,276
Fire-10-77 (Residential High Rise Fire),2015-01-20,284
Utility-Power Outage,2015-01-20,100
Fire-1st Alarm,2015-01-20,81
Fire-5th Alarm,2015-01-21,7681
Utility-Water Service Line,2015-01-23,1017
Utility-Power Outage,2015-01-24,182
Utility-Other,2015-01-24,120
Utility-Power Outage,2015-01-24,154
Utility-Manhole,2015-01-24,183
Utility-Power Outage,2015-01-28,1909
Fire-Manhole,2015-01-29,1013
Utility-Water Service Line,2015-01-30,523
Utility-Water Service Line,2015-02-02,437
Fire-Haz Mat,2015-02-02,830
Utility-Other,2015-02-03,1756
Utility-Gas High Pressure,2015-02-05,430
Fire-Haz Mat,2015-02-05,180
Utility-Gas Main Rupture,2015-02-06,82
Utility-Other,2015-02-06,252
Utility-Other,2015-02-08,1155
Utility-Manhole,2015-02-09,593
Fire-School,2015-02-10,119
Utility-Water Service Line,2015-02-12,1771
Utility-Other,2015-02-13,343
Fire-1st Alarm,2015-02-14,78
Utility-Other,2015-02-16,1981
Utility-Other,2015-02-16,103
Utility-Other,2015-02-16,2646
Utility-Other,2015-02-16,214
Utility-Other,2015-02-17,210
Utility-Water Service Line,2015-02-17,140
Utility-Water Service Line,2015-02-17,125
Utility-Water Service Line,2015-02-18,102
Fire-10-77 (Residential High Rise Fire),2015-02-19,135
Utility-Gas High Pressure,2015-02-19,192
Fire-School,2015-02-20,225
Utility-Gas Service Line,2015-02-20,334
Fire-Explosion,2015-02-20,122
Utility-Water Service Line,2015-02-21,782
Utility-Other,2015-02-22,340
Utility-Power Outage,2015-02-23,370
Fire-Explosion,2015-02-23,214
